feature_set,protocol,split,split_seed,model,n_train,n_test,train_prevalence,test_prevalence,test_files,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier,clean_balanced_accuracy,clean_roc_auc,clean_fpr,clean_recall,clean_f1_macro,clean_n
shared18,random,random,102,stratified,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,21921,14375,9228,14476,0.51915,0.4966210813466963,0.6039508485783558,0.6022749127675358,0.6031117163963517,0.4966221274606529,-0.0067528006208272,0.6090327500741431,0.3977250872324642,0.3909672499258569,0.4966210813466963,0.6050111113100751,0.391787424723639,0.48085,0.4997135678363391,0.4997135678363391,0.6028477770948576,0.6022749127675358,0.479330562594605,46159
shared18,random,random,102,logreg,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,27979,8344,15259,8418,0.7206333333333333,0.7076014091012097,0.7702832915783387,0.7687172019671951,0.7694994499449945,0.707486611605323,0.4149755390378548,0.3535143837647757,0.2312827980328049,0.6464856162352244,0.8145703457695284,0.8596255633032005,0.7576176036950404,0.1569353370906026,0.8572125243599549,0.9633465941843268,0.0542921532472853,0.7687172019671951,0.767856355426037,46159
shared18,random,random,102,tree,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29481,7167,16436,6916,0.7652833333333333,0.7531682489962666,0.8044368041912247,0.8099843393686292,0.8072010404545144,0.7536377899535909,0.5073041916076362,0.3036478413760962,0.1900156606313707,0.6963521586239038,0.8658844260232359,0.8897463273305158,0.796802640175627,0.1386174265924386,0.8945434911348371,0.988733871808858,0.0208973570989551,0.8099843393686292,0.8104361221383096,46159
shared18,random,random,102,rf,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,31604,9904,13699,4793,0.75505,0.7243528227681844,0.7613953936590536,0.8683133225265819,0.8113471535844939,0.731104150494587,0.4747009325612131,0.4196076769902131,0.1316866774734181,0.5803923230097869,0.8448383600420464,0.8872425434896651,0.7876107422443543,0.1512061524932573,0.9245274869137724,0.9901091649865869,0.019258348699037,0.8683133225265819,0.8602604667269356,46159
shared18,random,random,102,xgboost,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29467,7130,16473,6930,0.7656666666666667,0.753759724122778,0.8051752875918791,0.809599692282331,0.8073814286105707,0.7541353383958269,0.5082888434308469,0.3020802440367749,0.190400307717669,0.697919755963225,0.8663889236389837,0.8939883926046635,0.8110846592523052,0.1382056027650833,0.8953243288291393,0.9901447426186434,0.0189510346240524,0.809599692282331,0.8107126859025255,46159
shared18,random,random,102,hgb,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29465,7140,16463,6932,0.7654666666666666,0.7535204118526129,0.8049446796885671,0.809544742698574,0.8072381578586888,0.753910580695377,0.5078408062281651,0.3025039189933483,0.1904552573014259,0.6974960810066517,0.8668410284807175,0.8940213309814542,0.81132114703183,0.1380287231529006,0.8949383209497788,0.989895350200784,0.0196681007990165,0.809544742698574,0.8104515180773877,46159
shared18,random,random,102,mlp,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29435,7161,16442,6962,0.7646166666666666,0.7526634312700342,0.8043228768171384,0.8087204989422205,0.8065156932856575,0.753035539326897,0.5060890359637766,0.3033936364021523,0.1912795010577795,0.6966063635978478,0.8656190876066396,0.8935167494574642,0.8106838514284492,0.1397789716720581,0.8925798765966992,0.9877241647639348,0.0235607457488219,0.8087204989422205,0.8086071149789283,46159
shared18,file_disjoint,file_disjoint,102,majority,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,36495,23505,0,0,0.60825,0.5,0.60825,1.0,0.756412249339344,0.378206124669672,0.0,1.0,0.0,0.0,0.5,0.60825,0.39175,0.39175,0.5,0.5,1.0,1.0,0.378206124669672,60000
shared18,file_disjoint,file_disjoint,102,stratified,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,22124,14202,9303,14371,0.5237833333333334,0.5010040801630912,0.6090403567692562,0.6062200301411153,0.6076269208058115,0.50099864872822,0.0020056289214755,0.604211869814933,0.3937799698588848,0.395788130185067,0.5010040801630911,0.6087291301044807,0.3922299896558113,0.4762166666666667,0.5010040801630912,0.5010040801630911,0.604211869814933,0.6062200301411153,0.50099864872822,60000
shared18,file_disjoint,file_disjoint,102,logreg,240000,60000,0.6066291666666667,0.60825,"8,10,12,19",0.5,35898,1204,22301,597,0.9699833333333332,0.9662092253635464,0.9675489191957308,0.9836415947390054,0.9755288938407816,0.968358374037172,0.9369366650005662,0.0512231440119123,0.0163584052609946,0.9487768559880876,0.9847486050240613,0.9831091284379092,0.9838452311653708,0.0307994260943724,0.9662092253635464,0.9847486050240613,0.0512231440119123,0.9836415947390054,0.968358374037172,60000
