feature_set,protocol,split,split_seed,model,n_train,n_test,train_prevalence,test_prevalence,test_files,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
shared18,file_disjoint,file_disjoint,101,logreg,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21154,1906,34941,6,0.9670384608754116,0.9739945163834121,0.9173460537727667,0.9997164461247637,0.9567616463138852,0.9650649471784485,0.9324544167729921,0.05172741335793959,0.00028355387523629487,0.9482725866420604,0.9926067215153164,0.9742613714825604,0.9970345830651216,0.025022825787883885
shared18,file_disjoint,file_disjoint,101,tree,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21153,829,36018,7,0.9855879462823453,0.9885853738262594,0.9622873259939951,0.9996691871455576,0.9806221315655278,0.984574980592293,0.9696025743734307,0.022498439493038782,0.00033081285444234407,0.9775015605069612,0.9986108692035317,0.9963565437051249,0.9991363806830443,0.010404415810038847
shared18,file_disjoint,file_disjoint,101,rf,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21152,743,36104,8,0.9870532866722982,0.9897287321511326,0.9660653117150034,0.9996219281663516,0.9825571942863779,0.9861318708996822,0.9726268032519306,0.02016446386408663,0.0003780718336483932,0.9798355361359133,0.9998651938483886,0.9997569338323639,0.9999208434797523,0.009277313295364178
shared18,file_disjoint,file_disjoint,101,xgboost,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21108,746,36101,52,0.9862430396331477,0.9886483257313503,0.9658643726548916,0.9975425330812855,0.9814479006834984,0.9852581969170917,0.9708400180099136,0.020245881618584958,0.0024574669187145556,0.979754118381415,0.9998816736330065,0.9997833347067817,0.9999308240363622,0.009324046783149242
shared18,file_disjoint,file_disjoint,101,hgb,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21151,755,36092,9,0.9868291757891289,0.9895422671525328,0.965534556742445,0.9995746691871455,0.9822597873032091,0.9858932867535402,0.9721604114074095,0.02049013488207995,0.00042533081285444236,0.97950986511792,0.9998321586073264,0.9994766984654023,0.9999207121961048,0.009089372069568226
shared18,file_disjoint,file_disjoint,101,mlp,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21082,846,36001,78,0.9840708879962763,0.9866769964266994,0.9614191900766144,0.9963137996219281,0.9785555142963238,0.9829425680523662,0.9662799240489223,0.022959806768529323,0.0036862003780718335,0.9770401932314706,0.9987246744995643,0.9966508292274774,0.9994065841008678,0.011712237261235714
shared18,random,random,102,majority,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,36397,23603,0,0,0.6066166666666667,0.5,0.6066166666666667,1.0,0.7551479817836655,0.37757399089183274,0.0,1.0,0.0,0.0,0.5,0.6066166666666667,0.3933833333333333,0.3933833333333333
shared18,random,random,102,stratified,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,21921,14375,9228,14476,0.51915,0.49662108134669636,0.6039508485783558,0.6022749127675358,0.6031117163963517,0.4966221274606529,-0.006752800620827218,0.6090327500741431,0.3977250872324642,0.3909672499258569,0.4966210813466963,0.6050111113100751,0.39178742472363903,0.48085
shared18,random,random,102,logreg,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,27979,8344,15259,8418,0.7206333333333333,0.7076014091012097,0.7702832915783387,0.7687172019671951,0.7694994499449945,0.707486611605323,0.41497553903785483,0.3535143837647757,0.2312827980328049,0.6464856162352244,0.8145703457695284,0.8596255633032005,0.7576176036950404,0.1569353370906026
shared18,random,random,102,tree,240000,60000,0.6061333333333333,0.6066166666666667,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29481,7167,16436,6916,0.7652833333333333,0.7531682489962666,0.8044368041912247,0.8099843393686292,0.8072010404545144,0.7536377899535909,0.5073041916076362,0.30364784137609624,0.1900156606313707,0.6963521586239038,0.8658844260232359,0.8897463273305158,0.796802640175627,0.1386174265924386
