train_frac,model,direction,temporal_f1,control_mean,control_sd,control_min,control_max,delta,z,percentile_in_control,outside_control_range,n_control
0.5,logreg,reverse,0.5519112917246175,0.6956964339791536,0.08920784949913746,0.5018741598884363,0.8282896486255675,-0.1437851422545361,-1.6117992201563645,0.05,False,20
0.5,majority,forward,0.4757313829787234,0.426803557677131,0.03920700482003974,0.33688415446071907,0.48262314898760955,0.0489278253015924,1.2479358095873747,0.95,False,20
0.5,majority,reverse,0.3677452491011813,0.426803557677131,0.03920700482003974,0.33688415446071907,0.48262314898760955,-0.059058308575949736,-1.5063203334972293,0.05,False,20
0.5,mlp,forward,0.46033170311089555,0.7507465263320646,0.08074150727425833,0.6041307471264368,0.8888389613369536,-0.29041482322116907,-3.596846690447627,0.0,True,20
0.5,mlp,reverse,0.6869478313540307,0.7507465263320646,0.08074150727425833,0.6041307471264368,0.8888389613369536,-0.06379869497803392,-0.7901598215317681,0.2,False,20
0.5,rf,forward,0.5010919704453607,0.7726710541837783,0.08763881264083888,0.5773215801747689,0.9141211157428333,-0.27157908373841766,-3.098844856004636,0.0,True,20
0.5,rf,reverse,0.3756274269052852,0.7726710541837783,0.08763881264083888,0.5773215801747689,0.9141211157428333,-0.3970436272784931,-4.53045420532631,0.0,True,20
0.5,stratified,forward,0.4214697100785451,0.47414111292594807,0.03246970752385529,0.3875887510765412,0.5115527720972506,-0.05267140284740296,-1.6221705356817768,0.1,False,20
0.5,stratified,reverse,0.4283005278578278,0.47414111292594807,0.03246970752385529,0.3875887510765412,0.5115527720972506,-0.045840585068120276,-1.411795441472378,0.1,False,20
0.5,tree,forward,0.487657850025256,0.7372021708592313,0.08857173264473657,0.5105777746018054,0.8533945524547433,-0.24954432083397532,-2.817426207917867,0.0,True,20
0.5,tree,reverse,0.2995117496223963,0.7372021708592313,0.08857173264473657,0.5105777746018054,0.8533945524547433,-0.43769042123683505,-4.941649081117361,0.0,True,20
0.5,xgboost,forward,0.47615447320154886,0.7666848299174643,0.08315913558476255,0.5275074478649453,0.9193474089376602,-0.2905303567159155,-3.493667348427201,0.0,True,20
0.5,xgboost,reverse,0.44725721199078594,0.7666848299174643,0.08315913558476255,0.5275074478649453,0.9193474089376602,-0.3194276179266784,-3.8411608740339993,0.0,True,20
0.6,hgb,forward,0.46186463402805905,0.7765991930084589,0.06941026321459355,0.6862192706134511,0.9529125940905516,-0.31473455898039987,-4.534409529716734,0.0,True,20
0.6,hgb,reverse,0.5341864874794737,0.7765991930084589,0.06941026321459355,0.6862192706134511,0.9529125940905516,-0.2424127055289852,-3.4924619833168675,0.0,True,20
0.6,logreg,forward,0.4570786556771351,0.668226679930714,0.10082362041146602,0.46609297613198075,0.8312171524128046,-0.21114802425357893,-2.0942317226050178,0.0,True,20
0.6,logreg,reverse,0.5437288445704876,0.668226679930714,0.10082362041146602,0.46609297613198075,0.8312171524128046,-0.1244978353602264,-1.2348082210512257,0.1,False,20
0.6,majority,forward,0.4721374045801527,0.4256135781940403,0.04619479081483675,0.30615640599001664,0.4798457763757448,0.04652382638611241,1.007122785177111,0.85,False,20
0.6,majority,reverse,0.3897216274089936,0.4256135781940403,0.04619479081483675,0.30615640599001664,0.4798457763757448,-0.0358919507850467,-0.776969657226351,0.2,False,20
0.6,mlp,forward,0.5408000296788196,0.7475455687673728,0.09185409259292576,0.6032331771779154,0.9326490438695163,-0.2067455390885532,-2.250803782960411,0.0,True,20
0.6,mlp,reverse,0.6968896549520256,0.7475455687673728,0.09185409259292576,0.6032331771779154,0.9326490438695163,-0.050655913815347176,-0.5514823823892251,0.4,False,20
0.6,rf,forward,0.5346574805058559,0.7669368964659412,0.08323599708182738,0.6431666671725434,0.959128821007274,-0.23227941596008528,-2.7906125246717086,0.0,True,20
0.6,rf,reverse,0.383271904841682,0.7669368964659412,0.08323599708182738,0.6431666671725434,0.959128821007274,-0.3836649916242592,-4.609363797817992,0.0,True,20
0.6,stratified,forward,0.44536378411465477,0.4765585815067836,0.029323044626284232,0.3991889463587577,0.504731656728027,-0.031194797392128826,-1.0638321425929562,0.2,False,20
0.6,stratified,reverse,0.45333382833382835,0.4765585815067836,0.029323044626284232,0.3991889463587577,0.504731656728027,-0.023224753172955248,-0.7920307549556886,0.2,False,20
