model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
rf,104,0.006918046787346987,477736,0.9325839402361937,682152,1.0,56001
xgboost,104,0.030755480014066347,477736,0.8228943109453611,682152,0.9998214317601472,56001
hgb,104,0.3246667615586851,477736,0.8884368879663184,682152,0.9951786575239728,56001
mlp,104,0.37785722658539445,477736,0.8083081190115986,682152,0.9927144158140033,56001
majority,105,0.0,477736,1.0,682152,1.0,56001
stratified,105,0.07573429676641492,477736,0.9244347300894815,682152,0.9224835270798736,56001
logreg,105,0.0904076728569754,477736,0.8766022821893068,682152,0.9991607292726915,56001
tree,105,0.256936885643954,477736,0.8852968253409798,682152,0.2858877520044285,56001
rf,105,0.003928948205703569,477736,0.955596406665963,682152,1.0,56001
xgboost,105,0.09633981948188958,477736,0.7548992013510185,682152,0.9979464652416921,56001
hgb,105,0.07848895624361572,477736,0.8815762469361668,682152,0.9998214317601472,56001
mlp,105,0.6658656663931544,477736,0.5493834218766492,682152,0.7162372100498205,56001
majority,106,0.0,477736,1.0,682152,1.0,56001
stratified,106,0.0600708341008423,477736,0.9402464553354678,682152,0.938304673130837,56001
logreg,106,0.0945145435973006,477736,0.8714157548464272,682152,0.998875020088927,56001
tree,106,0.31193169449235564,477736,0.994209501694637,682152,0.9949108051641935,56001
rf,106,0.005004856238592026,477736,0.9373453423870339,682152,1.0,56001
xgboost,106,0.10646884471758461,477736,0.8981707889150805,682152,0.9998214317601472,56001
hgb,106,0.11928345362292145,477736,0.8906211518840376,682152,0.9957322190675166,56001
mlp,106,0.38133194902624046,477736,0.8597761202781785,682152,0.9935358297173265,56001
majority,107,0.0,477736,1.0,682152,1.0,56001
stratified,107,0.0754998576619723,477736,0.924644360787625,682152,0.9227692362636382,56001
logreg,107,0.09793065626203594,477736,0.8764879381721375,682152,0.998875020088927,56001
tree,107,0.0054548955908702715,477736,0.9028588936190175,682152,0.9998214317601472,56001
rf,107,0.008100708341008423,477736,0.9358793934489674,682152,1.0,56001
xgboost,107,0.0796318468777735,477736,0.7582958050405189,682152,0.9981607471295155,56001
hgb,107,0.03660180518110421,477736,0.8818401177450187,682152,0.6406314172961197,56001
mlp,107,0.37397432891806354,477736,0.8505230505811021,682152,0.9949286619881788,56001
majority,108,0.0,477736,1.0,682152,1.0,56001
stratified,108,0.061368622000435386,477736,0.9389432267295266,682152,0.9370011249799111,56001
logreg,108,0.08829144129812282,477736,0.9293617844703234,682152,0.9971786218103248,56001
tree,108,0.011464490848502101,477736,0.9982965673339667,682152,0.999500008928412,56001
rf,108,0.0031858599728720465,477736,0.9966429769318275,682152,1.0,56001
xgboost,108,0.07532821474621967,477736,0.8814853581020066,682152,0.9977857538258246,56001
hgb,108,0.07542659544183399,477736,0.8242151309385591,682152,0.9996785771682648,56001
mlp,108,0.3138239529782139,477736,0.8356407369618502,682152,0.9946786664523848,56001
majority,109,0.0,477736,1.0,682152,1.0,56001
stratified,109,0.05852395465277894,477736,0.9417314616097292,682152,0.939804646345601,56001
logreg,109,0.29820444764472426,477736,0.8708704218414665,682152,0.996625060266781,56001
tree,109,0.1149442369844433,477736,0.7576302642226366,682152,0.9972321922822807,56001
rf,109,0.004749485071252742,477736,0.9324241518019445,682152,1.0,56001
xgboost,109,0.07152695212418574,477736,0.7860652757743142,682152,0.997750040177854,56001
hgb,109,0.020410854530535694,477736,0.9216054486390131,682152,0.9998928590560883,56001
mlp,109,0.11746655056349113,477736,0.8154326308506022,682152,0.9975893287619864,56001
