seed,model,poison_rate,f1_macro,recall,fpr,f1_drop,alerts_per_hour,false_alerts_per_hour,ppv_deploy
103,rf,0.1,0.5604680928240774,0.7960505694284818,0.24403028538147933,0.05074406699373457,58950.138504907416,58567.26849155504,0.006494811090571115
103,rf,0.25,0.45719242839015356,0.6366628356493574,0.30052417006406523,0.1540197314276584,72432.01139765189,72125.80081537565,0.004227558732217822
103,xgboost,0.0,0.5560149439074344,0.7711054226308641,0.1496796738497379,0.0,36293.99407149503,35923.121723937096,0.01021855976576605
103,xgboost,0.01,0.55553763216063,0.7691986208337687,0.1432731508444962,0.0004773117468044319,34755.511451176295,34385.556202679094,0.010644505951722437
103,xgboost,0.05,0.5601783720101557,0.7714711106467453,0.12114152591729761,-0.0041634281027213005,29445.014449721002,29073.966220151426,0.012601394039156014
103,xgboost,0.1,0.5617796743789133,0.7709486991954864,0.1065812463599301,-0.005764730471478852,25950.296095936163,25579.499126383223,0.01428873752276786
103,xgboost,0.25,0.5242160856480956,0.7208755615923101,0.1362842166569598,0.031798858259338814,33054.92569462858,32708.211997670354,0.010489017587311238
103,hgb,0.0,0.5591606027991999,0.7720457632431302,0.13162492719860222,0.0,31961.30714325241,31589.98252766453,0.011617942092405048
103,hgb,0.01,0.5771632337431503,0.786464319297879,0.07920792079207921,-0.018002630943950382,19388.160382146085,19009.90099009901,0.019509813442403882
103,hgb,0.05,0.5696220301456791,0.7763295371434542,0.07804309842748981,-0.010461427346479257,19103.728570321862,18730.343622597557,0.01954513467618933
103,hgb,0.1,0.5671751014290263,0.7730383450005224,0.07804309842748981,-0.008014498629826394,19102.145632217045,18730.343622597557,0.019463887291929174
103,hgb,0.25,0.5538504154734553,0.7554853202382196,0.08328479906814211,0.00531018732574462,20351.71144941457,19988.351776354106,0.01785401065476086
103,mlp,0.0,0.5671202439945977,0.8413175216800752,0.4117647058823529,0.0,99228.17110555872,98823.5294117647,0.004077891281131919
103,mlp,0.01,0.6241565182544774,0.9105892801170201,0.46068724519510773,-0.05703627425987967,111002.89761882603,110564.93884682585,0.003945471527275631
103,mlp,0.05,0.661298883930596,0.9420123289102497,0.49097262667443214,-0.09417863993599829,118286.50246386464,117833.43040186372,0.0038302938421848317
103,mlp,0.1,0.6696414348884885,0.9369971789781631,0.43331391962725685,-0.10252119089389078,104446.00067638284,103995.34071054164,0.004314765169779289
103,mlp,0.25,0.6599717797454537,0.9461393793751959,0.5183459522422831,-0.09285153575085603,124858.08555428029,124403.02853814793,0.003644593893236727
104,logreg,0.0,0.6439016513285631,0.8875068516254163,0.27262569832402234,0.0,65857.02460055113,65430.16759776536,0.006481571333883177
104,logreg,0.01,0.6387892624432996,0.8844815954800355,0.28,0.005112388885263552,67625.40196976996,67200.0,0.0062905647490290855
104,logreg,0.05,0.6587037958978861,0.9013576759286588,0.2844692737430168,-0.01480214456932294,68706.14442021356,68272.62569832403,0.006309751850403539
104,logreg,0.1,0.6406597084493721,0.8850402664755239,0.2741899441340782,0.0032419428791909954,66231.25726142552,65805.58659217878,0.006427035916992392
104,logreg,0.25,0.6217539881565128,0.8715267529620103,0.2934078212290503,0.022147663172050303,70837.0482787614,70417.87709497206,0.00591740048427485
104,tree,0.0,0.6251363658621991,0.8532803474301134,0.17720670391061452,0.0,42940.0042960289,42529.608938547484,0.009557413051292376
104,tree,0.01,0.6188789484602794,0.8461862798836278,0.1729608938547486,0.006257417401919763,41917.59790624602,41510.61452513967,0.009709129373697023
104,tree,0.05,0.5659918551012016,0.8458384281317198,0.45608938547486033,0.05914451076099747,109868.26859162502,109461.45251396648,0.003702762252226419
104,tree,0.1,0.6205034968498262,0.8357718092507485,0.10502793296089385,0.00463286901237292,25608.678327889433,25206.703910614524,0.015696804502289916
104,tree,0.25,0.6446741402169891,0.8697137074672177,0.16603351955307263,-0.019537774354789983,40266.34387067757,39848.04469273743,0.010388307895139077
104,rf,0.0,0.6880713965569027,0.906754648564321,0.18614525139664803,0.0,45110.97479542686,44674.860335195524,0.009667591139607738
104,rf,0.01,0.6809637334856373,0.9022747396382341,0.18905027932960894,0.007107663071265424,45806.02683372173,45372.06703910614,0.009473858018528443
