seed,model,attack,eps,f1_macro,recall,fpr,precision,f1_drop,recall_drop,fpr_rise,alerts_per_hour,false_alerts_per_hour,ppv_deploy
102,logreg,stale_telemetry,0.25,0.725500091933891,0.941094834232845,0.19161676646706588,0.9921963908307593,0.0028717227209738017,0.0015420200462605838,-0.0019960079840319334,46440.65473409157,45988.02395209581,0.00974643412302036
102,logreg,stale_telemetry,0.5,0.7276135822023657,0.9429452582883577,0.1996007984031936,0.991889699918897,0.0007582324524990636,-0.00030840400925213896,0.0059880239520958,48357.712382275895,47904.19161676647,0.009378457812980735
102,logreg,scaling_attack,0.0,0.7283718146548648,0.9426368542791056,0.1936127744510978,0.9921285401282155,0.0,0.0,0.0,46920.43830318729,46467.065868263475,0.00966257885304155
102,logreg,scaling_attack,0.01,0.7256904726857648,0.9414032382420972,0.1936127744510978,0.9921183066547493,0.0026813419690999707,0.0012336160370084448,0.0,46919.84498084484,46467.065868263475,0.00965005559515846
102,logreg,scaling_attack,0.05,0.6839511586839121,0.9191981495759445,0.1936127744510978,0.9919294450453449,0.04442065597095268,0.023438704703161117,0.0,46909.16517868076,46467.065868263475,0.009424582781068397
102,logreg,scaling_attack,0.1,0.49855473054031574,0.707555898226677,0.1936127744510978,0.9895406512831573,0.22981708411454904,0.23508095605242862,0.0,46807.373314304365,46467.065868263475,0.007270381180242142
102,logreg,scaling_attack,0.25,0.489538752655496,0.6918272937548188,0.1936127744510978,0.9893054024255789,0.23883306199936877,0.2508095605242868,0.0,46799.808454438135,46467.065868263475,0.007109913419808187
102,logreg,scaling_attack,0.5,0.4489183148170102,0.6175790285273709,0.1936127744510978,0.9880350314542987,0.27945349983785456,0.3250578257517347,0.0,46764.09786595199,46467.065868263475,0.006351710205977867
102,logreg,evasion_unconstrained,0.0,0.7283718146548648,0.9426368542791056,0.1936127744510978,0.9921285401282155,0.0,0.0,0.0,46920.43830318729,46467.065868263475,0.00966257885304155
102,logreg,evasion_unconstrained,0.01,0.7275290467598035,0.9422513492675405,0.1936127744510978,0.9921253450235428,0.0008427678950613249,0.00038550501156509043,0.0,46920.25288995528,46467.065868263475,0.009658665368975914
102,logreg,evasion_unconstrained,0.05,0.6878053386654432,0.9215111796453354,0.1936127744510978,0.9919495393808615,0.040566475989421535,0.02112567463377024,0.0,46910.27765807285,46467.065868263475,0.009448074322644877
102,logreg,evasion_unconstrained,0.1,0.638492972894322,0.8868928296067848,0.1936127744510978,0.9916379310344827,0.08987884176054273,0.05574402467232076,0.0,46893.62754983788,46467.065868263475,0.009096367755321591
