protocol,model,split_seed,model_seed,n_train,n_test,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
group_disjoint,cnn1d,102,11,2158,650,0.5,435,95,41,79,0.7323076923076923,0.5738870450904097,0.8207547169811321,0.8463035019455253,0.8333333333333334,0.5768229166666667,0.1549247307387148,0.6985294117647058,0.15369649805447472,0.3014705882352941,0.62387703135729,0.8661194660493163,0.3462635256717541,0.2389308512210846
group_disjoint,cnn1d,102,22,2158,650,0.5,442,101,35,72,0.7338461538461538,0.5586375600823987,0.8139963167587477,0.8599221789883269,0.836329233680227,0.5621975386508131,0.12863676111998693,0.7426470588235294,0.14007782101167315,0.25735294117647056,0.6340123598077363,0.8747006600109515,0.3304193143621402,0.2404388189315796
group_disjoint,gru,103,11,2245,563,0.5,403,3,109,48,0.9094138543516874,0.9333920652518213,0.9926108374384236,0.893569844789357,0.94049008168028,0.8754495018066828,0.7716056352053469,0.026785714285714284,0.10643015521064302,0.9732142857142857,0.9867556224263542,0.9968459537295113,0.9443132659918225,0.0648580864071846
group_disjoint,gru,103,22,2245,563,0.5,390,1,111,61,0.8898756660746003,0.9279082198289516,0.9974424552429667,0.8647450110864745,0.9263657957244655,0.854027968284768,0.7416949206712979,0.008928571428571428,0.1352549889135255,0.9910714285714286,0.9888937282229966,0.9973164387136428,0.95680795280973,0.07998360693454742
group_disjoint,cnn1d,103,11,2245,563,0.5,394,1,111,57,0.8969804618117229,0.9323428096293951,0.9974683544303797,0.8736141906873615,0.9314420803782506,0.8621496116176968,0.7544011292269355,0.008928571428571428,0.12638580931263857,0.9910714285714286,0.9675720620842573,0.9924448964914168,0.8684740678129655,0.0914451852440834
group_disjoint,cnn1d,103,22,2245,563,0.5,391,6,106,60,0.8827708703374778,0.9066954387076338,0.9848866498740554,0.8669623059866962,0.9221698113207547,0.8423798696891543,0.712110324047773,0.05357142857142857,0.13303769401330376,0.9464285714285714,0.9697893569844789,0.9926428826417193,0.895079953489929,0.09371639788150787
group_disjoint,gru,104,11,2231,577,0.5,426,18,120,13,0.9462738301559792,0.9199762305635337,0.9594594594594594,0.9703872437357631,0.9648924122310306,0.9252506341597957,0.8507641963690508,0.13043478260869565,0.029612756264236904,0.8695652173913043,0.9713611303687564,0.9890656142754684,0.9507417608270966,0.040816619992256165
group_disjoint,gru,104,22,2231,577,0.5,430,33,105,9,0.9272097053726169,0.8701842131326136,0.9287257019438445,0.979498861047836,0.9534368070953437,0.8933850702143386,0.7931891624729608,0.2391304347826087,0.02050113895216401,0.7608695652173914,0.9463371958667591,0.9802497024639578,0.9078235696274284,0.0570281557738781
group_disjoint,cnn1d,104,11,2231,577,0.5,431,29,109,8,0.9358752166377816,0.8858159189198112,0.9369565217391305,0.9817767653758542,0.9588431590656284,0.9068725599249711,0.8186722980168023,0.21014492753623187,0.018223234624145785,0.7898550724637681,0.9618533557822455,0.9855973287710353,0.9310676199573421,0.051495809108018875
group_disjoint,cnn1d,104,22,2231,577,0.5,429,26,112,10,0.9376083188908145,0.8944075798091843,0.9428571428571428,0.9772209567198178,0.959731543624161,0.9106350025813112,0.8240649412173705,0.18840579710144928,0.022779043280182234,0.8115942028985508,0.9674160641774785,0.988158341492731,0.9380163129990559,0.04854210838675499
group_disjoint,gru,105,11,2195,613,0.5,381,76,91,65,0.7699836867862969,0.6995851346634085,0.8336980306345733,0.8542600896860987,0.8438538205980066,0.7036606564290342,0.40800309051868616,0.4550898203592814,0.14573991031390135,0.5449101796407185,0.8152573776214387,0.9165809774172338,0.7050523464480059,0.19279959797859192
group_disjoint,gru,105,22,2195,613,0.5,382,69,98,64,0.7830342577487766,0.7216642947289278,0.8470066518847007,0.8565022421524664,0.8517279821627648,0.7237363315069143,0.4476160245604485,0.41317365269461076,0.14349775784753363,0.5868263473053892,0.8736473241857092,0.9503302646672576,0.7554108346466414,0.1929272711277008
group_disjoint,cnn1d,105,11,2195,613,0.5,389,67,100,57,0.797716150081566,0.7354998523133105,0.8530701754385965,0.8721973094170403,0.8625277161862528,0.7399058334017683,0.48041222704551106,0.40119760479041916,0.12780269058295965,0.5988023952095808,0.7960849601245938,0.9007103646464907,0.699419102096355,0.18800579011440277
group_disjoint,cnn1d,105,22,2195,613,0.5,378,75,92,68,0.766721044045677,0.6992159179399049,0.8344370860927153,0.8475336322869955,0.8409343715239155,0.7018127515111932,0.40389697930190105,0.4491017964071856,0.15246636771300448,0.5508982035928144,0.8015762197577938,0.9209395442604682,0.5427272124498008,0.20487894117832184
group_disjoint,gru,106,11,2228,580,0.5,413,38,95,34,0.8758620689655172,0.8191115372323425,0.9157427937915743,0.9239373601789709,0.9198218262806236,0.8225063329876401,0.6451622646223966,0.2857142857142857,0.07606263982102908,0.7142857142857143,0.8608770247767069,0.937395521210127,0.7847085077861083,0.10486143082380295
group_disjoint,gru,106,22,2228,580,0.5,386,44,89,61,0.8189655172413793,0.7663538039730198,0.8976744186046511,0.8635346756152126,0.8802736602052451,0.7546244626114564,0.5114328548478736,0.3308270676691729,0.13646532438478748,0.6691729323308271,0.8286824443659484,0.9328934760084748,0.7210545864794659,0.1465969681739807
group_disjoint,cnn1d,106,11,2228,580,0.5,416,72,61,31,0.8224137931034483,0.6946476930581487,0.8524590163934426,0.930648769574944,0.8898395721925134,0.7160308972073679,0.4479762747070039,0.5413533834586466,0.06935123042505593,0.45864661654135336,0.8391027905333805,0.9321552920152529,0.6942298235539255,0.15045441687107086
group_disjoint,cnn1d,106,22,2228,580,0.5,416,59,74,31,0.8448275862068966,0.7435198735092765,0.8757894736842106,0.930648769574944,0.9023861171366594,0.7621174283162289,0.5317439200307497,0.44360902255639095,0.06935123042505593,0.556390977443609,0.8517770937410641,0.940846611636768,0.6849385939655787,0.13125550746917725
group_disjoint,gru,107,11,2237,571,0.5,342,29,104,96,0.7810858143607706,0.7813884025131321,0.921832884097035,0.7808219178082192,0.8454882571075402,0.7350564408660825,0.4986514803624563,0.21804511278195488,0.2191780821917808,0.7819548872180451,0.8791155972122086,0.959397734353048,0.7059142340567939,0.15228880941867828
group_disjoint,gru,107,22,2237,571,0.5,375,55,78,63,0.7933450087565674,0.7213152744875888,0.872093023255814,0.8561643835616438,0.8640552995391705,0.7166991826163005,0.43387085323922375,0.41353383458646614,0.14383561643835616,0.5864661654135338,0.8353417791052975,0.9387980728637879,0.6977127795811711,0.15449732542037964
group_disjoint,cnn1d,107,11,2237,571,0.5,391,66,67,47,0.8021015761821366,0.6982267312115906,0.8555798687089715,0.8926940639269406,0.8737430167597765,0.7081265691086331,0.41922248225549325,0.49624060150375937,0.10730593607305935,0.5037593984962406,0.8535036220688709,0.948206362038524,0.6339370762740786,0.14914192259311676
group_disjoint,cnn1d,107,22,2237,571,0.5,392,32,101,46,0.8633975481611208,0.8271878325951866,0.9245283018867925,0.8949771689497716,0.9095127610208816,0.8154706662247265,0.6326280156746301,0.24060150375939848,0.1050228310502283,0.7593984962406015,0.9069076801593023,0.9713306234894268,0.7494510952884584,0.12122474610805511
group_disjoint,gru,108,11,2218,590,0.5,304,10,129,147,0.7338983050847457,0.8010576018121202,0.9681528662420382,0.6740576496674058,0.7947712418300653,0.7082289944090085,0.5121013248977853,0.07194244604316546,0.3259423503325942,0.9280575539568345,0.9054379556221985,0.9616325630058868,0.7348076009926287,0.2006441205739975
group_disjoint,gru,108,22,2218,590,0.5,332,2,137,119,0.7949152542372881,0.8608767088324905,0.9940119760479041,0.7361419068736141,0.845859872611465,0.7697653793437071,0.6180040256096963,0.014388489208633094,0.2638580931263858,0.9856115107913669,0.9600567882722647,0.9868588928334087,0.8653268461081438,0.15822967886924744
group_disjoint,cnn1d,108,11,2218,590,0.5,347,10,129,104,0.8067796610169492,0.8487294421668874,0.9719887955182073,0.7694013303769401,0.8589108910891089,0.7762296390929415,0.6054833613412358,0.07194244604316546,0.23059866962305986,0.9280575539568345,0.9378678875081753,0.978563611839162,0.8440856094403322,0.15703628957271576
group_disjoint,cnn1d,108,22,2218,590,0.5,322,9,130,129,0.7661016949152543,0.8246103782162739,0.972809667673716,0.7139689578713969,0.8235294117647058,0.7383978717114987,0.5551676972045172,0.06474820143884892,0.2860310421286031,0.935251798561151,0.9553191149962513,0.9850425233593542,0.8821229520664389,0.18385256826877594
group_disjoint,gru,109,11,2175,633,0.5,475,36,97,25,0.9036334913112164,0.8396616541353383,0.9295499021526419,0.95,0.9396636993076162,0.8502240065165532,0.7016119431536999,0.2706766917293233,0.05,0.7293233082706767,0.9109624060150376,0.9677753838291261,0.853120495455979,0.07492254674434662
group_disjoint,gru,109,22,2175,633,0.5,487,42,91,13,0.9131121642969984,0.8291052631578948,0.9206049149338374,0.974,0.9465500485908649,0.8572412690211708,0.7236542888686767,0.3157894736842105,0.026,0.6842105263157895,0.9323308270676691,0.9799443513659436,0.8574692355991117,0.0709693431854248
group_disjoint,cnn1d,109,11,2175,633,0.5,489,63,70,11,0.8830963665086888,0.7521578947368421,0.8858695652173914,0.978,0.9296577946768061,0.7919317010767208,0.6150371368613607,0.47368421052631576,0.022,0.5263157894736842,0.935187969924812,0.980404200018278,0.8421708279556465,0.07900378108024597
group_disjoint,cnn1d,109,22,2175,633,0.5,491,39,94,9,0.9241706161137441,0.8443834586466166,0.9264150943396227,0.982,0.9533980582524272,0.8750041138719763,0.7601977056116269,0.2932330827067669,0.018,0.706766917293233,0.9544060150375941,0.9868621403556236,0.8934454432240662,0.06250631809234619
group_disjoint,gru,110,11,2186,622,0.5,457,99,37,29,0.7942122186495176,0.6061940208182038,0.8219424460431655,0.9403292181069959,0.8771593090211133,0.6217479713422398,0.28504162530788624,0.7279411764705882,0.059670781893004114,0.27205882352941174,0.5563422900024207,0.8175969306179482,0.42331791607223423,0.18223583698272705
group_disjoint,gru,110,22,2186,622,0.5,458,103,33,28,0.7893890675241158,0.5925169450496248,0.8163992869875223,0.9423868312757202,0.874880611270296,0.604952995990478,0.2571535476083088,0.7573529411764706,0.05761316872427984,0.2426470588235294,0.674307068506415,0.8641854396890984,0.47239437298419085,0.19647039473056793
group_disjoint,cnn1d,110,11,2186,622,0.5,454,96,40,32,0.7942122186495176,0.6141370128298232,0.8254545454545454,0.934156378600823,0.8764478764478765,0.6305316305316305,0.2949147496727899,0.7058823529411765,0.06584362139917696,0.29411764705882354,0.7596601912369886,0.9194045287565393,0.4905954661446015,0.1887325644493103
group_disjoint,cnn1d,110,22,2186,622,0.5,458,103,33,28,0.7893890675241158,0.5925169450496248,0.8163992869875223,0.9423868312757202,0.874880611270296,0.604952995990478,0.2571535476083088,0.7573529411764706,0.05761316872427984,0.2426470588235294,0.7482979302832244,0.9142860318867837,0.4879077804666533,0.19057829678058624
group_disjoint,gru,111,11,2228,580,0.5,396,22,91,71,0.8396551724137931,0.8266377366356521,0.9473684210526315,0.8479657387580299,0.8949152542372881,0.7783667180277349,0.57669789620565,0.19469026548672566,0.15203426124197003,0.8053097345132744,0.9095336453734058,0.9725400503521802,0.8267313452383965,0.13088220357894897
group_disjoint,gru,111,22,2228,580,0.5,408,23,90,59,0.8586206896551725,0.8350609236133483,0.9466357308584686,0.8736616702355461,0.9086859688195991,0.7978544347914789,0.6074627749583893,0.20353982300884957,0.12633832976445397,0.7964601769911505,0.9253188304182223,0.9762376666961348,0.8546674065237041,0.11722959578037262
group_disjoint,cnn1d,111,11,2228,580,0.5,397,25,88,70,0.8362068965517241,0.8144340641640295,0.9407582938388626,0.8501070663811563,0.8931383577052868,0.7712924260851157,0.5594644274107596,0.22123893805309736,0.14989293361884368,0.7787610619469026,0.9294877868526273,0.9820087632277106,0.817186506542682,0.13388942182064056
group_disjoint,cnn1d,111,22,2228,580,0.5,415,16,97,52,0.8827586206896552,0.8735290216217241,0.962877030162413,0.8886509635974305,0.9242761692650334,0.8323670922661045,0.6772051290101118,0.1415929203539823,0.11134903640256959,0.8584070796460177,0.9610202573383108,0.9904896981389861,0.8771854577274227,0.08782424032688141
group_disjoint,gru,112,11,2210,598,0.5,360,42,108,88,0.782608695652174,0.7617857142857143,0.8955223880597015,0.8035714285714286,0.8470588235294118,0.7356681400884053,0.48352564537647746,0.28,0.19642857142857142,0.72,0.8986160714285714,0.9618854685961051,0.8235750445584562,0.17993324995040894
group_disjoint,gru,112,22,2210,598,0.5,327,4,146,121,0.7909698996655519,0.8516220238095238,0.9879154078549849,0.7299107142857143,0.8395378690629012,0.7698888386081892,0.6132267254325227,0.02666666666666667,0.2700892857142857,0.9733333333333334,0.9809821428571429,0.9930836569308741,0.959852045792032,0.15066775679588318
group_disjoint,cnn1d,112,11,2210,598,0.5,372,40,110,76,0.8060200668896321,0.7818452380952381,0.9029126213592233,0.8303571428571429,0.8651162790697674,0.7599390919158361,0.5278618234759547,0.26666666666666666,0.16964285714285715,0.7333333333333333,0.913422619047619,0.9686805064682714,0.842908562465428,0.16426004469394684
group_disjoint,cnn1d,112,22,2210,598,0.5,350,3,147,98,0.8311036789297659,0.880625,0.9915014164305949,0.78125,0.8739076154806492,0.8091057064745018,0.6710293982068076,0.02,0.21875,0.98,0.9534077380952382,0.9846947402785262,0.886815695554178,0.13835084438323975
group_disjoint,gru,113,11,2196,612,0.5,339,10,156,107,0.8088235294117647,0.8499243611216165,0.9713467048710601,0.7600896860986547,0.8528301886792453,0.7900514579759863,0.628543094941191,0.060240963855421686,0.2399103139013453,0.9397590361445783,0.9368415365497865,0.9772732971860074,0.8108651672290591,0.1687510907649994
group_disjoint,gru,113,22,2196,612,0.5,372,6,160,74,0.869281045751634,0.8989680695877681,0.9841269841269841,0.8340807174887892,0.9029126213592233,0.8514563106796117,0.7300217168805586,0.03614457831325301,0.16591928251121077,0.963855421686747,0.9628018801664054,0.9870926023365837,0.8841095966023809,0.11198443919420242
group_disjoint,cnn1d,113,11,2196,612,0.5,343,20,146,103,0.7990196078431373,0.8242881841266411,0.9449035812672176,0.7690582959641256,0.8479604449938195,0.7757874514125724,0.5869885202683404,0.12048192771084337,0.23094170403587444,0.8795180722891566,0.9047625479496462,0.9660124422749703,0.789397653431583,0.16361765563488007
