model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
tree,104,0.707263007183884,477736,0.07256593838323423,682152,0.7176836127926287,56001
rf,104,0.7041252909556742,477736,0.20193446621867267,682152,0.7199157157907895,56001
xgboost,104,0.7485159167406267,477736,0.08289648054978949,682152,0.3604935626149533,56001
hgb,104,0.9704669524590988,477736,0.18081160797007118,682152,0.3602792807271299,56001
mlp,104,0.9306457960044878,477736,0.13434835637805065,682152,0.36272566561311403,56001
majority,105,0.0,477736,1.0,682152,1.0,56001
stratified,105,0.07573429676641492,477736,0.9244347300894815,682152,0.9224835270798736,56001
logreg,105,0.13840489307902273,477736,0.8647603466676049,682152,0.999000017856824,56001
tree,105,0.9484192106100441,477736,0.15573361948656606,682152,0.005571329083409225,56001
rf,105,0.7177583435202706,477736,0.18895055647421688,682152,0.7182550311601579,56001
xgboost,105,0.7472432473165095,477736,0.07370937855492618,682152,0.7162550668738058,56001
hgb,105,0.7460459333188204,477736,0.08046740315941316,682152,0.35965429188764486,56001
mlp,105,0.9712791164994893,477736,0.03177444323259332,682152,0.0035356511490866236,56001
majority,106,0.0,477736,1.0,682152,1.0,56001
stratified,106,0.0600708341008423,477736,0.9402464553354678,682152,0.938304673130837,56001
logreg,106,0.14650350821374147,477736,0.8642721856712287,682152,0.999000017856824,56001
tree,106,0.938679521744227,477736,0.08866205772320539,682152,0.7201835681505687,56001
rf,106,0.8802832526751176,477736,0.2028111036836365,682152,0.3647256298994661,56001
xgboost,106,0.9861032034429057,477736,0.0768362476398222,682152,0.002285673470116605,56001
hgb,106,0.9825803372573974,477736,0.13805427529348296,682152,0.005303476723629935,56001
mlp,106,0.9955603094596178,477736,0.1351399688046066,682152,0.003303512437277906,56001
majority,107,0.0,477736,1.0,682152,1.0,56001
stratified,107,0.0754998576619723,477736,0.924644360787625,682152,0.9227692362636382,56001
logreg,107,0.14688865817104008,477736,0.8652719628469902,682152,0.9987321654970447,56001
tree,107,0.683090660950818,477736,0.12457194291008455,682152,0.3608864127426296,56001
rf,107,0.7058626521760972,477736,0.20191687483141588,682152,0.7187550222317458,56001
xgboost,107,0.9738391077917511,477736,0.07645216901804876,682152,0.7163264941697469,56001
hgb,107,0.9943964867625634,477736,0.07725990688292346,682152,0.004428492348350922,56001
mlp,107,0.9815274544936953,477736,0.1236879757004304,682152,0.003821360332851199,56001
majority,108,0.0,477736,1.0,682152,1.0,56001
stratified,108,0.061368622000435386,477736,0.9389432267295266,682152,0.9370011249799111,56001
logreg,108,0.14789549039636954,477736,0.8636770104023737,682152,0.9987321654970447,56001
tree,108,0.9131675234857746,477736,0.07611793266016958,682152,0.36135069016624705,56001
