surface,model,pi,tpr,fpr,corpus_precision,ppv,ppv_sd,npv,fdr,alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,missed_per_hour,n_seeds
d_a_radio_heldout,logreg,0.01,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.16740989853561716,0.245318483957248,0.9968897601151543,0.8325901014643827,54188.47482778619,52253.86651992774,1300523.3958668683,22578.53117824424,489.634116383984,20
d_a_radio_heldout,logreg,0.05,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.3527659510248827,0.30327546768905217,0.9841740892377336,0.6472340489751173,62334.19401876909,52253.86651992774,1496020.6564504583,25972.580841153787,2551.2514485270744,20
d_a_radio_heldout,logreg,0.1,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.4671968742541643,0.29836990804589775,0.9675982291893621,0.5328031257458357,73534.55790637058,52253.86651992774,1764829.389752894,30639.39912765441,5385.975280223824,20
d_a_radio_heldout,logreg,0.2,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.6060553512473534,0.2614498461547652,0.9317140914713832,0.39394464875264656,100135.42213942413,52253.86651992774,2403250.131346179,41723.09255809339,12118.444380503603,20
d_a_radio_heldout,logreg,0.5,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.8213512621187945,0.15205059662156375,0.7887152904143698,0.17864873788120542,243780.08899791335,52253.86651992774,5850722.13594992,101575.03708246388,48473.77752201441,20
d_a_radio_heldout,majority,0.0001,1.0,1.0,0.7657588177641612,0.0001,0.0,,0.9999,240024.00240024002,240000.0,5760576.05760576,100010.0010001,0.0,20
d_a_radio_heldout,majority,0.0005,1.0,1.0,0.7657588177641612,0.0005,0.0,,0.9995,240120.060030015,240000.0,5762881.440720361,100050.02501250626,0.0,20
d_a_radio_heldout,majority,0.001,1.0,1.0,0.7657588177641612,0.001,0.0,,0.999,240240.24024024024,240000.0,5765765.765765766,100100.1001001001,0.0,20
d_a_radio_heldout,majority,0.002,1.0,1.0,0.7657588177641612,0.002,0.0,,0.998,240480.96192384773,240000.0,5771543.086172345,100200.4008016032,0.0,20
d_a_radio_heldout,majority,0.005,1.0,1.0,0.7657588177641612,0.005,0.0,,0.9949999999999999,241206.03015075377,240000.0,5788944.72361809,100502.51256281407,0.0,20
d_a_radio_heldout,majority,0.01,1.0,1.0,0.7657588177641612,0.01,0.0,,0.99,242424.24242424243,240000.0,5818181.818181818,101010.101010101,0.0,20
d_a_radio_heldout,majority,0.05,1.0,1.0,0.7657588177641612,0.05,0.0,,0.95,252631.57894736846,240000.0,6063157.894736842,105263.15789473683,0.0,20
d_a_radio_heldout,majority,0.1,1.0,1.0,0.7657588177641612,0.09999999999999998,0.0,,0.9,266666.6666666667,240000.0,6400000.0,111111.1111111111,0.0,20
d_a_radio_heldout,majority,0.2,1.0,1.0,0.7657588177641612,0.2,0.0,,0.8,300000.0,240000.0,7200000.0,125000.0,0.0,20
d_a_radio_heldout,majority,0.5,1.0,1.0,0.7657588177641612,0.5,0.0,,0.5,480000.0,240000.0,11520000.0,200000.0,0.0,20
d_a_radio_heldout,mlp,0.0001,0.9371886843006914,0.23383498485405713,0.9328876268476101,0.0020339889753953574,0.0031710031698450286,0.9999891214370196,0.9979660110246046,56142.89114287471,56120.396364973705,1347429.3874289931,23392.871309531132,1.5076223390173091,20
