model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
xgboost,103,source_heldout,210621,89379,0.9442078425228254,0.5,79191,291,4059,5838,0.9314268452321015,0.9322222600727298,0.9963387936891371,0.9313410718695975,0.9627441326111932,0.7662741509549964,0.5927603029601626,0.06689655172413793,0.06865892813040257,0.9331034482758621,0.9888084281725114,0.9994007606467376,0.8907194589668765,0.04390686750411987
hgb,103,source_heldout,210621,89379,0.9442078425228254,0.5,79839,285,4065,5190,0.9387440002685195,0.9367223799101402,0.9964430133293395,0.9389620011995907,0.9668489219087755,0.7822116715387317,0.6168706183114644,0.06551724137931035,0.06103799880040927,0.9344827586206896,0.9895784318615838,0.9994464443191016,0.8918551064554249,0.04188181557129232
mlp,103,source_heldout,210621,89379,0.9442078425228254,0.5,77017,355,3995,8012,0.9063874064377538,0.9120820644964538,0.9954117768701856,0.9057733243952063,0.948479381284598,0.7184776315850147,0.5200351576412122,0.08160919540229886,0.09422667560479366,0.9183908045977012,0.9775142328046834,0.9982286366311708,0.8579515619169514,0.060020264238119125
majority,104,source_heldout,201010,98990,0.9256504651509875,0.5,97763,1227,0,0,0.9876048085665219,0.5,0.9876048085665219,1.0,0.9937637545552037,0.49688187727760186,0.0,1.0,0.0,0.0,0.5,0.9876048085665219,0.012395191433478128,0.012395191433478128
stratified,104,source_heldout,201010,98990,0.9256504651509875,0.5,90480,1138,89,7283,0.9149308010910193,0.49901907546301394,0.9875788600493353,0.9255035135992145,0.9555340820884883,0.4881170817466514,-0.0008267840093886178,0.9274653626731867,0.07449648640078557,0.07253463732681337,0.49901907546301383,0.987580793122693,0.012371800181369722,0.08506919890898071
logreg,104,source_heldout,201010,98990,0.9256504651509875,0.5,93885,322,905,3878,0.957571471865845,0.8489519766633545,0.9965819949685267,0.9603326411832698,0.9781215814971089,0.6396431534773398,0.3600919580650442,0.2624286878565607,0.03966735881673025,0.7375713121434393,0.9529242379411293,0.9989487202697883,0.23223510090986713,0.038989792819590495
tree,104,source_heldout,201010,98990,0.9256504651509875,0.5,70870,98,1129,26893,0.7273360945550056,0.8225233893776727,0.9986190959305603,0.7249163794073422,0.8400353224955699,0.45861727149087017,0.15842360976561243,0.07986960065199673,0.27508362059265773,0.9201303993480032,0.7980581934083875,0.996886593117656,0.03039912675926798,0.24076374347860025
rf,104,source_heldout,201010,98990,0.9256504651509875,0.5,81779,133,1094,15984,0.8371855743004344,0.864054052145684,0.9983763062799101,0.8365025623190778,0.910299151245304,0.5149146671277053,0.2132127328860937,0.10839445802770986,0.16349743768092223,0.8916055419722901,0.9183695294712565,0.9986300696510562,0.18085821928321236,0.1526905565452065
xgboost,104,source_heldout,201010,98990,0.9256504651509875,0.5,74133,62,1165,23630,0.7606626932013335,0.8538816336942322,0.9991643641754835,0.7582930147397277,0.8622221705300132,0.4758808954256399,0.1807291411147365,0.05052974735126324,0.2417069852602723,0.9494702526487367,0.9321595276223164,0.9989365153562176,0.18445997070196837,0.18388217687606812
hgb,104,source_heldout,201010,98990,0.9256504651509875,0.5,74302,80,1147,23461,0.7621880998080615,0.8474110055469792,0.9989244709741604,0.7600216850955883,0.8632490051991054,0.47602163826821925,0.17787340732260115,0.06519967400162999,0.23997831490441168,0.93480032599837,0.9254627275394255,0.9989121772275462,0.17412222816688988,0.17454887364328497
mlp,104,source_heldout,201010,98990,0.9256504651509875,0.5,91135,189,1038,6628,0.9311344580260632,0.8890845800008288,0.99793044544698,0.9322033898305084,0.9639478123826598,0.5986949227211849,0.32211183826756945,0.15403422982885084,0.06779661016949153,0.8459657701711492,0.9642777681644668,0.9992442022213337,0.3110799177911847,0.038840439170598984
