protocol,direction,train_frac,model,f1_macro,f1_sd,recall,fpr,brier,ece,ppv_deploy,false_alerts_per_hour,n
temporal,forward,0.5,xgboost,0.47615447320154886,,0.8658280922431866,0.9178082191780822,0.1799750030040741,0.17685314455806622,0.0018869436069919995,220273.97260273973,1
temporal,forward,0.6,hgb,0.46186463402805905,,0.8326596604688763,0.9178082191780822,0.23560760517980434,0.2396305441204956,0.0018147891242311373,220273.97260273973,1
temporal,forward,0.6,logreg,0.4570786556771351,,0.7388843977364592,0.815068493150685,0.27596402782985097,0.28705906657792885,0.0018133998705028873,195616.4383561644,1
temporal,forward,0.6,majority,0.4721374045801527,,1.0,1.0,0.10556760665220535,0.10556760665220535,0.002,240000.0,1
temporal,forward,0.6,mlp,0.5591016967163757,,0.9296685529506872,0.821917808219178,0.12738025188446045,0.13626255066174775,0.0022616005019433063,197260.27397260274,1
temporal,forward,0.6,rf,0.5346574805058559,,0.9151172190784155,0.8493150684931506,0.12512554324609187,0.15016298780857545,0.002154619585637003,203835.61643835614,1
temporal,forward,0.6,stratified,0.44536378411465477,,0.6329830234438156,0.6643835616438356,0.39840925524222703,0.38394793926247284,0.001905654801163063,159452.05479452055,1
temporal,forward,0.6,tree,0.48494138643392376,,0.7089733225545675,0.6643835616438356,0.3304410701373825,0.3188720173535791,0.002133942534078508,159452.05479452055,1
temporal,forward,0.6,xgboost,0.47011494252873565,,0.8601455133387227,0.9246575342465754,0.20085178315639496,0.2013380326194634,0.0018607225279580015,221917.80821917808,1
temporal,forward,0.7,hgb,0.4502054780922633,,0.8857404021937842,0.9794520547945206,0.17750805315969126,0.18504115179008265,0.0018089908972750337,235068.49315068492,1
temporal,forward,0.7,logreg,0.5624079730338172,,0.9223034734917733,0.8082191780821918,0.14515019317734337,0.14278283180219284,0.0022816661525016132,193972.60273972602,1
temporal,forward,0.7,majority,0.46872322193658955,,1.0,1.0,0.11774193548387096,0.11774193548387096,0.002,240000.0,1
temporal,forward,0.7,mlp,0.5794662296677721,,0.9972577696526508,0.8767123287671232,0.0986638069152832,0.0765124529434909,0.0022743688485801737,210410.95890410958,1
temporal,forward,0.7,rf,0.5439522792309862,,0.9881170018281535,0.910958904109589,0.12176335447669864,0.11495292492413926,0.002169032299843806,218630.13698630137,1
temporal,forward,0.7,stratified,0.4575150690258604,,0.6654478976234004,0.6986301369863014,0.3774193548387097,0.35967741935483866,0.0019051886851638414,167671.23287671234,1
temporal,forward,0.7,tree,0.5477404671361472,,0.8409506398537477,0.7191780821917808,0.225,0.2024193548387097,0.0023378519853553556,172602.7397260274,1
temporal,forward,0.7,xgboost,0.462180993609565,,0.8875685557586838,0.958904109589041,0.18239915370941162,0.17019988606466102,0.0018514898913008816,230136.98630136985,1
temporal,reverse,0.4,hgb,0.4948442466418164,,0.94106463878327,0.8116504854368932,0.3862865917469028,0.3771343122572951,0.002318152096184657,194796.11650485438,1
temporal,reverse,0.4,logreg,0.567173786927313,,0.34980988593155893,0.16116504854368932,0.34904210609857195,0.31523768104967065,0.0043308756056073235,38679.611650485436,1
temporal,reverse,0.4,majority,0.3356732610082961,,1.0,1.0,0.494716618635927,0.494716618635927,0.002,240000.0,1
temporal,reverse,0.4,mlp,0.5596793232343105,,0.33460076045627374,0.1553398058252427,0.31329041719436646,0.2717634164213805,0.004298064922403427,37281.55339805825,1
temporal,reverse,0.4,rf,0.3356732610082961,,1.0,1.0,0.3302280205931831,0.2954154127559981,0.002,240000.0,1
temporal,reverse,0.4,stratified,0.39365448475326714,,0.9049429657794676,0.916504854368932,0.5014409221902018,0.5014409221902016,0.0019748194329965857,219961.16504854368,1
temporal,reverse,0.4,tree,0.3880009668938336,,0.6939163498098859,0.8349514563106796,0.5655009937763937,0.5018641459459492,0.001662733440013049,200388.3495145631,1
temporal,reverse,0.4,xgboost,0.42004076940169455,,0.8669201520912547,0.8718446601941747,0.3689122200012207,0.3216920297800435,0.0019887257103669126,209242.71844660194,1
temporal,reverse,0.5,hgb,0.5247592007076152,,0.6745810055865922,0.6213592233009708,0.41104783987638444,0.4227436529883873,0.002170935713919469,149126.213592233,1
temporal,reverse,0.5,logreg,0.5519112917246175,,0.3407821229050279,0.12427184466019417,0.3586443249866194,0.3493888586383023,0.005465418246720271,29825.2427184466,1
temporal,reverse,0.5,majority,0.3677452491011813,,1.0,1.0,0.41835905767668563,0.4183590576766857,0.002,240000.0,1
temporal,reverse,0.5,mlp,0.3787035470591552,,0.5768156424581006,0.8019417475728156,0.44144994020462036,0.43250251541997564,0.0014393556158625374,192466.01941747573,1
temporal,reverse,0.5,rf,0.3756274269052852,,0.9357541899441341,0.9766990291262136,0.27462994038203203,0.1824874250768499,0.0019163173615265074,234407.76699029127,1
temporal,reverse,0.5,stratified,0.4283005278578278,,0.8952513966480447,0.9048543689320389,0.4394800974817222,0.4394800974817222,0.0019788165475183705,217165.04854368934,1
temporal,reverse,0.5,tree,0.2995117496223963,,0.6885474860335196,0.9825242718446602,0.5898412335797912,0.5811788667547955,0.0014024279848299929,235805.82524271845,1
temporal,reverse,0.5,xgboost,0.44725721199078594,,0.5432960893854749,0.6485436893203883,0.3785560429096222,0.3603762729104025,0.0016759780135042165,155650.48543689318,1
temporal,reverse,0.6,hgb,0.5341864874794737,,0.7032967032967034,0.6349514563106796,0.36448800493937555,0.374623901285785,0.0022148002819300998,152388.3495145631,1
temporal,reverse,0.6,logreg,0.5437288445704876,,0.35274725274725277,0.10679611650485436,0.3685187884492187,0.3685092216107245,0.006575706341997589,25631.06796116505,1
temporal,reverse,0.6,majority,0.3897216274089936,,1.0,1.0,0.36140350877192984,0.36140350877192984,0.002,240000.0,1
temporal,reverse,0.6,mlp,0.36212130835185774,,0.43626373626373627,0.7145631067961165,0.43723830580711365,0.4485493279392259,0.0012220161338644248,171495.14563106795,1
temporal,reverse,0.6,rf,0.383271904841682,,0.9494505494505494,0.9941747572815534,0.2570601949725454,0.16374442728415617,0.001910199337989888,238601.9417475728,1
temporal,reverse,0.6,stratified,0.45333382833382835,,0.8934065934065935,0.8951456310679612,0.391578947368421,0.38736842105263164,0.001996122270456725,214834.9514563107,1
temporal,reverse,0.6,tree,0.36217990069344486,,0.8824175824175824,0.9980582524271845,0.4357894736842105,0.407719298245614,0.0017686785544715421,239533.98058252427,1
temporal,reverse,0.6,xgboost,0.4205719733970209,,0.5307692307692308,0.6912621359223301,0.4106203317642212,0.3914669251170728,0.001536365957312503,165902.91262135922,1
temporal,reverse,0.7,hgb,0.5190281229393624,,0.6790123456790124,0.6407766990291263,0.383890026695015,0.39556563591423205,0.0021190886684305165,153786.4077669903,1
temporal,reverse,0.7,logreg,0.548510134997349,,0.37037037037037035,0.08349514563106795,0.3630553642333233,0.3683285872478057,0.008811115350331657,20038.83495145631,1
temporal,reverse,0.7,majority,0.401755055322396,,1.0,1.0,0.3284438775510204,0.3284438775510204,0.002,240000.0,1
temporal,reverse,0.7,mlp,0.39726487121402804,,0.4843304843304843,0.6893203883495146,0.4069497287273407,0.4160571790006895,0.0014060768376424515,165436.8932038835,1
temporal,reverse,0.7,rf,0.39686416900478627,,0.9420702754036088,0.9902912621359223,0.2362165338113374,0.15848178045926697,0.0019027978256825192,237669.90291262136,1
temporal,reverse,0.7,stratified,0.4677491472889994,,0.8803418803418803,0.8815533980582524,0.36989795918367346,0.36862244897959184,0.0019972568921929716,211572.81553398058,1
temporal,reverse,0.7,tree,0.3781334975982583,,0.7435897435897436,0.9359223300970874,0.47876519023009395,0.4791108163000075,0.001589652178568551,224621.35922330097,1
temporal,reverse,0.7,xgboost,0.43848290112392946,,0.5897435897435898,0.7145631067961165,0.3734760582447052,0.3581315794308095,0.001651217893430718,171495.14563106795,1
