protocol,direction,train_frac,rep,model,n_train_sessions,n_test_sessions,n_train,n_test,train_prevalence,test_prevalence,f1_macro,recall,fpr,precision,pr_auc,brier,ece,alerts_per_hour,false_alerts_per_hour,ppv_deploy
random_sessions,n/a,0.5,1,xgboost,15,15,1072,1736,0.7154850746268657,0.7949308755760369,0.7738479075069207,0.9072463768115943,0.3595505617977528,0.9072463768115943,0.8885077280821264,0.12549065053462982,0.13950803275097126,86728.48579425583,86292.13483146067,0.005031230037041138
random_sessions,n/a,0.5,1,hgb,15,15,1072,1736,0.7154850746268657,0.7949308755760369,0.7999737987268707,0.9318840579710145,0.351123595505618,0.9114103472714387,0.893297884318889,0.115666201291782,0.1171527754313914,84717.86367067306,84269.66292134832,0.005290510524050088
random_sessions,n/a,0.5,1,mlp,15,15,1072,1736,0.7154850746268657,0.7949308755760369,0.729133727219772,0.8528985507246377,0.35674157303370785,0.9026073619631901,0.911091914256174,0.14818798005580902,0.169329562088451,86028.18925589332,85617.97752808989,0.004768340835156328
random_sessions,n/a,0.5,1,stratified,15,15,1072,1736,0.7154850746268657,0.7949308755760369,0.5115527720972506,0.7152173913043478,0.6769662921348315,0.8037459283387622,0.8012355546172035,0.3652073732718894,0.34907834101382484,162815.90244485062,162471.91011235956,0.002112768638232908
random_sessions,n/a,0.5,1,majority,15,15,1072,1736,0.7154850746268657,0.7949308755760369,0.4428754813863928,1.0,1.0,0.7949308755760369,0.7949308755760369,0.20506912442396313,0.20506912442396313,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,2,logreg,15,15,1641,1167,0.837903717245582,0.6615252784918595,0.7938398012862149,0.9455958549222798,0.3949367088607595,0.8239277652370203,0.8727763077519395,0.1537301597626541,0.12625281993650084,95239.6057281481,94784.81012658228,0.00477527807983576
random_sessions,n/a,0.5,2,tree,15,15,1641,1167,0.837903717245582,0.6615252784918595,0.7717852615070844,0.9857512953367875,0.4911392405063291,0.7968586387434555,0.7949303136621504,0.17566409597257926,0.15681233933161953,118347.52656095952,117873.41772151898,0.004006073073241043
random_sessions,n/a,0.5,2,rf,15,15,1641,1167,0.837903717245582,0.6615252784918595,0.8171692372928263,1.0,0.42278481012658226,0.8221512247071352,0.9147144497144268,0.12585496825636278,0.13304270058452564,101949.31635422744,101468.35443037974,0.004717657175616281
random_sessions,n/a,0.5,2,xgboost,15,15,1641,1167,0.837903717245582,0.6615252784918595,0.8323376882186372,1.0,0.3924050632911392,0.8327939590075513,0.8246665647753618,0.12629865109920502,0.1299832917184714,94658.17711372112,94177.21518987342,0.005081039361975816
random_sessions,n/a,0.5,2,hgb,15,15,1641,1167,0.837903717245582,0.6615252784918595,0.8339094014313597,0.9987046632124352,0.38734177215189874,0.8344155844155844,0.8559047552781951,0.1300414278403309,0.13132672962669384,93442.36423263,92962.02531645569,0.005140483335572363
random_sessions,n/a,0.5,2,mlp,15,15,1641,1167,0.837903717245582,0.6615252784918595,0.8123292473149366,0.9676165803108808,0.38734177215189874,0.83,0.8500367608767168,0.14167486131191254,0.1261751824152363,93427.41204846895,92962.02531645569,0.004981265367511332
random_sessions,n/a,0.5,2,stratified,15,15,1641,1167,0.837903717245582,0.6615252784918595,0.470942508249095,0.8264248704663213,0.8430379746835444,0.6570545829042225,0.6578305844699522,0.4001713796058269,0.33504712939160236,202726.5928196657,202329.11392405065,0.0019606648051774807
random_sessions,n/a,0.5,2,majority,15,15,1641,1167,0.837903717245582,0.6615252784918595,0.39814337287261475,1.0,1.0,0.6615252784918595,0.6615252784918595,0.3384747215081405,0.3384747215081405,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,3,logreg,15,15,1265,1543,0.68300395256917,0.83149708360337,0.6048305984466091,0.5752143413873734,0.019230769230769232,0.9932705248990579,0.9732189773621626,0.2756970983643904,0.3503030238925605,4892.040811643072,4615.384615384615,0.056552307495067
random_sessions,n/a,0.5,3,tree,15,15,1265,1543,0.68300395256917,0.83149708360337,0.7324086738321886,0.7825409197194076,0.11538461538461539,0.9709864603481625,0.9406532287723268,0.20025923525599482,0.19507453013609852,28068.680078545487,27692.307692307695,0.013408980585641233
random_sessions,n/a,0.5,3,rf,15,15,1265,1543,0.68300395256917,0.83149708360337,0.8367431347087962,0.8628215120810601,0.0,1.0,0.9974772938681238,0.1044191132095429,0.2119710630158102,414.9842943876842,0.0,1.0
random_sessions,n/a,0.5,3,xgboost,15,15,1265,1543,0.68300395256917,0.83149708360337,0.8130376832666909,0.8378799688230709,0.0,1.0,0.9986345702201833,0.11172851920127869,0.16823589836045214,402.9883617585912,0.0,1.0
random_sessions,n/a,0.5,3,hgb,15,15,1265,1543,0.68300395256917,0.83149708360337,0.8359824710698784,0.8620420888542478,0.0,1.0,0.998305266870978,0.10110954618253679,0.11915937310664772,414.609421493025,0.0,1.0
random_sessions,n/a,0.5,3,mlp,15,15,1265,1543,0.68300395256917,0.83149708360337,0.8278174540323393,0.8581449727201871,0.015384615384615385,0.9963800904977376,0.9972526407236615,0.08962933719158173,0.16210349132451732,4105.042749327422,3692.3076923076924,0.1005434248126533
random_sessions,n/a,0.5,3,stratified,15,15,1265,1543,0.68300395256917,0.83149708360337,0.4888536597145869,0.6812159002338269,0.6692307692307692,0.833969465648855,0.8331813095642071,0.3778353856124433,0.36228127025275436,160943.0235253167,160615.3846153846,0.0020357447173257734
random_sessions,n/a,0.5,3,majority,15,15,1265,1543,0.68300395256917,0.83149708360337,0.45399858457183295,1.0,1.0,0.83149708360337,0.83149708360337,0.16850291639662995,0.16850291639662995,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,4,logreg,15,15,1402,1406,0.7282453637660485,0.8008534850640113,0.7060325919852414,0.6962699822380106,0.05357142857142857,0.981226533166458,0.9637354183380089,0.1988092045645354,0.23068671856579828,13192.022207317452,12857.142857142857,0.025384989875838815
random_sessions,n/a,0.5,4,tree,15,15,1402,1406,0.7282453637660485,0.8008534850640113,0.8126859305543059,0.866785079928952,0.14642857142857144,0.95968534906588,0.9385265749981355,0.13584637268847796,0.13584637268847793,35559.747762462255,35142.857142857145,0.01172366638790355
