direction,model,level,split_seed,model_seed,domain,n_train,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
b_to_a,tree,2,114,11,target,240000,0.5,559922,18395,69651,992214,0.3838433783567921,0.5759089964354678,0.9681921852547997,0.3607428730472072,0.5256365664954824,0.3233890578555152,0.07161851538962724,0.2089248801762715,0.6392571269527928,0.7910751198237285,0.5772784081971866,0.9545787938230643,0.06416026418573517,0.6169285917431092
b_to_a,rf,2,114,11,source_heldout,240000,0.5,31626,10013,13571,4790,0.7532833333333333,0.7219484539278365,0.7595283268090012,0.8684644112478032,0.8103516751008903,0.7287185720837626,0.470477287242351,0.4245675033921303,0.13153558875219684,0.5754324966078698,0.8433918566778764,0.8864368483722291,0.7841838029461246,0.15282871980531515
b_to_a,rf,2,114,11,target,240000,0.5,503145,9972,78074,1048991,0.35436250367337285,0.6054519908427227,0.9805658358619964,0.32416295994680877,0.48724780934829776,0.3078764709006089,0.10252311586566817,0.11325897826136337,0.6758370400531912,0.8867410217386367,0.8322380658889275,0.9815645704531073,0.526266523473042,0.39716993962352354
b_to_a,xgboost,2,114,11,source_heldout,240000,0.5,29456,7305,16279,6960,0.76225,0.7495656627590598,0.801283969424118,0.8088752196836555,0.8050616997143911,0.7502018662380341,0.500457617361899,0.30974389416553594,0.19112478031634447,0.6902561058344641,0.8637700365857494,0.8923678828122581,0.8071252542786094,0.13890117406845093
b_to_a,xgboost,2,114,11,target,240000,0.5,963999,9249,78797,588137,0.6357806633654071,0.7580157951189965,0.9904967695797988,0.621078951844426,0.7634474598714492,0.4860933821119412,0.23677879230252113,0.105047361606433,0.378921048155574,0.894952638393567,0.8528564904374627,0.9886933506738202,0.3154551076868906,0.3369457721710205
b_to_a,hgb,2,114,11,source_heldout,240000,0.5,29469,7327,16257,6947,0.7621,0.7492777378187351,0.8008750951190347,0.8092322056239016,0.805031961973447,0.7499768683937509,0.50001911864768,0.3106767299864315,0.19076779437609842,0.6893232700135685,0.8635776521221754,0.8922139798315426,0.8067245852409775,0.13879263045258214
b_to_a,hgb,2,114,11,target,240000,0.5,582194,8329,79717,969942,0.4035594830329805,0.6402469264645703,0.9858955536024846,0.37509213110191375,0.5434313159490147,0.3417839094105123,0.13170447261384818,0.09459827817277332,0.6249078688980862,0.9054017218272267,0.819305582452781,0.983828172581343,0.2277862295752772,0.48109076242508797
b_to_a,mlp,3,114,11,source_heldout,240000,0.5,29432,7343,16241,6984,0.7612166666666667,0.7484305063395278,0.8003263086335826,0.8082161687170475,0.8042518888934432,0.7490891352860901,0.49823653597123263,0.31135515603799185,0.19178383128295254,0.6886448439620081,0.8632123258133287,0.8918770646424364,0.8073388506136769,0.13482722640037537
b_to_a,mlp,3,114,11,target,240000,0.5,1106394,14761,73285,445742,0.7192366456893199,0.7725846338568433,0.9868341130352182,0.7128202683270023,0.8277392921309352,0.5345882416874109,0.264194190005533,0.16765100061331575,0.2871797316729977,0.8323489993866843,0.8210257217190471,0.9823426482704074,0.27819487668491677,0.27649807929992676
b_to_a,majority,1,115,11,source_heldout,240000,0.5,36201,23799,0,0,0.60335,0.5,0.60335,1.0,0.752611719212898,0.376305859606449,0.0,1.0,0.0,0.0,0.5,0.60335,0.39665,0.39665
b_to_a,majority,1,115,11,target,240000,0.5,1552136,88046,0,0,0.9463193718745847,0.5,0.9463193718745847,1.0,0.9724194143565897,0.48620970717829487,0.0,1.0,0.0,0.0,0.5,0.9463193718745847,0.05368062812541535,0.05368062812541535
b_to_a,stratified,1,115,11,source_heldout,240000,0.5,21990,14322,9477,14211,0.52445,0.502825896100025,0.605584930601454,0.6074417833761498,0.6065119357908237,0.5028263766388574,0.005656353481132842,0.6017899911760999,0.39255821662385015,0.3982100088239002,0.5028258961000249,0.6047075902302692,0.3980142626487716,0.47555
b_to_a,stratified,1,115,11,target,240000,0.5,941798,53455,34591,610338,0.5952930833285575,0.4998248083050879,0.9462900388142512,0.6067754372039563,0.739422208386705,0.4169037096710291,-0.00016167412176823216,0.6071258205937805,0.3932245627960436,0.3928741794062195,0.4998248083050879,0.9463015732940763,0.053662844002479296,0.40470691667144254
b_to_a,logreg,2,115,11,source_heldout,240000,0.5,27929,8311,15488,8272,0.7236166666666667,0.7111408356440676,0.770667770419426,0.7714980249164388,0.7710826741762262,0.7111999926527801,0.42240063002408834,0.3492163536283037,0.22850197508356124,0.6507836463716963,0.8171505095216451,0.8608481387504112,0.7615490257321191,0.1561766194304116
b_to_a,logreg,2,115,11,target,240000,0.5,1197127,22956,65090,355009,0.7695591099036571,0.7552748916429894,0.9811848866019771,0.7712771303545566,0.8636597613680593,0.5599232398630042,0.2636254205377427,0.2607273470685778,0.22872286964544344,0.7392726529314222,0.8314979257816587,0.9812324011772304,0.42999387172646636,0.17231340094584988
