model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
stratified,105,0.07513593672763223,82943,0.924506616911595,207952,0.9243753014092557,55987
logreg,105,0.8613987919414537,82943,0.16304243286912365,207952,0.7164520335077786,55987
tree,105,0.5470142145810979,82943,0.4940274678772024,207952,0.6388447318127423,55987
rf,105,0.1541058317157566,82943,0.7448738170347003,207952,0.6417918445353386,55987
xgboost,105,0.1770975248061922,82943,0.7356361083326921,207952,0.6388625931019701,55987
hgb,105,0.17166005570090304,82943,0.7595406632299762,207952,0.6388625931019701,55987
mlp,105,0.18528386964541915,82943,0.7775159652227437,207952,0.6387375640773751,55987
majority,106,0.0,82943,1.0,207952,1.0,55987
stratified,106,0.059631313070421854,82943,0.9404766484573364,207952,0.9397002875667566,55987
logreg,106,0.8359475784574949,82943,0.17171270293144572,207952,0.716398449640095,55987
tree,106,0.15221296553054509,82943,0.7766984688774332,207952,0.6402021897940593,55987
rf,106,0.13496015335833042,82943,0.7800405862891436,207952,0.6424169896583135,55987
xgboost,106,0.17104517560252222,82943,0.7775544356389936,207952,0.6402736349509708,55987
hgb,106,0.1651736734866113,82943,0.7775159652227437,207952,0.6391840963080715,55987
mlp,106,0.1768443388833295,82943,0.7774630684004001,207952,0.6401486059263758,55987
majority,107,0.0,82943,1.0,207952,1.0,55987
stratified,107,0.07491892022232136,82943,0.9247230130030006,207952,0.9246968046153571,55987
logreg,107,0.8689461437372653,82943,0.15792586750788642,207952,0.7164520335077786,55987
tree,107,0.17667554826808773,82943,0.6267263599292144,207952,0.36056584564273847,55987
rf,107,0.12861844881424592,82943,0.703320958682773,207952,0.6400592994802364,55987
xgboost,107,0.1779294214098839,82943,0.7603629683773179,207952,0.6378623609052101,55987
hgb,107,0.17336001832583822,82943,0.7585548588135723,207952,0.637505135120653,55987
mlp,107,0.18166692789023786,82943,0.72102215895976,207952,0.2807616053726758,55987
majority,108,0.0,82943,1.0,207952,1.0,55987
stratified,108,0.06082490384963168,82943,0.939178271908902,207952,0.9383964134531231,55987
logreg,108,0.8077113198220465,82943,0.18813476186812342,207952,0.7164520335077786,55987
tree,108,0.32015962769612866,82943,0.5999798030314688,207952,0.6400592994802364,55987
rf,108,0.1425919004617629,82943,0.80647937985689,207952,0.6401664672156037,55987
xgboost,108,0.172504008777112,82943,0.77750153881665,207952,0.6402736349509708,55987
hgb,108,0.16229217655498354,82943,0.7830124259444488,207952,0.6404522478432493,55987
mlp,108,0.17695284713598494,82943,0.7776890820958683,207952,0.2837801632521835,55987
majority,109,0.0,82943,1.0,207952,1.0,55987
stratified,109,0.05807602811569391,82943,0.9418952450565515,207952,0.9413792487541751,55987
logreg,109,0.8601449187996576,82943,0.1533767407863353,207952,0.7161662528801329,55987
tree,109,0.14991017927974634,82943,0.7708365392013542,207952,0.28328004715380356,55987
rf,109,0.1699721495484851,82943,0.7712068169577595,207952,0.28270848589851216,55987
xgboost,109,0.18131729018723702,82943,0.7710481264907286,207952,0.6377016093021595,55987
hgb,109,0.17549401396139516,82943,0.7711731553435408,207952,0.637130048046868,55987
mlp,109,0.17604861169718963,82943,0.7310148495806724,207952,0.2835658277814493,55987
majority,110,0.0,82943,1.0,207952,1.0,55987
stratified,110,0.0758954944962203,82943,0.9236746941601908,207952,0.9233929305017237,55987
logreg,110,0.8689943696273345,82943,0.15784892667538664,207952,0.7164520335077786,55987
tree,110,0.21808953136491324,82943,0.6137474032469031,207952,0.6370943254684123,55987
rf,110,0.15181510193747513,82943,0.7180166576902363,207952,0.6392019575972994,55987
xgboost,110,0.1912277105964337,82943,0.7115824805724398,207952,0.6382553092682229,55987
hgb,110,0.17472239972028983,82943,0.7565399707624837,207952,0.6384160608712737,55987
mlp,110,0.17770034843205576,82943,0.7360304300992536,207952,0.6381481415328558,55987
