seed,model,calibrator,domain,oracle,brier,ece,f1_macro,recall,fpr,precision,pr_auc,roc_auc,ppv_deploy,alerts_per_hour,mean_score,tp,fp,tn,fn
101,hgb,isotonic,source_test,False,0.02290384590334018,0.030030815414223762,0.6323728853763628,0.9793340511886026,0.6673532440782698,0.9864836677652163,0.9961197018078187,0.8817603037580432,0.0029322379351951968,160635.800968134,0.955432873124491,,,,
101,hgb,isotonic,target,False,0.3169757457775928,0.2977884059680613,0.4156663838066515,0.9751487835177802,0.9569448398278547,0.6115749174154783,0.6527091289859825,0.591915454329552,0.002037968425914134,230135.7709936436,0.9048775399268355,,,,
101,hgb,isotonic+prior_ORACLE,target,True,0.28310651453326674,0.26216352078754274,0.5927313905190968,0.8427859806842213,0.648883483765092,0.6674230232807639,0.6527091289859825,0.591915454329552,0.002596098103445143,156137.38407028385,0.7058743272080223,622105.0,309995.0,167741.0,116048.0
101,hgb,isotonic+prior_EM,target,False,0.2844456749843001,0.25945717051297235,0.5927313905190968,0.8427859806842213,0.648883483765092,0.6674230232807639,0.6527091289859825,0.591915454329552,0.002596098103445143,156137.38407028385,0.7346747510428246,622105.0,309995.0,167741.0,116048.0
101,hgb,temperature,source_test,False,0.10440852323785474,0.1803640217833403,0.5631529293093165,0.8759214776774621,0.22657054582904224,0.9948259642521167,0.9967811377963631,0.8795201764787723,0.007687930570241426,54798.215878013405,0.7999905879634445,,,,
101,hgb,temperature,target,False,0.2813000492673946,0.31818065534851825,0.5823712069024609,0.7727110775137404,0.6065755982383576,0.6631064845924373,0.6572247309335361,0.5918052587766343,0.0025463867474192787,145949.78818362526,0.6360688414507564,,,,
101,mlp,raw,source_test,False,0.13581089675426483,0.25444676167480285,0.5509548218661721,0.8530191336039096,0.16374871266735325,0.9961550552559669,0.9960282417237025,0.8789024743316128,0.010331657742448283,39709.96076374181,0.7266242504119873,,,,
101,mlp,raw,target,False,0.34191226959228516,0.34394357525052444,0.5841836884579106,0.781725468839116,0.6113878794983003,0.6639317006380053,0.6343811717971959,0.5481562434436098,0.0025557919860448547,147109.07126500568,0.7057390809059143,,,,
101,mlp,platt,source_test,False,0.02358917590406624,0.03222482240796279,0.6998674075164026,0.9951337695684586,0.6807415036045315,0.9864321195451373,0.9960282417237025,0.8789024743316128,0.0029209778791210255,163856.582317385,0.9550019609350893,,,,
101,mlp,platt,target,False,0.3786208460605796,0.38017959108174026,0.4602996499317451,0.8868879487044014,0.8716990136811963,0.6112019314705149,0.634381171797196,0.5481562434436098,0.0020347781256432893,209634.32261753333,0.8918595739512707,,,,
101,mlp,platt+prior_ORACLE,target,True,0.41516565888704177,0.4267944235102382,0.45299167115286604,0.7918046800595541,0.8313817673359345,0.5953961375392959,0.634381171797196,0.5481562434436098,0.0019049733936198755,199912.45206285734,0.8124540808255963,584473.0,397181.0,80555.0,153680.0
101,mlp,platt+prior_EM,target,False,0.4064094000290619,0.4140058571657544,0.4565996276145331,0.8028322041636354,0.8325455900329889,0.5983874387842681,0.634381171797196,0.5481562434436098,0.0019287580733319439,200197.07332935877,0.8358160069073012,592613.0,397737.0,79999.0,145540.0
101,mlp,platt+prior_BBSE,target,False,0.4118650092378493,0.4214500652280973,0.4539160837683088,0.7956087694556548,0.8322483547398564,0.5962994326189287,0.634381171797196,0.5481562434436098,0.0019121187183150897,200122.26266195302,0.8245733224764032,587281.0,397595.0,80141.0,150872.0
101,mlp,isotonic,source_test,False,0.019338754937052727,0.02473208588136574,0.6810506965258181,0.9961277230183053,0.7281153450051493,0.9855158567565353,0.9964376078892846,0.8903161662536425,0.002734168257570965,175226.78230729673,0.961068868637085,,,,
101,mlp,isotonic,target,False,0.3777652084827423,0.3476173938379131,0.4570839537892988,0.8869502664081836,0.8758016980089421,0.6101022544816127,0.640306544591216,0.5555770383352016,0.0020254075506588322,210618.99682863502,0.8879287242889404,,,,
101,mlp,isotonic+prior_ORACLE,target,True,0.3634356667434644,0.3714809709967856,0.4571281306543321,0.8062461305447516,0.8337429040306781,0.5990616462762799,0.640306544591216,0.5555770383352016,0.001934167739284997,200486.0706574043,0.7738909871284099,595133.0,398309.0,79427.0,143020.0
