attack,model,eps,f1_macro,f1_drop,recall,recall_drop,fpr,fpr_rise,false_alerts_per_hour,ppv_deploy,n
evasion_unconstrained,mlp,0.01,0.7000145273593182,2.1543089982767328e-05,0.9516664509510061,2.571335981356171e-05,0.45284118450077393,0.0,108681.88428018575,0.004727701593438945,5
evasion_unconstrained,mlp,0.05,0.7000331145308342,2.955918466862606e-06,0.9518923445230711,-0.0002001802122514329,0.45284118450077393,0.0,108681.88428018575,0.004729350416353965,5
evasion_unconstrained,mlp,0.1,0.6998369202467234,0.00019915020257756932,0.9525123613778325,-0.0008201970670128178,0.45284118450077393,0.0,108681.88428018575,0.0047336809806121285,5
evasion_unconstrained,mlp,0.25,0.689489318899802,0.010546751549498934,0.9527144685298812,-0.0010223042190614872,0.45284118450077393,0.0,108681.88428018575,0.004739394347351777,5
evasion_unconstrained,mlp,0.5,0.6657582305539235,0.0342778398953776,0.9424432549550232,0.009248909355796541,0.45284118450077393,0.0,108681.88428018575,0.004705623581849223,5
evasion_unconstrained,rf,0.0,0.6768009007658111,0.0,0.9049184138133273,0.0,0.3019516192825963,0.0,72468.38862782312,0.00846785641676583,5
evasion_unconstrained,rf,0.01,0.6887558130681374,-0.011954912302326171,0.9081731964976724,-0.003254782684345092,0.3019516192825963,0.0,72468.38862782312,0.008509038790566524,5
evasion_unconstrained,rf,0.05,0.700560117373896,-0.023759216608084766,0.9134888816543842,-0.008570467841057083,0.3019516192825963,0.0,72468.38862782312,0.008557196668235161,5
evasion_unconstrained,rf,0.1,0.706083073960974,-0.029282173195162943,0.9173692165221279,-0.01245080270880059,0.3019516192825963,0.0,72468.38862782312,0.00859293220868252,5
evasion_unconstrained,rf,0.25,0.7172203366457449,-0.040419435879933775,0.9262393780648122,-0.02132096425148493,0.3019516192825963,0.0,72468.38862782312,0.008658672487221028,5
evasion_unconstrained,rf,0.5,0.721842935503856,-0.0450420347380448,0.9394313045255762,-0.034512890712248924,0.3019516192825963,0.0,72468.38862782312,0.008690116346923325,5
evasion_unconstrained,tree,0.0,0.6254424044543221,0.0,0.8630260310026531,0.0,0.20223647745288123,0.0,48536.75458869149,0.013912843990617544,5
evasion_unconstrained,tree,0.01,0.617124555119615,0.008317849334707195,0.8479502022363169,0.015075828766336175,0.20223647745288123,0.0,48536.75458869149,0.013801729566286813,5
evasion_unconstrained,tree,0.05,0.6111593360091699,0.01428306844515217,0.8444105071551844,0.018615523847468694,0.20223647745288123,0.0,48536.75458869149,0.013780466944263358,5
evasion_unconstrained,tree,0.1,0.5807946429665967,0.044647761487725424,0.8132595531092672,0.04976647789338588,0.20223647745288123,0.0,48536.75458869149,0.013399318204650772,5
evasion_unconstrained,tree,0.25,0.5303345347578438,0.09510786969647844,0.7478661514514817,0.11515987955117132,0.20223647745288123,0.0,48536.75458869149,0.01248304365713388,5
evasion_unconstrained,tree,0.5,0.498340182763852,0.1271022216904701,0.7069000041399935,0.1561260268626595,0.20223647745288123,0.0,48536.75458869149,0.011668071840756255,5
evasion_unconstrained,xgboost,0.0,0.6355657610879993,0.0,0.8629259452567041,0.0,0.0932441453213551,0.0,22378.594877125222,0.0365625545683697,5
evasion_unconstrained,xgboost,0.01,0.6422905022409164,-0.006724741152917069,0.8676061413722953,-0.004680196115591362,0.0932441453213551,0.0,22378.594877125222,0.03667428725853591,5
evasion_unconstrained,xgboost,0.05,0.6416932041149771,-0.006127443026977697,0.8657622474050747,-0.0028363021483706506,0.0932441453213551,0.0,22378.594877125222,0.036680179039900965,5
evasion_unconstrained,xgboost,0.1,0.6408527231769732,-0.005286962088973779,0.8616120066319043,0.0013139386247997375,0.0932441453213551,0.0,22378.594877125222,0.03663092082475075,5
evasion_unconstrained,xgboost,0.25,0.6222350200047777,0.013330741083221697,0.8387288583788848,0.024197086877819296,0.0932441453213551,0.0,22378.594877125222,0.03592024598952633,5
evasion_unconstrained,xgboost,0.5,0.5628681897204876,0.07269757136751179,0.7814395476402735,0.08148639761643062,0.0932441453213551,0.0,22378.594877125222,0.03398215314470639,5
gaussian_noise,hgb,0.0,0.6160452335425184,0.0,0.8448849952808445,0.0,0.10195845196961639,0.0,24470.028472707934,0.02963810195379472,5
gaussian_noise,hgb,0.01,0.6212536773085521,-0.005208443766033732,0.8480405335443535,-0.00315553826350905,0.11856625694137253,0.016607804971756134,28455.901665929403,0.019266976589274155,5
gaussian_noise,hgb,0.05,0.615647666329779,0.00039756721273945803,0.8425728026053635,0.002312192675480973,0.12603864587286295,0.02408019390324656,30249.275009487108,0.015308368338528725,5
gaussian_noise,hgb,0.1,0.600666118453659,0.015379115088859452,0.827972306225254,0.016912689055590624,0.19814201692248878,0.09618356495287239,47554.08406139731,0.011367073940707673,5
gaussian_noise,hgb,0.25,0.5564359202105351,0.05960931333198331,0.791448832731683,0.0534361625491615,0.23391162527489096,0.13195317330527456,56138.79006597382,0.007361552725885788,5
gaussian_noise,hgb,0.5,0.5126087140413448,0.10343651950117363,0.7579257815345117,0.08695921374633273,0.30071851198553634,0.19876006001591995,72172.44287652872,0.005155461244263848,5
gaussian_noise,logreg,0.0,0.5932431059675991,0.0,0.8610308119445259,0.0,0.18356098400776238,0.0,44054.63616186297,0.012001829573077811,5
