model,split_seed,tau,tp,fp,fn,tn
logreg,101,0.56,349,2,73,165
logreg,101,0.57,346,2,76,165
logreg,101,0.58,345,2,77,165
logreg,101,0.59,342,2,80,165
logreg,101,0.6,340,2,82,165
logreg,101,0.61,338,2,84,165
logreg,101,0.62,335,2,87,165
logreg,101,0.63,332,2,90,165
logreg,101,0.64,329,2,93,165
logreg,101,0.65,323,2,99,165
logreg,101,0.66,315,2,107,165
logreg,101,0.67,310,2,112,165
logreg,101,0.68,297,2,125,165
logreg,101,0.69,290,2,132,165
logreg,101,0.7,277,2,145,165
logreg,101,0.71,264,2,158,165
logreg,101,0.72,256,2,166,165
logreg,101,0.73,252,2,170,165
logreg,101,0.74,245,2,177,165
logreg,101,0.75,235,2,187,165
logreg,101,0.76,233,2,189,165
logreg,101,0.77,229,1,193,166
logreg,101,0.78,224,1,198,166
logreg,101,0.79,221,1,201,166
logreg,101,0.8,214,1,208,166
logreg,101,0.81,210,1,212,166
logreg,101,0.82,204,0,218,167
logreg,101,0.83,198,0,224,167
logreg,101,0.84,193,0,229,167
logreg,101,0.85,185,0,237,167
logreg,101,0.86,178,0,244,167
logreg,101,0.87,175,0,247,167
logreg,101,0.88,169,0,253,167
logreg,101,0.89,164,0,258,167
logreg,101,0.9,158,0,264,167
logreg,101,0.91,146,0,276,167
logreg,101,0.92,136,0,286,167
logreg,101,0.93,128,0,294,167
logreg,101,0.94,115,0,307,167
logreg,101,0.95,109,0,313,167
logreg,101,0.96,100,0,322,167
logreg,101,0.97,90,0,332,167
logreg,101,0.98,70,0,352,167
logreg,101,0.99,54,0,368,167
logreg,101,0.995,41,0,381,167
logreg,101,0.999,17,0,405,167
logreg,101,0.9995,14,0,408,167
tree,101,0.01,410,10,12,157
tree,101,0.02,409,10,13,157
tree,101,0.03,409,10,13,157
tree,101,0.04,409,10,13,157
tree,101,0.05,409,10,13,157
tree,101,0.06,409,10,13,157
tree,101,0.07,409,10,13,157
tree,101,0.08,409,10,13,157
tree,101,0.09,409,10,13,157
tree,101,0.1,409,10,13,157
tree,101,0.11,409,10,13,157
tree,101,0.12,409,10,13,157
tree,101,0.13,409,10,13,157
tree,101,0.14,409,10,13,157
tree,101,0.15,409,10,13,157
tree,101,0.16,409,10,13,157
tree,101,0.17,409,10,13,157
tree,101,0.18,409,10,13,157
tree,101,0.19,409,10,13,157
tree,101,0.2,409,10,13,157
tree,101,0.21,409,10,13,157
tree,101,0.22,409,10,13,157
tree,101,0.23,409,10,13,157
tree,101,0.24,409,10,13,157
tree,101,0.25,409,10,13,157
tree,101,0.26,409,10,13,157
tree,101,0.27,409,10,13,157
tree,101,0.28,409,10,13,157
tree,101,0.29,409,10,13,157
tree,101,0.3,409,10,13,157
tree,101,0.31,409,10,13,157
tree,101,0.32,409,10,13,157
tree,101,0.33,409,10,13,157
tree,101,0.34,409,10,13,157
tree,101,0.35,409,10,13,157
tree,101,0.36,409,10,13,157
tree,101,0.37,409,10,13,157
tree,101,0.38,409,10,13,157
tree,101,0.39,409,10,13,157
tree,101,0.4,409,10,13,157
tree,101,0.41,409,10,13,157
tree,101,0.42,409,10,13,157
tree,101,0.43,409,10,13,157
tree,101,0.44,409,10,13,157
tree,101,0.45,409,10,13,157
tree,101,0.46,409,10,13,157
tree,101,0.47,409,10,13,157
tree,101,0.48,409,10,13,157
tree,101,0.49,409,10,13,157
tree,101,0.5,409,10,13,157
tree,101,0.51,409,10,13,157
tree,101,0.52,409,10,13,157
tree,101,0.53,409,10,13,157
tree,101,0.54,409,10,13,157
tree,101,0.55,409,10,13,157
tree,101,0.56,409,10,13,157
tree,101,0.57,409,10,13,157
tree,101,0.58,409,10,13,157
tree,101,0.59,409,10,13,157
tree,101,0.6,409,10,13,157
tree,101,0.61,409,10,13,157
tree,101,0.62,409,10,13,157
tree,101,0.63,409,10,13,157
tree,101,0.64,409,10,13,157
tree,101,0.65,409,10,13,157
tree,101,0.66,409,10,13,157
tree,101,0.67,409,10,13,157
tree,101,0.68,409,10,13,157
tree,101,0.69,409,10,13,157
tree,101,0.7,409,10,13,157
tree,101,0.71,409,10,13,157
tree,101,0.72,409,10,13,157
tree,101,0.73,409,10,13,157
tree,101,0.74,409,10,13,157
tree,101,0.75,409,10,13,157
tree,101,0.76,409,10,13,157
tree,101,0.77,409,10,13,157
tree,101,0.78,409,10,13,157
tree,101,0.79,409,10,13,157
tree,101,0.8,409,10,13,157
tree,101,0.81,409,10,13,157
tree,101,0.82,409,10,13,157
tree,101,0.83,409,10,13,157
tree,101,0.84,409,10,13,157
tree,101,0.85,409,10,13,157
tree,101,0.86,409,10,13,157
tree,101,0.87,409,10,13,157
tree,101,0.88,409,10,13,157
tree,101,0.89,409,10,13,157
tree,101,0.9,409,10,13,157
tree,101,0.91,409,10,13,157
tree,101,0.92,409,10,13,157
tree,101,0.93,409,10,13,157
tree,101,0.94,409,10,13,157
tree,101,0.95,353,10,69,157
tree,101,0.96,353,10,69,157
tree,101,0.97,353,10,69,157
tree,101,0.98,353,10,69,157
tree,101,0.99,353,10,69,157
tree,101,0.995,353,10,69,157
tree,101,0.999,353,10,69,157
tree,101,0.9995,353,10,69,157
rf,101,0.01,422,105,0,62
rf,101,0.02,422,98,0,69
rf,101,0.03,422,92,0,75
rf,101,0.04,422,92,0,75
rf,101,0.05,422,86,0,81
rf,101,0.06,422,83,0,84
rf,101,0.07,422,78,0,89
rf,101,0.08,422,77,0,90
rf,101,0.09,422,72,0,95
rf,101,0.1,422,70,0,97
rf,101,0.11,422,68,0,99
rf,101,0.12,422,66,0,101
rf,101,0.13,422,62,0,105
rf,101,0.14,422,62,0,105
rf,101,0.15,422,60,0,107
rf,101,0.16,422,59,0,108
rf,101,0.17,422,55,0,112
rf,101,0.18,422,53,0,114
rf,101,0.19,422,49,0,118
rf,101,0.2,422,45,0,122
rf,101,0.21,422,39,0,128
rf,101,0.22,422,29,0,138
rf,101,0.23,422,26,0,141
rf,101,0.24,422,26,0,141
rf,101,0.25,422,25,0,142
rf,101,0.26,422,24,0,143
rf,101,0.27,422,23,0,144
rf,101,0.28,422,23,0,144
rf,101,0.29,422,23,0,144
rf,101,0.3,422,21,0,146
rf,101,0.31,422,21,0,146
rf,101,0.32,422,20,0,147
rf,101,0.33,422,20,0,147
rf,101,0.34,421,19,1,148
rf,101,0.35,421,19,1,148
rf,101,0.36,421,19,1,148
rf,101,0.37,421,18,1,149
rf,101,0.38,421,17,1,150
rf,101,0.39,420,17,2,150
rf,101,0.4,420,17,2,150
rf,101,0.41,420,17,2,150
rf,101,0.42,420,16,2,151
rf,101,0.43,420,14,2,153
rf,101,0.44,420,11,2,156
rf,101,0.45,420,9,2,158
rf,101,0.46,420,7,2,160
rf,101,0.47,419,7,3,160
rf,101,0.48,419,6,3,161
rf,101,0.49,418,4,4,163
rf,101,0.5,418,4,4,163
rf,101,0.51,418,4,4,163
rf,101,0.52,418,3,4,164
rf,101,0.53,418,2,4,165
rf,101,0.54,418,2,4,165
rf,101,0.55,418,2,4,165
rf,101,0.56,418,2,4,165
rf,101,0.57,418,2,4,165
rf,101,0.58,418,2,4,165
rf,101,0.59,418,2,4,165
rf,101,0.6,418,2,4,165
rf,101,0.61,418,1,4,166
rf,101,0.62,417,1,5,166
rf,101,0.63,413,1,9,166
rf,101,0.64,413,1,9,166
rf,101,0.65,410,1,12,166
rf,101,0.66,410,0,12,167
rf,101,0.67,407,0,15,167
rf,101,0.68,407,0,15,167
rf,101,0.69,405,0,17,167
rf,101,0.7,405,0,17,167
rf,101,0.71,402,0,20,167
rf,101,0.72,402,0,20,167
rf,101,0.73,402,0,20,167
rf,101,0.74,401,0,21,167
rf,101,0.75,399,0,23,167
rf,101,0.76,399,0,23,167
rf,101,0.77,396,0,26,167
rf,101,0.78,391,0,31,167
rf,101,0.79,389,0,33,167
rf,101,0.8,385,0,37,167
rf,101,0.81,379,0,43,167
rf,101,0.82,373,0,49,167
