model,split_seed,background,background__n,benign,benign__n,icmp_flood,icmp_flood__n,pfcp_deletion,pfcp_deletion__n,syn_flood,syn_flood__n
tree,104,0.03747450713800136,23536,0.9241196013289037,15050,1.0,156,0.7961165048543689,103,1.0,580
rf,104,0.044485044187627464,23536,0.9150830564784053,15050,1.0,156,0.9805825242718447,103,1.0,580
xgboost,104,0.22255268524813052,23536,0.966843853820598,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,104,0.22263766145479266,23536,0.9615946843853821,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,104,0.2172416723317471,23536,0.9480398671096345,15050,0.0,156,0.0,103,1.0,580
majority,105,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,105,0.9247110808973488,23536,0.0756810631229236,15050,0.9294871794871795,156,0.9320388349514563,103,0.9206896551724137,580
logreg,105,0.21371515975526853,23536,0.9009966777408638,15050,0.0,156,0.0,103,1.0,580
tree,105,0.80175050985724,23536,0.2541528239202658,15050,1.0,156,0.9902912621359223,103,1.0,580
rf,105,0.8359109449354181,23536,0.19940199335548173,15050,1.0,156,1.0,103,1.0,580
xgboost,105,0.7912134602311353,23536,0.27780730897009964,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,105,0.7956747110808974,23536,0.272890365448505,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,105,0.21108089734874236,23536,0.9376744186046512,15050,0.0,156,0.883495145631068,103,1.0,580
majority,106,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,106,0.9411964649898028,23536,0.06046511627906977,15050,0.9423076923076923,156,0.941747572815534,103,0.9362068965517242,580
logreg,106,0.21371515975526853,23536,0.9129568106312292,15050,0.0,156,0.0,103,1.0,580
tree,106,0.8496346023113528,23536,0.2078405315614618,15050,1.0,156,0.6116504854368932,103,1.0,580
rf,106,0.8754673691366417,23536,0.15727574750830564,15050,1.0,156,0.9805825242718447,103,1.0,580
xgboost,106,0.799923521414004,23536,0.23893687707641195,15050,1.0,156,0.019417475728155338,103,1.0,580
hgb,106,0.76074949014276,23536,0.3214617940199336,15050,1.0,156,0.3883495145631068,103,1.0,580
mlp,106,0.8014955812372536,23536,0.2587375415282392,15050,0.0,156,0.9805825242718447,103,1.0,580
majority,107,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,107,0.9248810333106731,23536,0.07534883720930233,15050,0.9294871794871795,156,0.9320388349514563,103,0.9206896551724137,580
logreg,107,0.21371515975526853,23536,0.9145514950166113,15050,0.0,156,0.0,103,1.0,580
tree,107,0.2307953772943576,23536,0.9593355481727575,15050,1.0,156,0.4077669902912621,103,1.0,580
rf,107,0.8424116247450714,23536,0.20524916943521596,15050,1.0,156,1.0,103,1.0,580
xgboost,107,0.21826138681169271,23536,0.9727574750830564,15050,1.0,156,0.970873786407767,103,1.0,580
hgb,107,0.21681679129843645,23536,0.9441196013289036,15050,1.0,156,0.9805825242718447,103,1.0,580
mlp,107,0.6046906866077498,23536,0.24451827242524918,15050,0.0,156,0.970873786407767,103,1.0,580
majority,108,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,108,0.9397518694765465,23536,0.062059800664451825,15050,0.9423076923076923,156,0.941747572815534,103,0.9344827586206896,580
logreg,108,0.21371515975526853,23536,0.9132890365448505,15050,0.0,156,0.0,103,1.0,580
tree,108,0.8446634942216179,23536,0.23534883720930233,15050,1.0,156,0.23300970873786409,103,1.0,580
