protocol,direction,rep,model,model_seed,test_sessions,n_train,n_test,train_prevalence,test_prevalence,n_unseen_test_categories,balanced_accuracy,roc_auc,f1_macro,recall,fpr,false_alerts_per_benign_ue_hour,det_benign,det_bruteforce,det_ddos,det_dos,det_probe,det_web
random_stratified,n/a,20,stratified,11,"0,10,14,16,20,28",2160,648,0.7203703703703703,0.9120370370370371,0,0.4999109448748775,0.4999109448748775,0.4690269690408237,0.7191201353637902,0.7192982456140351,161.8421052631579,0.2807017543859649,0.7959183673469388,0.6538461538461539,0.7473684210526316,0.7170868347338936,0.6578947368421053
random_stratified,n/a,20,majority,11,"0,10,14,16,20,28",2160,648,0.7203703703703703,0.9120370370370371,0,0.5,0.5,0.47699757869249393,1.0,1.0,225.0,0.0,1.0,1.0,1.0,1.0,1.0
random_stratified,n/a,21,logreg,11,"7,11,13,20,22,26",2190,618,0.7415525114155251,0.8462783171521036,0,0.9158699808795412,0.9830532353829123,0.7957975999158919,0.8317399617590823,0.0,0.0,1.0,0.9459459459459459,0.8102766798418972,0.9702970297029703,0.6595744680851063,0.9210526315789473
random_stratified,n/a,21,tree,11,"7,11,13,20,22,26",2190,618,0.7415525114155251,0.8462783171521036,0,0.9488376773674148,0.9406561336419443,0.8909514398644833,0.9292543021032504,0.031578947368421054,7.105263157894737,0.968421052631579,1.0,0.9407114624505929,0.9801980198019802,0.7872340425531915,1.0
random_stratified,n/a,21,rf,11,"7,11,13,20,22,26",2190,618,0.7415525114155251,0.8462783171521036,0,0.9961759082217974,0.9997987320116736,0.9877713358529394,0.9923518164435946,0.0,0.0,1.0,1.0,1.0,1.0,0.9574468085106383,1.0
random_stratified,n/a,21,xgboost,11,"7,11,13,20,22,26",2190,618,0.7415525114155251,0.8462783171521036,0,0.9751434034416826,0.9990741672536984,0.9270697167755991,0.9502868068833652,0.0,0.0,1.0,1.0,0.9288537549407114,1.0,0.9148936170212766,1.0
random_stratified,n/a,21,hgb,11,"7,11,13,20,22,26",2190,618,0.7415525114155251,0.8462783171521036,0,0.9904397705544933,0.9998993660058367,0.9701737451737451,0.9808795411089866,0.0,0.0,1.0,1.0,0.9841897233201581,1.0,0.9468085106382979,0.9736842105263158
random_stratified,n/a,21,mlp,11,"7,11,13,20,22,26",2190,618,0.7415525114155251,0.8462783171521036,0,0.9741873804971319,0.9989936600583678,0.9245397358031503,0.9483747609942639,0.0,0.0,1.0,1.0,0.9565217391304348,0.9900990099009901,0.851063829787234,0.9736842105263158
random_stratified,n/a,21,stratified,11,"7,11,13,20,22,26",2190,618,0.7415525114155251,0.8462783171521036,0,0.4996477810204287,0.4996477810204287,0.49055975650354305,0.7361376673040153,0.7368421052631579,165.78947368421052,0.26315789473684215,0.7567567567567568,0.7272727272727273,0.7524752475247525,0.723404255319149,0.7631578947368421
random_stratified,n/a,21,majority,11,"7,11,13,20,22,26",2190,618,0.7415525114155251,0.8462783171521036,0,0.5,0.5,0.4583698510078878,1.0,1.0,225.0,0.0,1.0,1.0,1.0,1.0,1.0
