seed,model,calibrator,domain,oracle,brier,ece,f1_macro,recall,fpr,precision,pr_auc,roc_auc,ppv_deploy,alerts_per_hour,mean_score
101,tree,platt,target,False,0.3854413028837831,0.38225697142520876,0.37775697758799454,1.0,1.0,0.6070891339587742,0.5908307625502537,0.4654735817185339,0.002,240480.9619238477,0.9581568754016873
101,tree,platt+prior_ORACLE,target,True,0.3794908763058553,0.40230323837992676,0.39703585152097354,0.8768778288512002,0.9444253730093608,0.5892543715906691,0.5908307625502537,0.4654735817185339,0.0018572209189355207,227083.83436979025,0.8545712946280463
101,tree,isotonic,source_test,False,0.08973965745401193,0.10978540189856703,0.5776208013826186,0.8231661394788372,0.39949748743718594,0.971728307254623,0.9759479836131798,0.7769212552444402,0.004112285652803553,96275.30855501464,0.8619397670733004
101,tree,isotonic,target,False,0.3939562212101081,0.39402250961686514,0.38775375385354194,0.9190614953810389,0.96901636050036,0.5943950191967,0.5909919829188023,0.4660744172651127,0.0018970913222714789,233005.96010503918,0.9518355784628642
101,tree,isotonic+prior_ORACLE,target,True,0.37875369711024737,0.39689637566239133,0.40414601136002143,0.9049831132570076,0.9463804276839091,0.5963704407321968,0.5909919829188023,0.4660744172651127,0.0019126817644789693,227566.56506333992,0.8680498041491407
101,tree,temperature,source_test,False,0.14846001715688797,0.17769673186855348,0.5885984183567601,0.7953004970628107,0.22738693467336685,0.9831486826180058,0.9800268109315,0.813316989753709,0.006960361329479293,54955.3735787124,0.7895575181483216
101,tree,temperature,target,False,0.41810321854405236,0.4238136742642203,0.39703585152097354,0.8768778288512002,0.9444253730093608,0.5892543715906691,0.5908307625502537,0.4654735817185339,0.0018572209189355207,227083.83436979025,0.9061286096461292
102,logreg,raw,source_test,False,0.13261212305548903,0.2303841120506887,0.7925970979233643,0.9060150375939849,0.1583011583011583,0.979177247333672,0.9832614237812556,0.9000939043232277,0.011339604430037682,38428.03672779413,0.6611184841786679
102,logreg,raw,target,False,0.3712586721251532,0.3947001763402829,0.5445810224185135,0.2963965465154243,0.02391069544685768,0.9503798722030851,0.8289943594001059,0.7749020742379472,0.024239497921659192,5881.122360479714,0.2186329898814337
102,logreg,platt,source_test,False,0.09554300448366423,0.09871837007472531,0.47131782945736433,1.0,1.0,0.8914956011730205,0.9832614237812556,0.9000939043232277,0.002,240480.9619238477,0.9858714542295932
