seed,model,calibrator,domain,tau,recall,fpr,ppv_deploy,alerts_per_hour
101,logreg,platt,source_test,0.995,0.0,0.0,,0.0
101,logreg,platt,source_test,0.999,0.0,0.0,,0.0
101,logreg,platt,target,0.05,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.1,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.15000000000000002,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.2,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.25,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.3,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.35000000000000003,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.4,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.45,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.5,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.55,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.6000000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.6500000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.7000000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,target,0.7500000000000001,1.0,0.9716307751561531,0.0020582748795219034,233672.34796132447
101,logreg,platt,target,0.8,0.9954535170892755,0.8743008690992514,0.0022765108601474284,210310.98382250057
101,logreg,platt,target,0.8500000000000001,0.9181131824973955,0.8611241355058024,0.0021320774545378275,207111.37000395646
101,logreg,platt,target,0.9000000000000001,0.6137061015805666,0.33092544836478727,0.0037027013323182186,79717.2768748422
101,logreg,platt,target,0.9500000000000001,0.2951176788551967,0.032321198318736706,0.017969346006506313,7899.027963080471
101,logreg,platt,target,0.95,0.2951176788551967,0.032321198318736706,0.017969346006506313,7899.027963080471
101,logreg,platt,target,0.99,0.0,0.0,,0.0
101,logreg,platt,target,0.995,0.0,0.0,,0.0
101,logreg,platt,target,0.999,0.0,0.0,,0.0
101,logreg,isotonic,source_test,0.05,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.1,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.15000000000000002,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.2,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.25,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.3,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.35000000000000003,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.4,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.45,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.5,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.55,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.6000000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.6500000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,isotonic,source_test,0.7000000000000001,1.0,1.0,0.002,240480.9619238477
