model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
stratified,104,source_heldout,240000,60000,0.6073291666666667,0.5,22268,14110,9282,14340,0.5258333333333334,0.502542334119369,0.6121282093573038,0.6082823426573427,0.6101992162880553,0.5025301607453805,0.005075824045079665,0.6031976744186046,0.39171765734265734,0.39680232558139533,0.502542334119369,0.611346781194505,0.3910856907140171,0.4741666666666667
stratified,104,target,240000,39425,0.6073291666666667,0.5,481,23412,15174,358,0.3970830691185796,0.48327649390458055,0.02013141924413008,0.5733015494636472,0.03889697557819829,0.2998357896110438,-0.009878799165601398,0.6067485616544861,0.4266984505363528,0.3932514383455139,0.4832764939045806,0.020621906502505623,0.9780237099328742,0.6029169308814204
logreg,104,source_heldout,240000,60000,0.6073291666666667,0.5,28233,8255,15137,8375,0.7228333333333333,0.7091632210342667,0.7737612365709274,0.7712248688811189,0.7724909707781548,0.7089684940876959,0.41794311929284333,0.3528984268125855,0.22877513111888112,0.6471015731874145,0.815699912563123,0.8624737869850092,0.7551856124832681,0.1569293532147585
logreg,104,target,240000,39425,0.6073291666666667,0.5,582,30227,8359,257,0.2267850348763475,0.4551579657952729,0.018890583920283033,0.6936829558998808,0.03677957532861476,0.19547974147982367,-0.03131983860610055,0.783367024309335,0.3063170441001192,0.216632975690665,0.7265224215962769,0.2914209893328775,0.9870392660832608,0.3286518300327067
tree,104,source_heldout,240000,60000,0.6073291666666667,0.5,29699,7168,16224,6909,0.7653833333333333,0.7524206059629495,0.8055713781973038,0.8112707604895105,0.8084110241578768,0.7529212563024741,0.5058731175024868,0.3064295485636115,0.1887292395104895,0.6935704514363885,0.8645119252814826,0.8885682972621066,0.7890208606420064,0.13918851088435463
tree,104,target,240000,39425,0.6073291666666667,0.5,442,29704,8882,397,0.2364996829422955,0.37850237727258096,0.014661978371923307,0.5268176400476758,0.028529933838954333,0.1998285311104309,-0.08266624326363536,0.7698128855025138,0.4731823599523242,0.23018711449748613,0.18084961926139076,0.017759156877885724,0.972169883072778,0.7520627157845697
rf,104,source_heldout,240000,60000,0.6073291666666667,0.5,31852,9852,13540,4756,0.7565333333333333,0.7244567056575435,0.7637636677536926,0.870083041958042,0.8134640923485545,0.7315257517969984,0.47557315030653596,0.4211696306429549,0.12991695804195805,0.5788303693570451,0.8436830646949558,0.8875705757682297,0.7837638367477333,0.15214188865557973
rf,104,target,240000,39425,0.6073291666666667,0.5,582,29796,8790,257,0.23771718452758403,0.4607428929709325,0.019158601619593128,0.6936829558998808,0.037287375468494734,0.20317961870647253,-0.026947114271687642,0.7721971699580159,0.3063170441001192,0.22780283004198415,0.6744988996299275,0.06602541052746567,0.9913466114296666,0.32260151386514346
xgboost,104,source_heldout,240000,60000,0.6073291666666667,0.5,29662,7102,16290,6946,0.7658666666666667,0.7533259906560608,0.8068218909803069,0.8102600524475524,0.8085373166875648,0.7536295573744078,0.5072702136269631,0.3036080711354309,0.18973994755244755,0.6963919288645691,0.8656004090206189,0.8944601659491479,0.8075253264316689,0.1387385129928589
xgboost,104,target,240000,39425,0.6073291666666667,0.5,837,29875,8711,2,0.24218135700697527,0.6116858325600193,0.02725319093513936,0.9976162097735399,0.053056955405533894,0.2106972761974497,0.07769374135706661,0.7742445446535012,0.0023837902264600714,0.22575545534649874,0.738181732590334,0.0730306162461168,0.9933442275588464,0.47717946767807007
hgb,104,source_heldout,240000,60000,0.6073291666666667,0.5,29678,7115,16277,6930,0.7659166666666667,0.7532666493475745,0.8066208246133776,0.8106971153846154,0.8086538330540456,0.753626257714602,0.5072681303133297,0.30416381668946646,0.1893028846153846,0.6958361833105335,0.8658330541355287,0.8944337243998242,0.8075357639197489,0.13859339456243736
hgb,104,target,240000,39425,0.6073291666666667,0.5,599,29668,8918,240,0.24139505389980975,0.4725326340980848,0.019790530941289193,0.7139451728247914,0.03851347007008294,0.20604460366774924,-0.018774045281641928,0.7688799046286218,0.2860548271752086,0.23112009537137823,0.6877084835712397,0.06736805481564942,0.991190726027736,0.5842445732029157
mlp,104,source_heldout,240000,60000,0.6073291666666667,0.5,29637,7133,16259,6971,0.7649333333333334,0.7523219155374379,0.8060103345118304,0.8095771416083916,0.8077898007577203,0.7526358381335683,0.5052836294352165,0.30493331053351574,0.19042285839160839,0.6950666894664843,0.8644757314741144,0.8935108920434597,0.8068783660305472,0.14028890430927277
mlp,104,target,240000,39425,0.6073291666666667,0.5,736,6022,32564,103,0.8446417247939125,0.8605839180217345,0.10890796093518793,0.8772348033373063,0.19376069501118862,0.553899701076672,0.27616490613045563,0.15606696729383715,0.12276519666269368,0.8439330327061628,0.7646351103894542,0.07859796016402147,0.9895384393690165,0.14857622981071472
majority,105,source_heldout,240000,60000,0.6069166666666667,0.5,36380,23620,0,0,0.6063333333333333,0.5,0.6063333333333333,1.0,0.7549284083834821,0.37746420419174104,0.0,1.0,0.0,0.0,0.5,0.6063333333333333,0.39366666666666666,0.39366666666666666
majority,105,target,240000,39425,0.6069166666666667,0.5,839,38586,0,0,0.021280913126188968,0.5,0.021280913126188968,1.0,0.04167494536061991,0.020837472680309953,0.0,1.0,0.0,0.0,0.5,0.021280913126188968,0.978719086873811,0.978719086873811
stratified,105,source_heldout,240000,60000,0.6069166666666667,0.5,22142,14208,9412,14238,0.5259,0.5035534919531766,0.6091334250343879,0.608631115997801,0.6088821669187405,0.5035525706605549,0.007105405140680687,0.601524132091448,0.391368884002199,0.39847586790855205,0.5035534919531766,0.6080375562702424,0.39538160121586857,0.4741
stratified,105,target,240000,39425,0.6069166666666667,0.5,481,23393,15193,358,0.397564996829423,0.48352269719074653,0.0201474407305018,0.5733015494636472,0.0389268805891636,0.3001032984322695,-0.009731285709242204,0.6062561550821541,0.4266984505363528,0.39374384491784586,0.48352269719074653,0.020631091645467243,0.9780339275155518,0.6024350031705771
logreg,105,source_heldout,240000,60000,0.6069166666666667,0.5,28094,8299,15321,8286,0.7235833333333334,0.7104413545234026,0.7719616409749127,0.7722374931280923,0.7720995424127081,0.7104616542393648,0.4209233803147908,0.35135478408128706,0.22776250687190763,0.6486452159187129,0.8160849322398486,0.860500940955449,0.7584899512014427,0.15675858810498358
logreg,105,target,240000,39425,0.6069166666666667,0.5,582,30239,8347,257,0.22648065948002535,0.4550024689829576,0.01888322896726258,0.6936829558998808,0.03676563487049905,0.19526351249776278,-0.03144423095455408,0.7836780179339656,0.3063170441001192,0.2163219820660343,0.7243527252129154,0.29136466280511863,0.9868158088076633,0.341240859138047
tree,105,source_heldout,240000,60000,0.6069166666666667,0.5,29482,7134,16486,6898,0.7661333333333333,0.754179074116055,0.8051671400480664,0.8103903243540407,0.807770288782947,0.7546212519567871,0.5092678172472964,0.30203217612193056,0.18960967564595932,0.6979678238780694,0.8654191473807151,0.8893407436505938,0.7955810381289229,0.13922565536770418
tree,105,target,240000,39425,0.6069166666666667,0.5,442,29516,9070,397,0.24126823081800888,0.38093849399885477,0.014753988917818279,0.5268176400476758,0.028704094554664415,0.2031019692385001,-0.08045158985631617,0.7649406520499663,0.4731823599523242,0.2350593479500337,0.41410181871962926,0.019346780459973463,0.9729043661759698,0.7518868386976761
rf,105,source_heldout,240000,60000,0.6069166666666667,0.5,31648,9934,13686,4732,0.7555666666666667,0.7246763744629904,0.7610985522581887,0.8699285321605278,0.8118827120905057,0.7315039422767576,0.4759756936970461,0.420575783234547,0.13007146783947224,0.579424216765453,0.843210154922241,0.8861736110681528,0.7861233231149936,0.1521696381848807
