feature_set,protocol,split,model,n_train,n_test,test_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier,det_background,det_benign,det_icmp_flood,det_pfcp_deletion,det_syn_flood
shared18,leave_one_file,003a-pfcp.csv,xgboost,25181,14244,0.007231114855377703,0.5,0,6,14135,103,0.9923476551530469,0.49978785092992006,0.0,0.0,0.0,0.498079565876176,-0.0017519821703563707,0.00042429814015981895,1.0,0.9995757018598401,0.026423544290066103,0.006931559188017144,0.9804925013877884,0.007583222817629576,,0.9995757018598401,,0.0,
shared18,leave_one_file,003a-pfcp.csv,hgb,25181,14244,0.007231114855377703,0.5,0,6,14135,103,0.9923476551530469,0.49978785092992006,0.0,0.0,0.0,0.498079565876176,-0.0017519821703563707,0.00042429814015981895,1.0,0.9995757018598401,0.49268085708224313,0.007231114855377703,0.9927658391915222,0.007616593707547634,,0.9995757018598401,,0.0,
shared18,leave_one_file,003a-pfcp.csv,mlp,25181,14244,0.007231114855377703,0.5,0,0,14141,103,0.9927688851446222,0.5,0.0,0.0,0.0,0.4981856614409019,0.0,0.0,1.0,1.0,0.041423993991169396,0.0037982059785922114,0.9764510971156559,0.007350845728069544,,1.0,,0.0,
shared18,leave_one_file,004-syn-flood.csv,majority,22764,16661,0.03481183602424824,0.5,0,0,16081,580,0.9651881639757518,0.5,0.0,0.0,0.0,0.491142874595321,0.0,0.0,1.0,1.0,0.5,0.03481183602424824,0.9651881639757518,0.03481183602424824,1.0,1.0,,,0.0
shared18,leave_one_file,004-syn-flood.csv,stratified,22764,16661,0.03481183602424824,0.5,4,148,15933,576,0.956545225376628,0.4988465719879318,0.02631578947368421,0.006896551724137931,0.01092896174863388,0.49435677912531417,-0.004447427069750674,0.009203407748274361,0.993103448275862,0.9907965922517257,0.4988465719879318,0.03475324259976159,0.965110659959553,0.043454774623371946,0.9909365558912386,0.9866412213740458,,,0.006896551724137931
shared18,leave_one_file,004-syn-flood.csv,logreg,22764,16661,0.03481183602424824,0.5,0,15,16066,580,0.9642878578716764,0.4995336110938374,0.0,0.0,0.0,0.49090964646927615,-0.0057009621179728185,0.0009327778123251042,1.0,0.9990672221876749,0.038036963733169796,0.02928719735346513,0.9249041554971583,0.035502783047742466,0.9991000835636691,0.9980916030534351,,,0.0
shared18,leave_one_file,004-syn-flood.csv,tree,22764,16661,0.03481183602424824,0.5,580,620,15461,0,0.9627873476982174,0.9807225918786144,0.48333333333333334,1.0,0.651685393258427,0.816014531008771,0.6816879824983426,0.03855481624277097,0.0,0.961445183757229,0.9807225918786144,0.48333333333333334,0.9986578360590116,0.03637519350770517,0.960146557819631,1.0,,,1.0
shared18,leave_one_file,004-syn-flood.csv,rf,22764,16661,0.03481183602424824,0.5,580,620,15461,0,0.9627873476982174,0.9807225918786144,0.48333333333333334,1.0,0.651685393258427,0.816014531008771,0.6816879824983426,0.03855481624277097,0.0,0.961445183757229,0.9772820355570613,0.4435942900244295,0.9987205533493301,0.02347207583561934,0.960146557819631,1.0,,,1.0
shared18,leave_one_file,004-syn-flood.csv,xgboost,22764,16661,0.03481183602424824,0.5,580,620,15461,0,0.9627873476982174,0.9807225918786144,0.48333333333333334,1.0,0.651685393258427,0.816014531008771,0.6816879824983426,0.03855481624277097,0.0,0.961445183757229,0.9841631482001676,0.5554549540872022,0.9989510655298213,0.028567178174853325,0.960146557819631,1.0,,,1.0
shared18,leave_one_file,004-syn-flood.csv,hgb,22764,16661,0.03481183602424824,0.5,580,620,15461,0,0.9627873476982174,0.9807225918786144,0.48333333333333334,1.0,0.651685393258427,0.816014531008771,0.6816879824983426,0.03855481624277097,0.0,0.961445183757229,0.9807225918786144,0.48333333333333334,0.9986578360590119,0.02734746984398488,0.960146557819631,1.0,,,1.0
shared18,leave_one_file,004-syn-flood.csv,mlp,22764,16661,0.03481183602424824,0.5,0,2,16079,580,0.9650681231618751,0.49993781481251165,0.0,0.0,0.0,0.4911117898594991,-0.0020808846403383885,0.00012437037497668054,1.0,0.9998756296250233,0.516342106448175,0.0462002381220683,0.9808869935220026,0.03490448743104935,1.0,0.9961832061068703,,,0.0
shared18,leave_one_file,005-icmp-flood.csv,majority,30905,8520,0.018309859154929577,0.5,0,0,8364,156,0.9816901408450704,0.5,0.0,0.0,0.0,0.4953802416488984,0.0,0.0,1.0,1.0,0.5,0.018309859154929577,0.9816901408450704,0.018309859154929577,1.0,1.0,0.0,,
