model,split_seed,domain,bin,mean_score,attack_freq,n
logreg,102,target,11,0.10721139067761751,0.8330228598921773,81059
logreg,102,target,12,0.42708182808599415,0.7970860731072429,81059
logreg,102,target,13,0.5489475374438091,0.9522816713751712,81059
logreg,102,target,14,0.8429612772408264,0.9559580058969392,81059
tree,102,source_heldout,0,0.0,1.0,10479
tree,102,source_heldout,1,0.0,1.0,10479
tree,102,source_heldout,2,0.0,0.9995228552342781,10479
tree,102,source_heldout,3,0.04244268466503873,0.605878423513694,10479
tree,102,source_heldout,4,0.5903753577401599,0.920221395171295,10479
tree,102,source_heldout,5,1.0,1.0,10479
tree,102,source_heldout,6,1.0,1.0,10478
tree,102,source_heldout,7,1.0,1.0,10478
tree,102,source_heldout,8,1.0,1.0,10478
tree,102,source_heldout,9,1.0,1.0,10478
tree,102,source_heldout,10,1.0,1.0,10478
tree,102,source_heldout,11,1.0,1.0,10478
tree,102,source_heldout,12,1.0,1.0,10478
tree,102,source_heldout,13,1.0,1.0,10478
tree,102,source_heldout,14,1.0,0.7837373544569575,10478
tree,102,target,0,0.009740946011548287,0.7237355045645201,81060
tree,102,target,1,0.03836684601991437,0.7150259067357513,81060
tree,102,target,2,0.06121520192684703,9.869232667160128e-05,81060
tree,102,target,3,0.10461994584618595,0.5236738218603504,81060
tree,102,target,4,0.4540800401672937,0.9121133988822956,81059
tree,102,target,5,0.9007620864260454,0.5388050679134951,81059
tree,102,target,6,0.9007620864260454,0.00024673386052134863,81059
tree,102,target,7,0.9007620864260454,0.714232842744174,81059
tree,102,target,8,0.9007620864260454,1.0,81059
tree,102,target,9,0.9762416680447076,0.9444848813826966,81059
tree,102,target,10,1.0,0.7544504620091538,81059
tree,102,target,11,1.0,0.0,81059
tree,102,target,12,1.0,0.33927139490988045,81059
tree,102,target,13,1.0,0.9999506532278958,81059
tree,102,target,14,1.0,0.9402533956747554,81059
rf,102,source_heldout,0,0.25216255156950823,0.5589273785666571,10479
rf,102,source_heldout,1,0.6740153322857954,0.839965645576868,10479
rf,102,source_heldout,2,0.7658477026583391,0.9631644240862678,10479
rf,102,source_heldout,3,0.789058269678679,0.9946559786239145,10479
