seed,model,method,calibrator,pi_hat,pi_true,pi_source
107,logreg,EM,isotonic,0.017443878502678336,0.6070891339587742,0.9550536772239298
107,tree,EM,platt,0.3693067434632974,0.6070891339587742,0.9550536772239298
107,tree,BBSE,raw,0.33610963073471034,0.6070891339587742,0.9550536772239298
107,tree,EM,isotonic,0.4302292741669486,0.6070891339587742,0.9550536772239298
107,rf,EM,platt,0.7970024287779935,0.6070891339587742,0.9550536772239298
107,rf,BBSE,raw,0.8187062308048322,0.6070891339587742,0.9550536772239298
107,rf,EM,isotonic,1.5036697526316575e-06,0.6070891339587742,0.9550536772239298
107,xgboost,EM,platt,0.8368500726672781,0.6070891339587742,0.9550536772239298
107,xgboost,BBSE,raw,0.8330844399975106,0.6070891339587742,0.9550536772239298
107,xgboost,EM,isotonic,0.7130292055785351,0.6070891339587742,0.9550536772239298
107,hgb,EM,platt,0.5988262057068644,0.6070891339587742,0.9550536772239298
107,hgb,BBSE,raw,0.46745451910170044,0.6070891339587742,0.9550536772239298
107,hgb,EM,isotonic,0.5411667996866406,0.6070891339587742,0.9550536772239298
107,mlp,EM,platt,0.9340671187400339,0.6070891339587742,0.9550536772239298
107,mlp,BBSE,raw,0.9279804099271609,0.6070891339587742,0.9550536772239298
107,mlp,EM,isotonic,0.8532782343735161,0.6070891339587742,0.9550536772239298
108,logreg,EM,platt,0.9656310726487171,0.6070891339587742,0.6026055664373889
108,logreg,BBSE,raw,0.7299123789750593,0.6070891339587742,0.6026055664373889
108,logreg,EM,isotonic,0.9990515066291017,0.6070891339587742,0.6026055664373889
108,tree,EM,platt,0.999999,0.6070891339587742,0.6026055664373889
108,tree,BBSE,raw,1.0,0.6070891339587742,0.6026055664373889
108,tree,EM,isotonic,0.8340981390926583,0.6070891339587742,0.6026055664373889
108,rf,EM,platt,0.8914315667705722,0.6070891339587742,0.6026055664373889
108,rf,BBSE,raw,0.9934504418595297,0.6070891339587742,0.6026055664373889
108,rf,EM,isotonic,0.9170664914132414,0.6070891339587742,0.6026055664373889
108,xgboost,EM,platt,0.999999,0.6070891339587742,0.6026055664373889
108,xgboost,BBSE,raw,1.0,0.6070891339587742,0.6026055664373889
108,xgboost,EM,isotonic,0.999999,0.6070891339587742,0.6026055664373889
108,hgb,EM,platt,0.999999,0.6070891339587742,0.6026055664373889
108,hgb,BBSE,raw,1.0,0.6070891339587742,0.6026055664373889
108,hgb,EM,isotonic,0.9999253669531859,0.6070891339587742,0.6026055664373889
108,mlp,EM,platt,0.999999,0.6070891339587742,0.6026055664373889
108,mlp,BBSE,raw,1.0,0.6070891339587742,0.6026055664373889
108,mlp,EM,isotonic,0.9326563116501474,0.6070891339587742,0.6026055664373889
109,logreg,EM,platt,1e-06,0.6070891339587742,0.9830629966412714
109,logreg,BBSE,raw,0.012348758284391163,0.6070891339587742,0.9830629966412714
109,logreg,EM,isotonic,0.04570271673771112,0.6070891339587742,0.9830629966412714
109,tree,EM,platt,0.3022860245546545,0.6070891339587742,0.9830629966412714
109,tree,BBSE,raw,0.28837655032398773,0.6070891339587742,0.9830629966412714
109,tree,EM,isotonic,0.30905599004770185,0.6070891339587742,0.9830629966412714
109,rf,EM,platt,0.1763812104558464,0.6070891339587742,0.9830629966412714
109,rf,BBSE,raw,0.30205966800400924,0.6070891339587742,0.9830629966412714
109,rf,EM,isotonic,6.467014776525602e-06,0.6070891339587742,0.9830629966412714
109,xgboost,EM,platt,0.2738287639205242,0.6070891339587742,0.9830629966412714
109,xgboost,BBSE,raw,0.3224246198737449,0.6070891339587742,0.9830629966412714
109,xgboost,EM,isotonic,1e-06,0.6070891339587742,0.9830629966412714
109,hgb,EM,platt,0.4357188182894266,0.6070891339587742,0.9830629966412714
109,hgb,BBSE,raw,0.3331898850114394,0.6070891339587742,0.9830629966412714
109,hgb,EM,isotonic,0.23220363430636284,0.6070891339587742,0.9830629966412714
109,mlp,EM,platt,0.7278022810370086,0.6070891339587742,0.9830629966412714
109,mlp,BBSE,raw,0.735120489457695,0.6070891339587742,0.9830629966412714
109,mlp,EM,isotonic,0.6395978234141643,0.6070891339587742,0.9830629966412714
110,logreg,EM,platt,0.06545946418454741,0.6070891339587742,0.7830444904293844
110,logreg,BBSE,raw,0.0,0.6070891339587742,0.7830444904293844
110,logreg,EM,isotonic,1e-06,0.6070891339587742,0.7830444904293844
110,tree,EM,platt,0.0004947663597014206,0.6070891339587742,0.7830444904293844
110,tree,BBSE,raw,0.0,0.6070891339587742,0.7830444904293844
110,tree,EM,isotonic,3.333992630005188e-06,0.6070891339587742,0.7830444904293844
110,rf,EM,platt,0.9961763664784397,0.6070891339587742,0.7830444904293844
110,rf,BBSE,raw,1.0,0.6070891339587742,0.7830444904293844
110,rf,EM,isotonic,0.33398940554362133,0.6070891339587742,0.7830444904293844
110,xgboost,EM,platt,0.08146155343532657,0.6070891339587742,0.7830444904293844
110,xgboost,BBSE,raw,0.0,0.6070891339587742,0.7830444904293844
110,xgboost,EM,isotonic,0.24110751745531078,0.6070891339587742,0.7830444904293844
110,hgb,EM,platt,0.9622909567838458,0.6070891339587742,0.7830444904293844
110,hgb,BBSE,raw,0.0,0.6070891339587742,0.7830444904293844
110,hgb,EM,isotonic,0.999999,0.6070891339587742,0.7830444904293844
110,mlp,EM,platt,0.999999,0.6070891339587742,0.7830444904293844
110,mlp,BBSE,raw,1.0,0.6070891339587742,0.7830444904293844
110,mlp,EM,isotonic,0.9999809546835076,0.6070891339587742,0.7830444904293844
