model,split_seed,domain,n_benign_train,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign
autoencoder,103,source_heldout,11751,0.10071155428886414,6690,60,4290,78339,0.12284764877655825,0.5324429677339293,0.9911111111111112,0.0786790389161345,0.1457849834929559,0.12221474194480168,0.052839731203488886,0.013793103448275862,0.9213209610838655,0.9862068965517241,0.4452687027806469,0.949276703712416,0.07464302185731456
autoencoder,103,target,11751,0.10071155428886414,41014,25929,451807,697139,0.40531742617952793,0.5006441303502995,0.6126704808568484,0.05556300658535561,0.10188598626747618,0.32869057993927225,0.0027584717668913783,0.054274745884756434,0.9444369934146444,0.9457252541152436,0.6238948016207053,0.6807985399761276,0.5255320503543343
iforest,104,source_heldout,14945,0.6337169831275254,11575,71,1156,86188,0.1286089503990302,0.530266932735997,0.9939034861755109,0.11839857614844061,0.2115913681689806,0.11884736014098735,0.020787536140983474,0.05786471067644662,0.8816014238515594,0.9421352893235534,0.5990590395492731,0.9907161722691258,0.03706462261297756
iforest,104,target,14945,0.6337169831275254,29,11232,466504,738124,0.3836970315546896,0.48826419710125263,0.002575259746026108,3.928724803665365e-05,7.739380369195131e-05,0.2773294615639524,-0.11967268241762398,0.023510893045531424,0.9999607127519633,0.9764891069544686,0.4663272892651768,0.5850759873283679,0.39166918033327236
autoencoder,104,source_heldout,14945,0.0688355565071106,4788,55,1172,92975,0.060208101828467524,0.5020754039668526,0.9886434028494735,0.0489755838098258,0.09332787556283258,0.058952402142772635,0.002129029613016409,0.04482477587612062,0.9510244161901742,0.9551752241238793,0.795727781740785,0.9954357559728376,0.05762019113844787
autoencoder,104,target,14945,0.0688355565071106,79889,33939,443797,658264,0.43070214468590473,0.518593455839926,0.7018396176687633,0.10822823994483528,0.18753704601393692,0.3746887931429416,0.06234906167089054,0.07104132826498318,0.8917717600551647,0.9289586717350168,0.5884276135631288,0.6475493853284657,0.5232467803303376
iforest,105,source_heldout,16009,0.6381028243104256,5511,19,80,83587,0.06268148031884481,0.43496702416655725,0.9965641952983725,0.06185324025230645,0.11647715263981062,0.059193617744827114,-0.017958726389664358,0.1919191919191919,0.9381467597476936,0.8080808080808081,0.1385272963535102,0.9971081055835864,0.0006267896248303514
iforest,105,target,16009,0.6381028243104256,1,1325,476411,738152,0.39182195085242155,0.49861392819944156,0.0007541478129713424,1.3547326909190912e-06,2.704606892149743e-06,0.2815183891864082,-0.04102051582526092,0.0027734983338077936,0.9999986452673091,0.9972265016661922,0.46821199363659677,0.6087513415120954,0.38578539649662835
autoencoder,105,source_heldout,16009,3.1502597332000732,102,28,71,88996,0.00193952711414061,0.3591582620068108,0.7846153846153846,0.0011448068419044198,0.0022862778500022415,0.0019394065606469948,-0.24585715851000994,0.2828282828282828,0.9988551931580956,0.7171717171717171,0.0984297508293557,0.9959182018419087,0.0006078097742517046
autoencoder,105,target,16009,3.1502597332000732,1219,33002,444734,736934,0.3667711444054515,0.46628571258933227,0.03562140206306069,0.0016514191502303723,0.0031565019019283405,0.2695865238007343,-0.19912100427038903,0.06907999397156589,0.9983485808497696,0.9309200060284342,0.39507934752406704,0.555246603843779,0.34592921624263095
iforest,106,source_heldout,12711,0.645993064764478,5989,60,3391,78355,0.10683979725496896,0.5268102821624943,0.990081005124814,0.07100682917575643,0.13251026075027933,0.10605700133303725,0.04113920634408866,0.017386264850767892,0.9289931708242436,0.9826137351492321,0.6495913933673892,0.9768476677603599,0.08827233423148385
iforest,106,target,12711,0.645993064764478,29,24092,453644,738124,0.37312040819515596,0.4748048806586986,0.0012022718792753203,3.928724803665365e-05,7.608812579203803e-05,0.27176186143619974,-0.17648999067727927,0.05042952593063952,0.9999607127519633,0.9495704740693605,0.4588272911397679,0.5979312446016128,0.36980662953408183
