model,split_seed,domain,group,tau,tp,fp,fn,tn
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.65,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.7,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.75,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.8,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.85,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.9,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.95,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.975,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.99,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.995,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.999,1,0,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.05,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.1,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.15,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.2,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.25,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.3,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.35,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.4,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.45,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.5,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.55,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.6,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.65,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.7,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.75,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.8,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.85,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.9,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.95,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.975,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.99,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.995,0,2,0,0
stratified,109,source_heldout,fe80::f418:94ff:fe42:481e,0.999,0,2,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.05,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.1,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.15,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.2,1,0,0,0
stratified,109,source_heldout,fe80::f5c4:51d6:dd53:acb1,0.25,1,0,0,0
