model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
mlp,104,target,201010,39425,0.9256504651509875,0.5,580,5895,32691,259,0.8439061509194673,0.7692617737867959,0.08957528957528957,0.6912991656734208,0.1585999453103637,0.536286664670391,0.20977462946106656,0.15277561809982895,0.30870083432657924,0.847224381900171,0.8589495489140644,0.28411088061774153,0.9961008970217634,0.09135798364877701
majority,105,source_heldout,210803,89197,0.9240570580115084,0.5,89098,99,0,0,0.9988900972005785,0.5,0.9988900972005785,1.0,0.9994447404582293,0.49972237022911464,0.0,1.0,0.0,0.0,0.5,0.9988900972005785,0.0011099027994215052,0.0011099027994215052
majority,105,target,210803,39425,0.9240570580115084,0.5,839,38586,0,0,0.021280913126188968,0.5,0.021280913126188968,1.0,0.04167494536061991,0.020837472680309953,0.0,1.0,0.0,0.0,0.5,0.021280913126188968,0.978719086873811,0.978719086873811
stratified,105,source_heldout,210803,89197,0.9240570580115084,0.5,82315,91,8,6783,0.922934627846228,0.5023392129107185,0.9988957114773196,0.9238703450133561,0.9599193021737102,0.48112075413475064,0.0005873609110070188,0.9191919191919192,0.07612965498664392,0.08080808080808081,0.5023392129107185,0.9988952840643683,0.0011154080071653083,0.07706537215377199
stratified,105,target,210803,39425,0.9240570580115084,0.5,775,35675,2911,64,0.09349397590361445,0.49958029143080357,0.021262002743484224,0.9237187127532777,0.04156721821448685,0.09082523466966974,-0.00045865004557820403,0.9245581298916705,0.07628128724672228,0.07544187010832945,0.49958029143080357,0.02126344525181927,0.978701607602392,0.9065060240963856
logreg,105,source_heldout,210803,89197,0.9240570580115084,0.5,82885,17,82,6213,0.9301546016121618,0.8792753116475309,0.999794938602205,0.9302677950122337,0.9637790697674419,0.49471405787402434,0.09861790523829951,0.1717171717171717,0.06973220498776628,0.8282828282828283,0.8719889868176025,0.9992220406212702,0.1570545231715711,0.05782239951176251
logreg,105,target,210803,39425,0.9240570580115084,0.5,580,6520,32066,259,0.8280532656943563,0.7611629814787049,0.08169014084507042,0.6912991656734208,0.1461141201662678,0.5252577059631807,0.19617290930973577,0.168973202716011,0.30870083432657924,0.831026797283989,0.8416881362851409,0.2955511008410884,0.9909544581335722,0.17828413412079896
tree,105,source_heldout,210803,89197,0.9240570580115084,0.5,64695,27,72,24403,0.7261118647488144,0.7266916510726698,0.9995828311856865,0.7261105748726122,0.8411780002600442,0.42351892606800534,0.033832164321176805,0.2727272727272727,0.27388942512738784,0.7272727272727273,0.6834693542532103,0.9994189397108866,0.009512827310275015,0.23359280616749917
tree,105,target,210803,39425,0.9240570580115084,0.5,838,30095,8491,1,0.23662650602409638,0.6094310052241863,0.027090809168202244,0.99880810488677,0.052750849804859626,0.2067356780992521,0.07683343172553757,0.7799460944383974,0.0011918951132300357,0.22005390556160265,0.6100912952241968,0.027137349324027747,0.983339084079008,0.7657715787073045
rf,105,source_heldout,210803,89197,0.9240570580115084,0.5,72040,45,54,17058,0.8082558830453939,0.6770012182703826,0.9993757369771797,0.8085478910862197,0.8938907949349497,0.45008292579238335,0.029935394723668095,0.45454545454545453,0.19145210891378034,0.5454545454545454,0.8533500508236193,0.9998099801362231,0.18865302577641435,0.10753171653984504
