rung,feature_set,model,n,accuracy,ba,fpr,recall,ba_clean,fpr_clean,tp,fp,tn,fn,ctp,cfp,ctn,cfn,pooled_tpr,pooled_fpr,ppv,fa_h,clean_pooled_tpr,clean_pooled_fpr,clean_ppv,clean_fa_h,ba_drop_from_r0,alert_pass,clean_alert_pass,gen_pass,verdict,verdict_clean
R2,published_top10,dt,5,0.801873108106687,0.8594082581022496,0.19620477438572229,0.9150212905902215,0.9557590722124985,0.00350314616522448,633077,282126,195611,105076,633077,601,195611,105076,0.8576501077689855,0.5905466815423549,0.0029019720468313444,141731.20357016518,0.8576501077689855,0.0030630134752206795,0.35943687389886936,735.1232340529631,0.14012567981033996,False,False,False,False,False
R2,published_top10,mlp,5,0.8107518189197134,0.8669342264272487,0.17579768228419976,0.9096661351386972,0.9358845160296632,0.0378971030793708,627994,244682,233055,110159,627994,4306,191906,110159,0.8507640015010438,0.5121688292931048,0.003317814583419653,122920.51903034515,0.8507640015010438,0.021945650622795753,0.07208860272747475,5266.956149470981,0.13162674926764362,False,False,False,False,False
R2,published_top10,nb,5,0.6694329642339734,0.7501127166524351,0.2980971084592379,0.7983225417641079,0.8200973548447505,0.15812783207460676,498904,306836,170901,239249,498904,25311,170901,239249,0.6758815584302983,0.6422697006930591,0.0021044456040033906,154144.7281663342,0.6758815584302983,0.12899822640817074,0.010390824868908136,30959.574337960978,0.18088635319941593,False,False,False,False,False
R2,published_top10,rf,5,0.8781660467510919,0.922554098897909,0.07233192520312119,0.9174401229989391,0.9578183196952406,0.00180348360845792,632091,103937,373800,106062,632091,402,195810,106062,0.8563143413357394,0.21756112672872313,0.007825988756909591,52214.67041489355,0.8563143413357394,0.0020488043544737325,0.4558093668481029,491.7130450736958,0.07700492025748873,False,False,True,False,False
R3,no_position_top10,dt,2,0.5158999620577186,0.6556570547484692,0.3464003578724753,0.657714467369414,0.8285503664368423,0.0006137344957291,453686,281628,196109,284467,453686,103,196109,284467,0.6146232556123189,0.5895042669920898,0.0020850430297171345,141481.02407810156,0.6146232556123189,0.000524942409230832,0.7011688669506966,125.98617821539968,0.34387688316412035,False,True,False,False,False
R3,no_position_top10,mlp,2,0.5833748351335368,0.6919039769958403,0.35693454865078217,0.7407425026424628,0.8639079836287575,0.01292653538494775,522139,283652,194085,216014,522139,2127,194085,216014,0.7073587725038034,0.5937409076542114,0.0023818071066030316,142497.81783701072,0.7073587725038034,0.010840315577028928,0.11564430486753295,2601.6757384869425,0.30665699869905205,False,False,False,False,False
R3,no_position_top10,nb,2,0.4922922095701344,0.6271191566048064,0.37839384136672743,0.6326321545763404,0.7903417928529199,0.05194856887050075,435566,291951,185786,302587,435566,10426,185786,302587,0.590075499252865,0.611112390290055,0.0019312851019336282,146666.97366961322,0.590075499252865,0.0531364034819481,0.02176987394409446,12752.736835667543,0.30387991324704455,False,False,False,False,False
R3,no_position_top10,rf,2,0.5157982034615798,0.6555026118282615,0.34646209451663185,0.6574673181731547,0.8283821358413563,0.0007030464904424,453537,281645,196092,284616,453537,120,196092,284616,0.614421400441372,0.5895398514245286,0.002084234136108106,141489.56434188687,0.614421400441372,0.000611583389395144,0.6681387455229718,146.78001345483457,0.34405640732713616,False,True,False,False,False
R3,published_top10,dt,2,0.6981663583136788,0.7619018684197806,0.3471175432990242,0.8709212801385855,0.9347593321524299,0.0014026158337257,631472,281751,195986,106681,631472,226,195986,106681,0.8554757618000605,0.5897617308267938,0.0028984776425684524,141542.8153984305,0.8554757618000605,0.0011518153833608546,0.5981379092817727,276.4356920066051,0.23763206949280902,False,False,False,False,False
R3,published_top10,mlp,2,0.8045703958976331,0.8577449358932105,0.15239854691998883,0.86788841870641,0.9282188471427955,0.0114507244208192,628730,122197,355540,109423,628730,2573,193639,109423,0.8517610847615603,0.2557829935717769,0.006629137085746494,61387.91845722646,0.8517610847615603,0.01311336717428088,0.11517551407291825,3147.208121827411,0.14081603980168178,False,False,False,False,False
R3,published_top10,nb,2,0.5844481517037641,0.6598376338743468,0.43240659068121584,0.7520818584299096,0.812795345877702,0.1264911666745054,535909,305747,171990,202244,535909,24222,171990,202244,0.7260134416577593,0.6399902038150698,0.002268216975705804,153597.64891561674,0.7260134416577593,0.12344810714940982,0.01164852922176464,29627.545715858356,0.2711614359775042,False,False,False,False,False
R3,published_top10,rf,2,0.8468758068107987,0.8948809567660099,0.08194741866339886,0.8717093321954184,0.9353947306530155,0.0009198708893876,632150,66214,411523,106003,632150,152,196060,106003,0.8563942705645036,0.13859927114709558,0.01223115820669904,33263.82507530294,0.8563942705645036,0.0007746722932338491,0.6889981997239472,185.9213503761238,0.10467806238938782,False,True,False,False,False
