feature_set,protocol,model,n,ba,ba_min,ba_max,ba_clean,fpr,fpr_clean,auc
shared18,site1to2,logreg,1,0.6176506555788182,0.6176506555788182,0.6176506555788182,0.6176506555788182,0.0686795331882788,0.0686795331882788,0.9434587541778876
shared18,site1to2,majority,1,0.5,0.5,0.5,0.5,0.0,0.0,0.5
shared18,site1to2,mlp,1,0.6351903624928776,0.6351903624928776,0.6351903624928776,0.6351903624928776,0.0348837209302325,0.0348837209302325,0.7553495836780986
shared18,site1to2,rf,1,0.639504541877347,0.639504541877347,0.639504541877347,0.639504541877347,0.0261521941846336,0.0261521941846336,0.938566218696738
shared18,site1to2,stratified,1,0.4987595954993891,0.4987595954993891,0.4987595954993891,0.4987595954993891,0.4439797677244341,0.4439797677244341,0.4987595954993891
shared18,site1to2,tree,1,0.6383463900562478,0.6383463900562478,0.6383463900562478,0.6383463900562478,0.0285116844217129,0.0285116844217129,0.8143266089905036
shared18,site1to2,xgboost,1,0.6412373058443603,0.6412373058443603,0.6412373058443603,0.6412373058443603,0.0227754386956398,0.0227754386956398,0.7026078539169843
shared18,site2to1,hgb,1,0.6484600677442147,0.6484600677442147,0.6484600677442147,0.9871561361399352,0.6982005558299484,0.0208084190385075,0.4769404959067557
shared18,site2to1,logreg,1,0.6386798466117503,0.6386798466117503,0.6386798466117503,0.972707192944338,0.7023606800685082,0.0343059874033325,0.5572972667411227
shared18,site2to1,majority,1,0.5,0.5,0.5,0.5,1.0,1.0,0.5
shared18,site2to1,mlp,1,0.649604401752974,0.649604401752974,0.649604401752974,0.9875862356452384,0.6988369835781983,0.0228733157936697,0.5063245479838873
shared18,site2to1,rf,1,0.6483806095345802,0.6483806095345802,0.6483806095345802,0.9868284883345052,0.6984217083293403,0.0215259507294905,0.4596181445501712
shared18,site2to1,stratified,1,0.5005111476150093,0.5005111476150093,0.5005111476150093,0.500296575091574,0.855570217147182,0.8559993621940525,0.5005111476150093
shared18,site2to1,tree,1,0.6482637505734019,0.6482637505734019,0.6482637505734019,0.9866868104137472,0.6984438235792795,0.0215977038985888,0.5607625808091953
shared18,site2to1,xgboost,1,0.6484186324611156,0.6484186324611156,0.6484186324611156,0.9871229738433628,0.6981931840799688,0.0207845013154747,0.4663513368965967
