surface,model,tpr,fpr,corpus_precision,ppv_lo,ppv_hi,pi,lambda_b,ppv,npv,fdr,alerts_per_hour,true_alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,missed_attacks_per_hour
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.00033885935739659924,0.0003789793420316662,0.0001,240000.0,0.00035827405649858186,0.9999740019948017,0.9996417259435014,53456.32015426007,19.152012667153652,53437.16814159292,1282951.6837022416,22273.466730941695,4.850387572870348
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.00033885935739659924,0.0003789793420316662,0.0001,2400000.0,0.0003582740564985818,0.9999740019948017,0.9996417259435014,534563.2015426008,191.52012667153653,534371.6814159292,12829516.837022418,22273.466730941695,48.503875728703484
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.00033885935739659924,0.0003789793420316662,0.0001,24000000.0,0.00035827405649858186,0.9999740019948017,0.9996417259435014,5345632.015426007,1915.2012667153654,5343716.814159292,128295168.37022418,22273.466730941695,485.03875728703485
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.0016926793760097703,0.001892784308034665,0.0005,24000.0,0.0017895213498467818,0.9998699714806798,0.9982104786501532,5353.296652811561,9.579838652269604,5343.716814159292,128479.11966747747,22305.402720048172,2.426164349231146
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.0016926793760097703,0.001892784308034665,0.0005,240000.0,0.0017895213498467818,0.9998699714806797,0.9982104786501532,53532.96652811561,95.79838652269603,53437.16814159292,1284791.1966747746,22305.402720048172,24.261643492311464
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.0016926793760097703,0.001892784308034665,0.0005,2400000.0,0.0017895213498467812,0.9998699714806798,0.9982104786501532,535329.6652811562,957.9838652269602,534371.6814159292,12847911.96674775,22305.402720048172,242.6164349231146
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.0016926793760097703,0.001892784308034665,0.0005,24000000.0,0.0017895213498467816,0.9998699714806798,0.9982104786501532,5353296.652811562,9579.838652269604,5343716.814159292,128479119.66747749,22305.402720048172,2426.1643492311464
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.0033813238993148664,0.0037803008384930392,0.001,24000.0,0.0035744310886856433,0.999739846663896,0.9964255689113144,5362.886080891912,19.16926673261956,5343.716814159292,128709.26594140587,22345.358670382964,4.854757291404466
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.0033813238993148664,0.0037803008384930392,0.001,240000.0,0.0035744310886856433,0.9997398466638959,0.9964255689113144,53628.86080891912,191.6926673261956,53437.16814159292,1287092.6594140588,22345.358670382964,48.54757291404466
d_a_radio_heldout,logreg,0.7979207277452891,0.22265486725663716,0.9296671209480127,0.0033813238993148664,0.0037803008384930392,0.001,2400000.0,0.0035744310886856433,0.9997398466638959,0.9964255689113144,536288.6080891911,1916.9266732619558,534371.6814159292,12870926.594140587,22345.358670382964,485.4757291404466
