model,split_seed,domain,group,tau,tp,fp,fn,tn
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.75,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.8,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.85,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.9,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.95,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.975,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.99,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.995,0,1,0,0
stratified,106,source_heldout,fe80::2204:fff:fef4:6e6c,0.999,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.05,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.1,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.15,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.2,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.25,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.3,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.35,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.4,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.45,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.5,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.55,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.6,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.65,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.7,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.75,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.8,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.85,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.9,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.95,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.975,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.99,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.995,0,1,0,0
stratified,106,source_heldout,fe80::24b7:fdff:fee4:d993,0.999,0,1,0,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.05,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.1,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.15,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.2,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.25,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.3,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.35,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.4,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.45,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.5,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.55,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.6,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.65,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.7,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.75,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.8,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.85,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.9,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.95,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.975,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.99,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.995,3,0,1,0
stratified,106,source_heldout,fe80::2a44:47f7:3e4d:cb9c,0.999,3,0,1,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.05,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.1,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.15,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.2,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.25,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.3,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.35,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.4,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.45,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.5,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.55,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.6,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.65,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.7,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.75,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.8,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.85,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.9,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.95,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.975,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.99,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.995,3,0,0,0
stratified,106,source_heldout,fe80::3232:9d8a:4271:35da,0.999,3,0,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.05,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.1,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.15,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.2,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.25,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.3,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.35,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.4,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.45,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.5,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.55,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.6,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.65,16,5,0,0
stratified,106,source_heldout,fe80::3999:1c34:46d1:7d2e,0.7,16,5,0,0
