layer,protocol,model,split_seed,model_seed,status,n_train,n_test,train_prevalence,test_prevalence,n_train_groups,n_test_groups,fit_seconds,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
network,random,tree,102,11,ok,240000,60000,0.94655,0.94615,135,73,2.42,0.5,54739,53,3178,2030,0.9652833333333334,0.9739187284152903,0.9990327055044532,0.9642410470503268,0.9813286004965893,0.867249203672871,0.7599130520817566,0.01640359021974621,0.03575895294967324,0.9835964097802538,0.9860305278949552,0.9986766795281073,0.8853551596825698,0.02859907304104269
network,random,tree,102,22,ok,240000,60000,0.94655,0.94615,135,73,2.38,0.5,54739,55,3176,2030,0.96525,0.973609226713031,0.9989962404642844,0.9642410470503268,0.9813110081299355,0.8670926262648018,0.7595487733975624,0.017022593624264934,0.03575895294967324,0.982977406375735,0.9856701049874763,0.9986355480864826,0.8847203328597781,0.028632406374376015
network,random,rf,102,11,ok,240000,60000,0.94655,0.94615,135,73,19.47,0.5,55632,252,2979,1137,0.97685,0.950988517164636,0.9954906592226755,0.9799714632986313,0.9876701019946207,0.8993066720671348,0.8054492026438738,0.07799442896935933,0.020028536701368706,0.9220055710306406,0.9955384900823511,0.9997463400013074,0.9340317464821566,0.015104206671838672
network,random,rf,102,22,ok,240000,60000,0.94655,0.94615,135,73,19.44,0.5,55644,252,2979,1125,0.97705,0.9510942086511867,0.9954916273078575,0.9801828462717328,0.9877779257089602,0.9000239321796335,0.8067283274244176,0.07799442896935933,0.019817153728267187,0.9220055710306406,0.9955701440992146,0.9997482041825854,0.9342539394083759,0.01505780522452797
network,random,xgboost,102,11,ok,240000,60000,0.94655,0.94615,135,73,8.04,0.5,54838,24,3207,1931,0.9674166666666667,0.9792784578620948,0.9995625387335496,0.9659849565784143,0.982486943590938,0.874443376204598,0.7732307877862714,0.007428040854224698,0.034015043421585726,0.9925719591457753,0.9952600753942418,0.9997301499887961,0.9303682872832829,0.02555338479578495
network,random,xgboost,102,22,ok,240000,60000,0.94655,0.94615,135,73,7.71,0.5,54828,26,3205,1941,0.9672166666666666,0.9788808799210431,0.999526014511248,0.9658088041008297,0.9823781837076588,0.8737842929998244,0.772044888873109,0.008047044258743422,0.03419119589917032,0.9919529557412565,0.995215197674674,0.9997271255792276,0.9298621908237341,0.025586558505892754
network,random,hgb,102,11,ok,240000,60000,0.94655,0.94615,135,73,17.73,0.5,54875,31,3200,1894,0.9679166666666666,0.9785210839877185,0.9994353986813828,0.9666367207454772,0.9827624804119096,0.8757656245903391,0.7750251599355783,0.009594552770040236,0.03336327925452272,0.9904054472299597,0.9952358905477371,0.9997280983982875,0.9296769136548362,0.025303108564825653
network,random,hgb,102,22,ok,240000,60000,0.94655,0.94615,135,73,13.25,0.5,54783,19,3212,1986,0.9665833333333333,0.9795677928043856,0.9996532973249151,0.965016117951699,0.982029380394547,0.8720800597547536,0.7696402352457358,0.005880532342927886,0.03498388204830101,0.9941194676570722,0.9949738317071287,0.9997134062855797,0.925909132332363,0.026376458218268558
network,random,mlp,102,11,ok,240000,60000,0.94655,0.94615,135,73,228.49,0.5,56644,1215,2016,125,0.9776666666666667,0.8108767628925335,0.9790006740524378,0.9977980940301925,0.988310011515511,0.8694342313720518,0.7565690350567518,0.37604456824512533,0.0022019059698074653,0.6239554317548747,0.9924374595598263,0.9995678168667378,0.8969402921809263,0.014730763621628284
network,random,mlp,102,22,ok,240000,60000,0.94655,0.94615,135,73,441.83,0.5,56624,1188,2043,145,0.9777833333333333,0.8148788833954503,0.9794506330865564,0.9974457890750233,0.9883663085502832,0.8711899821031541,0.7583417694339273,0.36768802228412256,0.00255421092497666,0.6323119777158774,0.9918054341747223,0.9995307653348127,0.8908740548841875,0.014974521473050117
network,random,majority,103,11,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,0.12,0.5,56792,3208,0,0,0.9465333333333333,0.5,0.9465333333333333,1.0,0.9725323652304952,0.4862661826152476,0.0,1.0,0.0,0.0,0.5,0.9465333333333333,0.05346666666666667,0.05346666666666667
network,random,majority,103,22,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,0.12,0.5,56792,3208,0,0,0.9465333333333333,0.5,0.9465333333333333,1.0,0.9725323652304952,0.4862661826152476,0.0,1.0,0.0,0.0,0.5,0.9465333333333333,0.05346666666666667,0.05346666666666667
network,random,stratified,103,11,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,0.13,0.5,53756,3020,188,3036,0.8990666666666667,0.5025726288588994,0.9468085106382979,0.9465417664459783,0.9466751197520429,0.5025664155974144,0.005133197587414352,0.9413965087281796,0.05345823355402169,0.05860349127182045,0.5025726288588994,0.9467938001456603,0.053750658506752154,0.10093333333333333
network,random,stratified,103,22,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,0.14,0.5,53691,3030,178,3101,0.8978166666666667,0.500441761668515,0.9465806315121383,0.9453972390477532,0.9459885651863663,0.5004337769665452,0.0008744523291737809,0.9445137157107232,0.054602760952246795,0.05548628428927681,0.500441761668515,0.9465780489009875,0.05351206422796319,0.10218333333333333
network,random,logreg,103,11,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,3.39,0.5,53465,174,3034,3327,0.94165,0.9435892019142171,0.9967560916497324,0.9414178053246937,0.9682969456040423,0.8012139968902227,0.6482890538196296,0.05423940149625935,0.058582194675306384,0.9457605985037406,0.9832170716635303,0.9990127516875982,0.8221402545796622,0.050334926330916636
network,random,logreg,103,22,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,3.49,0.5,53465,174,3034,3327,0.94165,0.9435892019142171,0.9967560916497324,0.9414178053246937,0.9682969456040423,0.8012139968902227,0.6482890538196296,0.05423940149625935,0.058582194675306384,0.9457605985037406,0.9832170716635303,0.9990127516875982,0.8221402545796622,0.050334926330916636
network,random,tree,103,11,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,2.59,0.5,54734,49,3159,2058,0.9648833333333333,0.9742440937731738,0.9991055619443988,0.9637625017608114,0.9811158413623123,0.8655134102953994,0.7572850164214245,0.01527431421446384,0.03623749823918862,0.9847256857855362,0.9870598997953419,0.9988076967098188,0.8858493987373225,0.028559099523135942
network,random,tree,103,22,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,2.48,0.5,54733,51,3157,2059,0.9648333333333333,0.9739235690180099,0.9990690712616822,0.9637448936469926,0.9810891231089123,0.8653071446503726,0.7568388267408918,0.015897755610972567,0.036255106353007466,0.9841022443890274,0.9867190883853544,0.9987702513854813,0.8845019065410478,0.02860909952313594
network,random,rf,103,11,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,18.45,0.5,55684,294,2914,1108,0.9766333333333334,0.9444221623009668,0.9947479366894137,0.9804902098887167,0.9875676155005764,0.8968266846520863,0.7995704642118547,0.09164588528678304,0.01950979011128328,0.9083541147132169,0.9952022308338536,0.999729267227991,0.928654409536503,0.015202605470471444
network,random,rf,103,22,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,17.13,0.5,55665,282,2926,1127,0.9765166666666667,0.946125209409214,0.9949595152555096,0.9801556557261586,0.9875021066356806,0.896725850177777,0.7997805130241445,0.08790523690773068,0.019844344273841387,0.9120947630922693,0.995271732935235,0.9997333127081208,0.9293290550090157,0.015236170273523345
network,random,xgboost,103,11,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,6.72,0.5,54825,20,3188,1967,0.9668833333333333,0.9795652130766197,0.999635335946759,0.9653648401183266,0.9822012415238676,0.8723035383752304,0.7699376804453769,0.006234413965087282,0.034635159881673476,0.9937655860349127,0.9951849383268129,0.9997269197398705,0.9288521728040658,0.025381315499544144
network,random,xgboost,103,22,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,8.3,0.5,54831,21,3187,1961,0.9669666666666666,0.979462177068949,0.9996171516079633,0.9654704888012396,0.9822471427035936,0.8725261563206814,0.7702462760742258,0.006546134663341646,0.03452951119876039,0.9934538653366584,0.9952005759565727,0.9997277485220055,0.9292312402600229,0.02537626214325428
network,random,hgb,103,11,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,23.04,0.5,54915,38,3170,1877,0.9680833333333333,0.9775520919141785,0.9993084999909013,0.9669495703620228,0.9828627679090787,0.8754410750508446,0.7741037178583782,0.011845386533665835,0.03305042963797718,0.9881546134663342,0.9950363424223987,0.9997148370648694,0.9282468121164261,0.024703854951052363
network,random,hgb,103,22,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,19.59,0.5,54875,24,3184,1917,0.96765,0.9793819745255821,0.999562833567096,0.966245245809269,0.9826216973614705,0.874509789588185,0.773325940288781,0.007481296758104738,0.03375475419073109,0.9925187032418953,0.9947358463478224,0.999574968660438,0.9282375336145832,0.025425707222980987
network,random,mlp,103,11,ok,240000,60000,0.9464541666666667,0.9465333333333333,132,72,938.19,0.5,56690,1258,1950,102,0.9773333333333334,0.8030296669932437,0.9782908814799476,0.9982039723904775,0.9881471152170124,0.8647959910685823,0.7501843531473056,0.39214463840399,0.001796027609522468,0.60785536159601,0.9919698383548804,0.9995051843403057,0.8954673181198104,0.01471104845404625
