layer,protocol,model,split_seed,model_seed,status,n_train,n_test,train_prevalence,test_prevalence,n_train_groups,n_test_groups,fit_seconds,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
radio,random,xgboost,101,11,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,3.04,0.5,431,7,121,3,0.9822064056939501,0.9692000288018433,0.9840182648401826,0.9930875576036866,0.9885321100917431,0.9744247852046017,0.9490519317766642,0.0546875,0.0069124423963133645,0.9453125,0.998523905529954,0.9995566926676541,0.9956702899657982,0.01174890249967575
radio,random,xgboost,101,22,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,2.34,0.5,432,9,119,2,0.9804270462633452,0.9625396025345623,0.9795918367346939,0.9953917050691244,0.9874285714285714,0.9716259323006311,0.9438800094533684,0.0703125,0.004608294930875576,0.9296875,0.9983618951612903,0.9995119832312204,0.9950473333666967,0.012774182483553886
radio,random,hgb,101,11,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,12.5,0.5,433,7,121,1,0.9857651245551602,0.9715041762672811,0.9840909090909091,0.9976958525345622,0.9908466819221968,0.9794233409610984,0.9593103618047386,0.0546875,0.002304147465437788,0.9453125,0.9994239631336406,0.9998296529666271,0.9981688410370858,0.010396602501852549
radio,random,hgb,101,22,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,10.97,0.5,433,7,121,1,0.9857651245551602,0.9715041762672811,0.9840909090909091,0.9976958525345622,0.9908466819221968,0.9794233409610984,0.9593103618047386,0.0546875,0.002304147465437788,0.9453125,0.9994239631336406,0.9998296529666271,0.9981688410370858,0.010396602501852549
radio,random,mlp,101,11,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,3.14,0.5,425,4,124,9,0.9768683274021353,0.97400633640553,0.9906759906759907,0.9792626728110599,0.984936268829664,0.9675639198554451,0.9354261918034997,0.03125,0.020737327188940093,0.96875,0.9964177707373272,0.9988910074469043,0.990860229823005,0.017979107797145844
radio,random,mlp,101,22,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,1.32,0.5,423,28,100,11,0.9306049822064056,0.8779521889400922,0.9379157427937915,0.9746543778801844,0.9559322033898305,0.8963761435359194,0.7962820939890466,0.21875,0.02534562211981567,0.78125,0.9501188076036866,0.9807535608252975,0.9094364644728713,0.05784190073609352
radio,random,majority,102,11,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,0.05,0.5,443,119,0,0,0.7882562277580071,0.5,0.7882562277580071,1.0,0.881592039800995,0.4407960199004975,0.0,1.0,0.0,0.0,0.5,0.7882562277580071,0.2117437722419929,0.2117437722419929
radio,random,majority,102,22,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,0.05,0.5,443,119,0,0,0.7882562277580071,0.5,0.7882562277580071,1.0,0.881592039800995,0.4407960199004975,0.0,1.0,0.0,0.0,0.5,0.7882562277580071,0.2117437722419929,0.2117437722419929
radio,random,stratified,102,11,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,0.06,0.5,338,88,31,105,0.6565836298932385,0.5117419428267921,0.7934272300469484,0.7629796839729119,0.7779056386651323,0.5105214467835465,0.022401187809067927,0.7394957983193278,0.23702031602708803,0.2605042016806723,0.5117419428267921,0.7922015974502468,0.21596326409986227,0.34341637010676157
radio,random,stratified,102,22,ok,2246,562,0.7586821015138023,0.7882562277580071,30,29,0.05,0.5,341,95,24,102,0.6494661921708185,0.48571618263558247,0.7821100917431193,0.7697516930022573,0.7758816837315131,0.48590002553922595,-0.027984729337946636,0.7983193277310925,0.23024830699774265,0.20168067226890757,0.4857161826355824,0.783525229155125,0.2074545120539319,0.3505338078291815
