rung,feature_set,split,seed,model,n_train,n_test,test_prevalence,clean_n,clean_accuracy,clean_balanced_accuracy,clean_recall,clean_fpr,clean_tp,clean_fp,clean_tn,clean_fn,accuracy,balanced_accuracy,f1_macro,recall,fpr,roc_auc,tp,fp,tn,fn,fit_s,predict_s
R2,published_top10,fold1,11,dt,929693,286197,0.9836895564943029,286197,0.6612473226483856,0.8243391558715714,0.6557477204835026,0.007069408740359897,184612,33,4635,96917,0.6612473226483856,0.8243391558715714,0.4396510719065282,0.6557477204835026,0.007069408740359897,0.8243391558715712,184612,33,4635,96917,8.38,0.04
R2,published_top10,fold1,11,rf,929693,286197,0.9836895564943029,286197,0.6461318602221546,0.8197108616781145,0.6402786213853635,0.000856898029134533,180257,4,4664,101272,0.6461318602221546,0.8197108616781145,0.4325125526381258,0.6402786213853635,0.000856898029134533,0.9314952049714641,180257,4,4664,101272,26.57,0.34
R2,published_top10,fold1,11,nb,929693,286197,0.9836895564943029,286197,0.2389123575718823,0.5365669806251998,0.22887517804560098,0.15574121679520136,64435,727,3941,217094,0.2389123575718823,0.5365669806251998,0.20331814619793384,0.22887517804560098,0.15574121679520136,0.8505379104944748,64435,727,3941,217094,0.34,0.14
R2,published_top10,fold1,11,mlp,929693,286197,0.9836895564943029,286197,0.6461737893828376,0.8188894839683787,0.6403496620241609,0.002570694087403599,180277,12,4656,101252,0.6461737893828376,0.8188894839683787,0.4324705226464134,0.6403496620241609,0.002570694087403599,0.8249774254977813,180277,12,4656,101252,1326.6,0.59
R2,no_position_top10,fold1,11,dt,929693,286197,0.9836895564943029,286197,0.016296467118802782,0.4995715509854327,0.0,0.000856898029134533,0,4,4664,281529,0.016296467118802782,0.4995715509854327,0.016035150810868423,0.0,0.000856898029134533,0.9991431019708654,0,4,4664,281529,1.63,0.03
R2,no_position_top10,fold1,11,rf,929693,286197,0.9836895564943029,286197,0.016296467118802782,0.4995715509854327,0.0,0.000856898029134533,0,4,4664,281529,0.016296467118802782,0.4995715509854327,0.016035150810868423,0.0,0.000856898029134533,0.9991431019708655,0,4,4664,281529,12.88,0.3
R2,no_position_top10,fold1,11,nb,929693,286197,0.9836895564943029,286197,0.015611624160980024,0.47857754927163665,0.0,0.04284490145672665,0,200,4468,281529,0.015611624160980024,0.47857754927163665,0.015371647773209709,0.0,0.04284490145672665,0.9559989357357463,0,200,4468,281529,0.2,0.12
R2,no_position_top10,fold1,11,mlp,929693,286197,0.9836895564943029,286197,0.0162929730220792,0.4994644387317909,0.0,0.0010711225364181663,0,5,4663,281529,0.0162929730220792,0.4994644387317909,0.016031767860826513,0.0,0.0010711225364181663,0.9989288774635818,0,5,4663,281529,673.39,0.44
R2,published_top10,fold2,11,dt,1064645,151245,0.6434923468544415,151245,0.9858573837151642,0.9880267795960336,0.9804675057796044,0.004413946587537092,95424,238,53682,1901,0.9858573837151642,0.9880267795960336,0.9846913202367285,0.9804675057796044,0.004413946587537092,0.9880267795960336,95424,238,53682,1901,7.32,0.02
R2,published_top10,fold2,11,rf,1064645,151245,0.6434923468544415,151245,0.9919666765843499,0.9936256889600981,0.9878448497302851,0.0005934718100890207,96142,32,53888,1183,0.9919666765843499,0.9936256889600981,0.9912865941692592,0.9878448497302851,0.0005934718100890207,0.9997705295055189,96142,32,53888,1183,28.83,0.17
