feature_set,protocol,model,ba,ba_sd,ba_clean,auc_clean,fpr_clean,auc,f1,fpr,recall,n
native,site_disjoint,mlp,0.6576328105773517,0.005642664390961938,0.8305203041774745,0.9976825677746769,0.0007718794207121038,0.8638772428285294,0.4974761533877461,0.346546866620958,0.6618124877756613,2
native,site_disjoint,rf,0.6558222502844745,0.008975090890370177,0.828756624141581,0.8689675867173162,0.00012771303090253756,0.6518083042805976,0.4960683294757375,0.3459964607451157,0.6576409613140647,2
native,site_disjoint,stratified,0.49963537155719917,0.0012385343785566657,0.49952808529548154,0.49952808529548154,0.6499895649592433,0.49963537155719917,0.4060044610773802,0.649774992435808,0.6490457355502064,2
native,site_disjoint,tree,0.6544812082649788,0.008853532064628074,0.8271839384993428,0.9118523990859688,0.0022244063653111064,0.7391496688516048,0.49528622225784275,0.3476298668340391,0.6565922833639967,2
native,site_disjoint,xgboost,0.6558258432678326,0.008876890880223145,0.8286885179083759,0.9542712307607132,0.0004056433841250232,0.6510835782248401,0.49606335464353885,0.3461309926652118,0.657782679200877,2
shared18,file_disjoint,hgb,0.9562402627045127,0.05847830729742102,0.9562402627045127,0.9943103261534828,0.03352870567977517,0.9943103261534828,0.9241259583529539,0.03352870567977517,0.9460092310888006,3
shared18,file_disjoint,logreg,0.9545610488578896,0.027197502382143638,0.9545610488578896,0.9858440613118987,0.07118553932530414,0.9858440613118987,0.9466235693933073,0.07118553932530414,0.9803076370410834,3
shared18,file_disjoint,majority,0.5,0.0,0.5,0.5,1.0,0.5,0.36684336057604305,1.0,1.0,3
shared18,file_disjoint,mlp,0.931087324889171,0.097667045739959,0.931087324889171,0.9678456956610214,0.03601446007280258,0.9678456956610214,0.8843637972748443,0.03601446007280258,0.8981891098511445,3
shared18,file_disjoint,rf,0.9395893688416548,0.08752276739379287,0.9395893688416548,0.9919263924851895,0.033505236952866974,0.9919263924851895,0.8960590828436844,0.033505236952866974,0.9126839746361765,3
shared18,file_disjoint,stratified,0.5019623586852296,0.0020795784922718386,0.5019623586852296,0.5019623586852296,0.5947258622117368,0.5019623586852296,0.4765409968369909,0.5947258622117368,0.5986505795821963,3
shared18,file_disjoint,tree,0.981737741295429,0.012877190654633542,0.981737741295429,0.9964578261151497,0.03468744112873807,0.9964578261151497,0.9835413444570977,0.03468744112873807,0.9981629237195963,3
shared18,file_disjoint,xgboost,0.9432490008564566,0.08013733393454608,0.9432490008564566,0.9924619007088333,0.033649308127297044,0.9924619007088333,0.9022262826009505,0.033649308127297044,0.9201473098402101,3
shared18,random,hgb,0.7521619861257745,0.001399302864408068,0.8948832853564707,0.9899309739914647,0.0195192839278685,0.8658836842763735,0.7526824630718408,0.3049618823892611,0.80928585464081,3
shared18,random,logreg,0.7084657981631434,0.0007523586818229844,0.8600929943207744,0.966062392660588,0.05078374405100577,0.8162230302106522,0.7085421109954938,0.35403813636626796,0.7709697326925546,3
shared18,random,majority,0.5,0.0,0.5,0.5,1.0,0.5,0.3772331827171776,1.0,1.0,3
shared18,random,mlp,0.7498773713980674,0.0030773205735700852,0.8421056213382974,0.9880418949548359,0.02262695361612793,0.8652021717222179,0.7325388245681298,0.20708345349658783,0.7068381962927225,3
shared18,random,rf,0.7231660301303472,0.0010894392009140731,0.924510776119923,0.9900278810361565,0.019349598914639735,0.8442836483228664,0.729859231168631,0.4220390908937914,0.8683711511544857,3
shared18,random,stratified,0.49908118277096186,0.00279430426650654,0.5003331010994027,0.5003331010994027,0.6050129067183637,0.49908118277096186,0.4990783304949815,0.6075167433752452,0.6056791089171689,3
shared18,random,tree,0.7518145332385854,0.001430163474980601,0.8945582573673895,0.9890234588399706,0.0205455090130657,0.865421571776873,0.7524053849690618,0.3060329572706737,0.8096620237478446,3
shared18,random,xgboost,0.7522485152759474,0.0014479675871578786,0.8948207699667025,0.9898926271819949,0.019589875385287767,0.8656847971902036,0.7527552114116768,0.3047343847667981,0.8092314153186928,3
shared18,site_disjoint,hgb,0.6444408866355094,0.005683980433564815,0.8137889208333697,0.8572775938872186,0.02249836306979207,0.5960171482207065,0.4852827815669669,0.3611944314655125,0.6500762047365314,2
shared18,site_disjoint,logreg,0.6281652510952842,0.01486988358225363,0.7951789242615781,0.9674290175765432,0.051492760295805684,0.7503780104595053,0.47676817125325727,0.3855201066283935,0.6418506088189618,2
shared18,site_disjoint,majority,0.5,0.0,0.5,0.5,0.5,0.5,0.21645597929803562,0.5,0.5,2
shared18,site_disjoint,mlp,0.6423973821229259,0.010192264905103197,0.811388299069058,0.8773470134819917,0.02887851836195117,0.630837065830993,0.4847674299827761,0.3668603522542154,0.651655116500067,2
shared18,site_disjoint,rf,0.6439425757059636,0.006276327630700227,0.813166515105926,0.9688682319122551,0.0238390724570621,0.6990921816234545,0.48509480030927343,0.36228695125698696,0.6501721026689142,2
shared18,site_disjoint,stratified,0.49963537155719917,0.0012385343785566657,0.49952808529548154,0.49952808529548154,0.6499895649592433,0.49963537155719917,0.4060044610773802,0.649774992435808,0.6490457355502064,2
shared18,site_disjoint,tree,0.6433050703148249,0.007012632873151378,0.8125166002349975,0.9063821907566523,0.02505469416015091,0.6875445948998494,0.48486481112745083,0.3634777540004962,0.650087894630146,2
shared18,site_disjoint,xgboost,0.644827969152738,0.00507796474862312,0.8141801398438615,0.8510318584646845,0.021779970005557328,0.5844795954067905,0.4854689864515516,0.36048431138780435,0.6501402496932804,2
