model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
rf,104,0.6562641291424552,477736,0.4386998792058075,682152,0.0033927965572043356,56001
xgboost,104,0.9955770551099352,477736,0.01920832893548652,682152,0.00028570918376457564,56001
hgb,104,0.9770752047155751,477736,0.03283579026375353,682152,0.0041249263406010605,56001
mlp,104,0.9886841267980642,477736,0.028124230376807516,682152,0.001428545918822878,56001
majority,105,0.0,477736,1.0,682152,1.0,56001
stratified,105,0.07573429676641492,477736,0.9244347300894815,682152,0.9224835270798736,56001
logreg,105,0.9677583435202706,477736,0.2578223035335233,682152,0.7159872145140266,56001
tree,105,0.373325434968267,477736,0.7908472012102874,682152,0.2791021588900198,56001
rf,105,0.3549094060317832,477736,0.846887497214697,682152,0.2834949375904002,56001
xgboost,105,0.4065299663412429,477736,0.7320523871512508,682152,0.27844145640256424,56001
hgb,105,0.40155022857812683,477736,0.7529128405399383,682152,0.278923590650167,56001
mlp,105,0.398977678048127,477736,0.6777551044342024,682152,0.2777450402671381,56001
majority,106,0.0,477736,1.0,682152,1.0,56001
stratified,106,0.0600708341008423,477736,0.9402464553354678,682152,0.938304673130837,56001
logreg,106,0.9767423849155182,477736,0.25947149608884823,682152,0.7159872145140266,56001
tree,106,0.3198168025855284,477736,0.7271341284640374,682152,0.2841199264298852,56001
rf,106,0.32407647738499923,477736,0.8980769681830443,682152,0.2852091926929876,56001
xgboost,106,0.38014719426628935,477736,0.8416496616589851,682152,0.27995928644131357,56001
hgb,106,0.3799692717316677,477736,0.8239483282318311,682152,0.280548561632828,56001
mlp,106,0.39023435537619106,477736,0.8331794086948363,682152,0.28272709415903285,56001
majority,107,0.0,477736,1.0,682152,1.0,56001
stratified,107,0.0754998576619723,477736,0.924644360787625,682152,0.9227692362636382,56001
logreg,107,0.9769956628765678,477736,0.2596019655443362,682152,0.7163800646417028,56001
tree,107,0.3642618517340121,477736,0.7729289073402995,682152,0.28072712987268084,56001
rf,107,0.35131537083242625,477736,0.8659814821330143,682152,0.2824770986232389,56001
xgboost,107,0.4074216722206407,477736,0.6464805497894898,682152,0.27756647202728524,56001
hgb,107,0.4010478590686069,477736,0.7472044353751071,682152,0.2782807449866967,56001
mlp,107,0.7026642329654872,477736,0.37380525161547573,682152,0.27763789932322636,56001
majority,108,0.0,477736,1.0,682152,1.0,56001
stratified,108,0.061368622000435386,477736,0.9389432267295266,682152,0.9370011249799111,56001
logreg,108,0.9762253629619706,477736,0.25761853663113204,682152,0.7159872145140266,56001
tree,108,0.366457625131872,477736,0.8571432759854108,682152,0.28140568918412173,56001
rf,108,0.3387707855384564,477736,0.8979699539105653,682152,0.28379850359815,56001
xgboost,108,0.4064901954217392,477736,0.7883624177602646,682152,0.2787807360582847,56001
hgb,108,0.39621464574576754,477736,0.8217933832928731,682152,0.2791557293619757,56001
mlp,108,0.39379908568749267,477736,0.7600300226342516,682152,0.28088784128854843,56001
majority,109,0.0,477736,1.0,682152,1.0,56001
stratified,109,0.05852395465277894,477736,0.9417314616097292,682152,0.939804646345601,56001
logreg,109,0.9755764690121741,477736,0.26033494001336943,682152,0.7159872145140266,56001
tree,109,0.624516469347087,477736,0.47488389684410515,682152,0.004321351404439206,56001
rf,109,0.6492979386104459,477736,0.5087282599772485,682152,0.0048213424760272135,56001
xgboost,109,0.994913508716111,477736,0.12331855656803763,682152,0.001571400510705166,56001
hgb,109,0.9817409615352413,477736,0.08857116888904526,682152,0.0011785503830288745,56001
mlp,109,0.3913144498216588,477736,0.7916270860453388,682152,0.28265566686309174,56001
majority,110,0.0,477736,1.0,682152,1.0,56001
stratified,110,0.0765548336319641,477736,0.9235962072969074,682152,0.9218049677684327,56001
logreg,110,0.9771442805231341,477736,0.2596224888294691,682152,0.7164872055856145,56001
tree,110,0.4509415241890919,477736,0.49869823734299684,682152,0.3567972000499991,56001
rf,110,0.6334251553159067,477736,0.5631369548135899,682152,0.006999875002232103,56001
xgboost,110,0.7034115076108981,477736,0.31634298514114156,682152,0.00328565561329262,56001
hgb,110,0.9523711840849339,477736,0.16575044858037505,682152,0.002374957590043035,56001
mlp,110,0.6910574040892878,477736,0.43730722771464425,682152,0.27763789932322636,56001
