model,split_seed,domain,group,tau,tp,fp,fn,tn
majority,101,source_heldout,172.19.0.1,0.45,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.5,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.55,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.6,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.65,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.7,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.75,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.8,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.85,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.9,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.95,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.975,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.99,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.995,37,10,0,0
majority,101,source_heldout,172.19.0.1,0.999,37,10,0,0
majority,101,source_heldout,172.19.0.2,0.05,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.1,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.15,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.2,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.25,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.3,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.35,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.4,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.45,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.5,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.55,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.6,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.65,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.7,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.75,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.8,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.85,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.9,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.95,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.975,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.99,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.995,5,1,0,0
majority,101,source_heldout,172.19.0.2,0.999,5,1,0,0
majority,101,source_heldout,172.22.80.68,0.05,7,0,0,0
majority,101,source_heldout,172.22.80.68,0.1,7,0,0,0
majority,101,source_heldout,172.22.80.68,0.15,7,0,0,0
majority,101,source_heldout,172.22.80.68,0.2,7,0,0,0
majority,101,source_heldout,172.22.80.68,0.25,7,0,0,0
majority,101,source_heldout,172.22.80.68,0.3,7,0,0,0
majority,101,source_heldout,172.22.80.68,0.35,7,0,0,0
majority,101,source_heldout,172.22.80.68,0.4,7,0,0,0
majority,101,source_heldout,172.22.80.68,0.45,7,0,0,0
