direction,model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
a_to_b,tree,106,0.3198168025855284,477736,0.7271341284640374,682152,0.2841199264298852,56001
a_to_b,rf,106,0.32407647738499923,477736,0.8980769681830443,682152,0.2852091926929876,56001
a_to_b,xgboost,106,0.38014719426628935,477736,0.8416496616589851,682152,0.27995928644131357,56001
a_to_b,hgb,106,0.3799692717316677,477736,0.8239483282318311,682152,0.280548561632828,56001
a_to_b,mlp,106,0.06539595090175326,477736,0.9323244672741559,682152,1.0,56001
a_to_b,majority,107,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,107,0.0754998576619723,477736,0.924644360787625,682152,0.9227692362636382,56001
a_to_b,logreg,107,0.9769956628765678,477736,0.2596019655443362,682152,0.7163800646417028,56001
a_to_b,tree,107,0.3642618517340121,477736,0.7729289073402995,682152,0.28072712987268084,56001
a_to_b,rf,107,0.35131537083242625,477736,0.8659814821330143,682152,0.2824770986232389,56001
a_to_b,xgboost,107,0.4074216722206407,477736,0.6464805497894898,682152,0.27756647202728524,56001
a_to_b,hgb,107,0.4010478590686069,477736,0.7472044353751071,682152,0.2782807449866967,56001
a_to_b,mlp,107,0.059957800961200326,477736,0.9333682229180593,682152,0.9999821431760147,56001
a_to_b,majority,108,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,108,0.061368622000435386,477736,0.9389432267295266,682152,0.9370011249799111,56001
a_to_b,logreg,108,0.9762253629619706,477736,0.25761853663113204,682152,0.7159872145140266,56001
a_to_b,tree,108,0.366457625131872,477736,0.8571432759854108,682152,0.28140568918412173,56001
a_to_b,rf,108,0.3387707855384564,477736,0.8979699539105653,682152,0.28379850359815,56001
a_to_b,xgboost,108,0.4064901954217392,477736,0.7883624177602646,682152,0.2787807360582847,56001
a_to_b,hgb,108,0.39621464574576754,477736,0.8217933832928731,682152,0.2791557293619757,56001
a_to_b,mlp,108,0.05627166468509805,477736,0.9619190444358442,682152,0.9960893555472223,56001
a_to_b,majority,109,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,109,0.05852395465277894,477736,0.9417314616097292,682152,0.939804646345601,56001
a_to_b,logreg,109,0.9755764690121741,477736,0.26033494001336943,682152,0.7159872145140266,56001
a_to_b,tree,109,0.624516469347087,477736,0.47488389684410515,682152,0.004321351404439206,56001
a_to_b,rf,109,0.6492979386104459,477736,0.5087282599772485,682152,0.0048213424760272135,56001
a_to_b,xgboost,109,0.994913508716111,477736,0.12331855656803763,682152,0.001571400510705166,56001
a_to_b,hgb,109,0.9817409615352413,477736,0.08857116888904526,682152,0.0011785503830288745,56001
a_to_b,mlp,109,0.0733166435018504,477736,0.8530532784482051,682152,0.2878877162907805,56001
a_to_b,majority,110,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,110,0.0765548336319641,477736,0.9235962072969074,682152,0.9218049677684327,56001
a_to_b,logreg,110,0.9771442805231341,477736,0.2596224888294691,682152,0.7164872055856145,56001
a_to_b,tree,110,0.4509415241890919,477736,0.49869823734299684,682152,0.3567972000499991,56001
a_to_b,rf,110,0.6334251553159067,477736,0.5631369548135899,682152,0.006999875002232103,56001
a_to_b,xgboost,110,0.7034115076108981,477736,0.31634298514114156,682152,0.00328565561329262,56001
a_to_b,hgb,110,0.9523711840849339,477736,0.16575044858037505,682152,0.002374957590043035,56001
a_to_b,mlp,110,0.04489718170705159,477736,0.9330486460495608,682152,0.9994464384564561,56001
a_to_b,majority,111,0.0,477736,1.0,682152,1.0,56001
a_to_b,stratified,111,0.06165748446840933,477736,0.9386104563205855,682152,0.9367332726201317,56001
a_to_b,logreg,111,0.9762525746437363,477736,0.25906542823300377,682152,0.7159872145140266,56001
a_to_b,tree,111,0.4354811025336169,477736,0.5651746238375025,682152,0.3577793253691898,56001
