direction,model,split_seed,benign,benign__n,bruteforce,bruteforce__n,ddos,ddos__n,dos,dos__n,probe,probe__n,web,web__n
b_to_a,rf,105,0.8844240510642164,88046,0.3535671777637751,28566,0.4999405161296463,420282,0.3975797896307867,632507,0.4843065474404369,183293,0.004546276714158504,287488
b_to_a,xgboost,105,0.8752015991640734,88046,0.3483511867254778,28566,0.9026225248761546,420282,0.7570888543526001,632507,0.9171981472287539,183293,0.004734110641139804,287488
b_to_a,hgb,105,0.8780069509120233,88046,0.35654274312119305,28566,0.9094274796446196,420282,0.7868134265707731,632507,0.9173018063974074,183293,0.003996688557435441,287488
b_to_a,mlp,105,0.8735206596551802,88046,0.3817825386823496,28566,0.8995436397466463,420282,0.7680025675605171,632507,0.8877043858739831,183293,0.004212349732858415,287488
b_to_a,majority,106,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,106,0.3938963723508166,88046,0.6004690891269341,28566,0.605586249232658,420282,0.6053008109001166,632507,0.6070553703632982,183293,0.6060079029385574,287488
b_to_a,logreg,106,0.7615564591236399,88046,0.5153329132535182,28566,0.9584374301064523,420282,0.8329061970855659,632507,0.9210662709432439,183293,0.27063042631344614,287488
b_to_a,tree,106,0.8654339776934784,88046,0.3186305398025625,28566,0.1873789503238302,420282,0.19627608864407825,632507,0.19015456127620803,183293,0.18950356188780054,287488
b_to_a,rf,106,0.8936692183631284,88046,0.3427501225232794,28566,0.433197234237964,420282,0.35917547157580865,632507,0.4421609117642245,183293,0.00437583481745325,287488
b_to_a,xgboost,106,0.9043795288826295,88046,0.3506966323601484,28566,0.7630091224463574,420282,0.6334680881002107,632507,0.8476428450622774,183293,0.004292353072128228,287488
b_to_a,hgb,106,0.8832087772300843,88046,0.14405236995029055,28566,0.8592088169371993,420282,0.7235113603485811,632507,0.8789697369784989,183293,0.003318399376669635,287488
b_to_a,mlp,106,0.8060672830111533,88046,0.4557165861513688,28566,0.9203939259830305,420282,0.8562134490211175,632507,0.8893792998095945,183293,0.004177565672306322,287488
b_to_a,majority,107,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,107,0.3919996365536197,88046,0.6025344815514948,28566,0.6075753898572863,420282,0.6073735152338235,632507,0.6089594256190908,183293,0.6079697239536954,287488
b_to_a,logreg,107,0.6811098743838448,88046,0.5986837499124834,28566,0.9644453010121775,420282,0.8421266484007291,632507,0.9249944078606385,183293,0.3087954975512021,287488
b_to_a,tree,107,0.8695000340730982,88046,0.376216481131415,28566,0.4716951951308883,420282,0.5194788358073508,632507,0.4872853846027944,183293,0.194714214158504,287488
b_to_a,rf,107,0.8812325375371964,88046,0.35048659245256597,28566,0.5493882678772823,420282,0.4723141403968652,632507,0.522960505856743,183293,0.004834984416740872,287488
b_to_a,xgboost,107,0.8808804488562797,88046,0.38598333683399844,28566,0.8984586539513946,420282,0.7861573073499581,632507,0.9170508420943516,183293,0.004633236865538736,287488
b_to_a,hgb,107,0.8706925925084615,88046,0.4571518588531821,28566,0.9230897349874608,420282,0.8132937659187962,632507,0.9178801154435794,183293,0.0044140972840605525,287488
b_to_a,mlp,107,0.8380732798764282,88046,0.45186585451235733,28566,0.9394787309473164,420282,0.8156067837984402,632507,0.88861549540899,183293,0.003892336375779163,287488
b_to_a,majority,108,0.0,88046,1.0,28566,1.0,420282,1.0,632507,1.0,183293,1.0,287488
b_to_a,stratified,108,0.39337391817913364,88046,0.6011692221522089,28566,0.6062500892258055,420282,0.6060328186091221,632507,0.607731882832405,183293,0.6066340160284951,287488
b_to_a,logreg,108,0.6791449923903414,88046,0.5976335503745712,28566,0.964949724232777,420282,0.8770827832735448,632507,0.9248743814548291,183293,0.30888593610863757,287488
