model,split_seed,tau,pi,lambda_b,alerts_per_hour,true_alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,ppv,npv,fdr,missed_attacks_per_hour,recall,fpr,precision_corpus
mlp,111,0.25,0.002,240000.0,13219.175270440068,475.81243858166016,12743.362831858407,317260.2064905616,5507.989696016694,0.035994109227497996,0.9999773411740625,0.964005890772502,5.149485266035268,0.9892933618843683,0.05309734513274336,0.9871794871794872
mlp,111,0.25,0.003,240000.0,13457.797355987539,714.4345241291326,12743.362831858407,322987.13654370094,5607.415564994808,0.053087032389536756,0.9999659780571917,0.9469129676104633,7.7319753693628845,0.9892933618843683,0.05309734513274336,0.9871794871794872
mlp,111,0.25,0.01,240000.0,15141.649769759906,2398.286937901499,12743.362831858407,363399.59447423776,6309.02073739996,0.15839006808169806,0.9998858008172216,0.8416099319183019,25.955486340925244,0.9892933618843683,0.05309734513274336,0.9871794871794872
mlp,111,0.25,0.03,240000.0,20086.571291206295,7343.208459347889,12743.362831858407,482077.7109889511,8369.404704669289,0.3655779950141453,0.9996504208973643,0.6344220049858547,79.47195302324533,0.9892933618843683,0.05309734513274336,0.9871794871794872
mlp,111,0.25,0.1,240000.0,39124.519148774896,26381.156316916487,12743.362831858407,938988.4595705975,16301.882978656207,0.6742870427774333,0.9987452419129176,0.32571295722256666,285.5103497501776,0.9892933618843683,0.05309734513274336,0.9871794871794872
mlp,111,0.3,0.0001,240000.0,12766.851262071877,23.488430213471023,12743.362831858407,306404.4302897251,5319.521359196616,0.0018397982189430776,0.9999977383768829,0.9981602017810569,0.5139700265529777,0.9785867237687366,0.05309734513274336,0.9870410367170627
mlp,111,0.3,0.0003,240000.0,12813.842219786135,70.47938792772736,12743.362831858407,307532.2132748672,5339.100924910889,0.00550025407827315,0.9999932138039723,0.9944997459217269,1.5422185542172324,0.9785867237687366,0.05309734513274336,0.9870410367170627
mlp,111,0.3,0.001,240000.0,12978.458741472517,235.0959096141109,12743.362831858407,311483.0097953404,5407.691142280215,0.018114316522258887,0.9999773638550565,0.9818856834777411,5.144330626129354,0.9785867237687366,0.05309734513274336,0.9870410367170627
mlp,111,0.3,0.002,240000.0,13214.025785174032,470.6629533156248,12743.362831858407,317136.61884417676,5505.844077155846,0.035618437633419986,0.9999546833749464,0.96438156236658,10.298970532070589,0.9785867237687366,0.05309734513274336,0.9870410367170627
mlp,111,0.3,0.003,240000.0,13450.065380618176,706.7025487597696,12743.362831858407,322801.5691348362,5604.193908590906,0.0525426850175868,0.9999319584292898,0.9474573149824133,15.463950738725849,0.9785867237687366,0.05309734513274336,0.9870410367170627
mlp,111,0.3,0.01,240000.0,15115.694283418981,2372.331451560574,12743.362831858407,362776.66280205554,6298.205951424575,0.1569449214226885,0.9997716277143713,0.8430550785773114,51.91097268185075,0.9785867237687366,0.05309734513274336,0.9870410367170627
mlp,111,0.3,0.03,240000.0,20007.09933818305,7263.736506324643,12743.362831858407,480170.38411639316,8336.291390909602,0.3630579517572537,0.9993010861204157,0.6369420482427464,158.9439060464915,0.9785867237687366,0.05309734513274336,0.9870410367170627
mlp,111,0.3,0.1,240000.0,38839.00879902471,26095.645967166307,12743.362831858407,932136.2111765931,16182.920332926964,0.6718926866079444,0.9974936287154735,0.32810731339205557,571.0206995003582,0.9785867237687366,0.05309734513274336,0.9870410367170627
mlp,111,0.35000000000000003,0.0001,240000.0,10642.906059759487,23.43703321081573,10619.469026548672,255429.7454342277,4434.544191566453,0.002202127227208221,0.9999975352501221,0.9977978727727917,0.5653670292082731,0.9764453961456103,0.04424778761061947,0.9891540130151844
mlp,111,0.35000000000000003,0.0003,240000.0,10689.794192620977,70.32516607230563,10619.469026548672,256555.06062290346,4454.0809135920745,0.006578720301355302,0.9999926043075404,0.9934212796986447,1.6964404096389485,0.9764453961456103,0.04424778761061947,0.9891540130151844
mlp,111,0.35000000000000003,0.001,240000.0,10854.05050310017,234.58147655149799,10619.469026548672,260497.2120744041,4522.521042958405,0.02161234430266342,0.9999753308440441,0.9783876556973365,5.6587636887422645,0.9764453961456103,0.04424778761061947,0.9891540130151844
mlp,111,0.35000000000000003,0.002,240000.0,11089.102082811089,469.6330562624178,10619.469026548672,266138.4499874661,4620.4592011712875,0.042350864186775146,0.9999506134716675,0.9576491358132249,11.328867585277601,0.9764453961456103,0.04424778761061947,0.9891540130151844
mlp,111,0.35000000000000003,0.003,240000.0,11324.625180234569,705.156153685897,10619.469026548672,271791.0043256297,4718.593825097738,0.06226750488101285,0.9999258477413717,0.9377324951189872,17.010345812598363,0.9764453961456103,0.04424778761061947,0.9891540130151844
mlp,111,0.35000000000000003,0.01,240000.0,12986.60938084106,2367.140354292389,10619.469026548672,311678.62514018547,5411.087242017109,0.18227547197843602,0.999751121604627,0.8177245280215639,57.102069950035585,0.9764453961456103,0.04424778761061947,0.9891540130151844
mlp,111,0.35000000000000003,0.03,240000.0,17867.311142268667,7247.842115719995,10619.469026548672,428815.46741444804,7444.712975945278,0.40564817268860265,0.9992383611099708,0.5943518273113974,174.83829665113987,0.9764453961456103,0.04424778761061947,0.9891540130151844
mlp,111,0.35000000000000003,0.1,240000.0,36658.012923764945,26038.543897216274,10619.469026548672,879792.3101703587,15274.172051568728,0.7103097473222778,0.9972691341859142,0.2896902526777222,628.1227694503914,0.9764453961456103,0.04424778761061947,0.9891540130151844
mlp,111,0.4,0.0001,240000.0,10642.803265754177,23.33423920550513,10619.469026548672,255427.27837810025,4434.501360730907,0.002192489950517901,0.999997087115086,0.9978075100494821,0.6681610345188691,0.9721627408993576,0.04424778761061947,0.9891067538126361
mlp,111,0.4,0.0003,240000.0,10689.485748910134,70.01672236146219,10619.469026548672,256547.65797384322,4453.952395379223,0.006550055260478818,0.9999912596479371,0.9934499447395212,2.0048841204823966,0.9721627408993576,0.04424778761061947,0.9891067538126361
mlp,111,0.4,0.001,240000.0,10853.021636974943,233.5526104262721,10619.469026548672,260472.51928739864,4522.09234873956,0.02151959318228818,0.9999708456737272,0.9784804068177119,6.687629813968141,0.9721627408993576,0.04424778761061947,0.9891067538126361
mlp,111,0.4,0.002,240000.0,11087.042288704675,467.5732621560037,10619.469026548672,266089.0149289122,4619.6009536269485,0.04217294838248798,0.9999416346269641,0.957827051617512,13.388661691691729,0.9721627408993576,0.04424778761061947,0.9891067538126361
mlp,111,0.4,0.003,240000.0,11321.532390086824,702.0633635381519,10619.469026548672,271716.7773620838,4717.305162536177,0.06201133727735312,0.9999123666940225,0.9379886627226469,20.103135960343547,0.9721627408993576,0.04424778761061947,0.9891067538126361
mlp,111,0.4,0.01,240000.0,12976.22718630469,2356.758159756019,10619.469026548672,311429.45247131254,5406.761327626955,0.18162121592964847,0.9997058842962036,0.8183787840703516,67.48426448640579,0.9721627408993576,0.04424778761061947,0.9891067538126361
mlp,111,0.4,0.03,240000.0,17835.522361059368,7216.053334510696,10619.469026548672,428052.5366654248,7431.467650441404,0.4045888417748639,0.999100005942779,0.595411158225136,206.62707786043833,0.9721627408993576,0.04424778761061947,0.9891067538126361
mlp,111,0.4,0.1,240000.0,36543.80878386487,25924.3397573162,10619.469026548672,877051.410812757,15226.586993277031,0.7094044277279201,0.9967742147990857,0.2905955722720799,742.3269093504636,0.9721627408993576,0.04424778761061947,0.9891067538126361
mlp,111,0.45,0.0001,240000.0,8518.549681425857,22.974460186918048,8495.575221238938,204445.19235422055,3549.3957005941065,0.002696991981746889,0.9999955597587831,0.9973030080182531,1.0279400531059528,0.9571734475374732,0.035398230088495575,0.991130820399113
mlp,111,0.45,0.0003,240000.0,8564.512390612448,68.93716937351013,8495.575221238938,205548.29737469874,3568.5468294218535,0.008049164532597568,0.9999866767297576,0.9919508354674025,3.084437108434457,0.9571734475374732,0.035398230088495575,0.991130820399113
mlp,111,0.45,0.001,240000.0,8725.52680022692,229.95157898798155,8495.575221238938,209412.64320544607,3635.6361667612164,0.026353890630649524,0.9999555593633795,0.9736461093693505,10.288661252258681,0.9571734475374732,0.035398230088495575,0.991130820399113
mlp,111,0.45,0.002,240000.0,8955.939204022492,460.36398278355426,8495.575221238938,214942.5408965398,3731.6413350093717,0.05140320543676595,0.9999110336290127,0.9485967945632341,20.597941064141125,0.9571734475374732,0.035398230088495575,0.991130820399113
mlp,111,0.45,0.003,240000.0,9186.813819259982,691.2385980210438,8495.575221238938,220483.53166223958,3827.8390913583257,0.07524247379128061,0.999866422552239,0.9247575262087194,30.92790147745162,0.9571734475374732,0.035398230088495575,0.991130820399113
mlp,111,0.45,0.01,240000.0,10815.99570011766,2320.4204788787233,8495.575221238938,259583.89680282387,4506.664875049026,0.21453600234451653,0.9995517346777061,0.7854639976554835,103.82194536370123,0.9571734475374732,0.035398230088495575,0.991130820399113
